id,postcode,lat,lon
1381846,M5 2AA,53.4830,-2.3291
1381847,M5 2AB,53.4849,-2.3288
1381848,M5 2AD,53.4849,-2.3278
1381849,M5 2AE,53.4848,-2.3269
1381850,M5 2AF,53.4847,-2.3247
1381851,M5 2AG,53.4847,-2.3298
1381852,M5 2AH,53.4846,-2.3237
1381853,M5 2AJ,53.4846,-2.3228
1381854,M5 2AL,53.4843,-2.3213
1381855,M5 2AN,53.4849,-2.3280
1381856,M5 2AP,53.4843,-2.3216
1381857,M5 2AQ,53.4811,-2.3010
1381858,M5 2AR,53.4839,-2.3296
1381859,M5 2AS,53.4812,-2.2804
1381860,M5 2AT,53.4847,-2.3257
1381861,M5 2AU,53.4842,-2.3096
1381862,M5 2AW,53.4837,-2.3224
1381863,M5 2AX,53.4837,-2.3235
1381864,M5 2AY,53.4834,-2.3214
1381865,M5 2AZ,53.4708,-2.2954
