id,postcode,lat,lon
1382126,M5 2TA,53.4858,-2.3105
1382127,M5 2TB,53.4780,-2.2839
1382128,M5 2TD,53.4765,-2.2835
1382129,M5 2TE,53.4778,-2.2849
1382130,M5 2TF,53.4787,-2.2840
1382131,M5 2TG,53.4750,-2.3013
1382132,M5 2TH,53.4778,-2.2856
1382133,M5 2TJ,53.4812,-2.2804
1382134,M5 2TL,53.4772,-2.2860
1382135,M5 2TN,53.4812,-2.2804
1382136,M5 2TP,53.4812,-2.2804
1382137,M5 2TQ,53.4812,-2.2804
1382138,M5 2TR,53.4793,-2.2882
1382139,M5 2TS,53.4766,-2.2935
1382140,M5 2TT,53.4712,-2.2901
1382141,M5 2TU,53.4722,-2.2896
1382142,M5 2TW,53.4812,-2.2804
1382143,M5 2TX,53.4721,-2.2906
1382144,M5 2TY,53.4716,-2.2914
1382145,M5 2TZ,53.4811,-2.3010
