id,postcode,lat,lon
1382769,M5 4RA,53.4812,-2.2823
1382770,M5 4RB,53.4883,-2.2745
1382771,M5 4RD,53.4726,-2.2678
1382772,M5 4RE,53.4744,-2.2647
1382773,M5 4RF,53.4790,-2.2646
1382774,M5 4RG,53.4757,-2.2651
1382775,M5 4RH,53.4820,-2.2665
1382776,M5 4RJ,53.4824,-2.2664
1382777,M5 4RL,53.4797,-2.2634
1382778,M5 4RN,53.4792,-2.2646
1382779,M5 4RP,53.4823,-2.2662
1382780,M5 4RQ,53.4757,-2.2651
1382781,M5 4RR,53.4795,-2.2843
1382782,M5 4RS,53.4763,-2.2639
1382783,M5 4RT,53.4790,-2.2638
1382784,M5 4RU,53.4748,-2.2651
1382785,M5 4RW,53.4805,-2.2607
1382786,M5 4RX,53.4793,-2.2866
1382787,M5 4RY,53.4804,-2.2655
1382788,M5 4RZ,53.4817,-2.2663
