id,postcode,lat,lon
1386647,M7 0PA,53.5132,-2.2664
1386648,M7 0PF,53.5135,-2.2714
1386649,M7 0PG,53.5128,-2.2716
1386650,M7 0PH,53.5140,-2.2702
1386651,M7 0PJ,53.5142,-2.2717
1386652,M7 0PL,53.5136,-2.2724
1386653,M7 0PN,53.5142,-2.2735
1386654,M7 0PP,53.5132,-2.2730
1386655,M7 0PQ,53.5130,-2.2696
1386656,M7 0PR,53.5130,-2.2753
1386657,M7 0PS,53.5127,-2.2792
1386658,M7 0PT,53.5131,-2.2785
1386659,M7 0PU,53.5130,-2.2798
1386660,M7 0PW,53.5138,-2.2731
1386661,M7 0PX,53.5121,-2.2792
1386662,M7 0PY,53.5122,-2.2806
1386663,M7 0PZ,53.5137,-2.2784
