id,postcode,lat,lon
1389423,M8 8DA,53.4996,-2.2477
1389424,M8 8DB,53.5008,-2.2478
1389425,M8 8DD,53.4978,-2.2532
1389426,M8 8DE,53.4985,-2.2503
1389427,M8 8DF,53.4978,-2.2499
1389428,M8 8DH,53.4984,-2.2505
1389429,M8 8DJ,53.4992,-2.2472
1389430,M8 8DN,53.4924,-2.2382
1389431,M8 8DP,53.4990,-2.2415
1389432,M8 8DQ,53.4933,-2.2486
1389433,M8 8DR,53.4984,-2.2418
1389434,M8 8DS,53.4990,-2.2415
1389435,M8 8DT,53.4967,-2.2313
1389436,M8 8DU,53.4981,-2.2547
1389437,M8 8DW,53.4990,-2.2415
1389438,M8 8DX,53.4982,-2.2538
1389439,M8 8DY,53.4988,-2.2545
1389440,M8 8DZ,53.4956,-2.2523
