id,postcode,lat,lon
815467,M9 8BA,53.5179,-2.2183
815468,M9 8BB,53.5183,-2.2139
815469,M9 8BD,53.5204,-2.2156
815470,M9 8BE,53.5208,-2.2160
815471,M9 8BF,53.5213,-2.2178
815472,M9 8BG,53.5183,-2.2147
815473,M9 8BH,53.5177,-2.2143
815474,M9 8BL,53.5165,-2.2152
815475,M9 8BN,53.5167,-2.2149
815476,M9 8BQ,53.5173,-2.2150
815477,M9 8BR,53.5189,-2.2136
815478,M9 8BS,53.5201,-2.2157
815479,M9 8BT,53.5209,-2.2163
815480,M9 8BU,53.5218,-2.2175
815481,M9 8BW,53.5174,-2.2156
815482,M9 8BX,53.5210,-2.2180
815483,M9 8BZ,53.5222,-2.2190
