id,postcode,lat,lon
1401849,ME17 1AA,51.2620,0.7000
1401850,ME17 1AB,51.2413,0.6718
1401851,ME17 1AD,51.2429,0.6767
1401852,ME17 1AE,51.2419,0.6777
1401853,ME17 1AF,51.2783,0.5191
1401854,ME17 1AG,51.2425,0.6833
1401855,ME17 1AH,51.2414,0.6737
1401856,ME17 1AJ,51.2423,0.6782
1401857,ME17 1AL,51.2423,0.6801
1401858,ME17 1AN,51.2437,0.6478
1401859,ME17 1AP,51.2439,0.6819
1401860,ME17 1AQ,51.2430,0.6861
1401861,ME17 1AR,51.2437,0.6797
1401862,ME17 1AS,51.2457,0.6811
1401863,ME17 1AT,51.2470,0.6789
1401864,ME17 1AU,51.2444,0.6911
1401865,ME17 1AW,51.2437,0.6804
1401866,ME17 1AX,51.2449,0.6871
1401867,ME17 1AY,51.2438,0.6880
1401868,ME17 1AZ,51.2432,0.6853
1401869,ME17 1BA,51.2445,0.6861
1401870,ME17 1BB,51.2437,0.6856
1401871,ME17 1BD,51.2439,0.6834
1401872,ME17 1BE,51.2428,0.6832
1401873,ME17 1BF,51.2478,0.6050
1401874,ME17 1BG,51.2429,0.6847
1401875,ME17 1BH,51.2425,0.6856
1401876,ME17 1BJ,51.2400,0.6978
1401877,ME17 1BL,51.2419,0.6943
1401878,ME17 1BN,51.2419,0.6850
1401879,ME17 1BP,51.2441,0.6961
1401880,ME17 1BQ,51.2424,0.6834
1401881,ME17 1BS,51.2453,0.6939
1401882,ME17 1BT,51.2479,0.6987
1401883,ME17 1BU,51.2510,0.6818
1401884,ME17 1BW,51.2418,0.6838
1401885,ME17 1BX,51.2423,0.6837
1401886,ME17 1BY,51.2452,0.6802
1401887,ME17 1BZ,51.2446,0.6823
1401888,ME17 1DA,51.2437,0.6478
1401889,ME17 1DB,51.2450,0.6507
1401890,ME17 1DD,51.2436,0.6488
1401891,ME17 1DE,51.2365,0.6580
1401892,ME17 1DF,51.2417,0.6759
1401893,ME17 1DG,51.2382,0.6484
1401894,ME17 1DH,51.2296,0.6483
1401895,ME17 1DJ,51.2239,0.6464
1401896,ME17 1DL,51.2324,0.6497
1401897,ME17 1DN,51.2169,0.6422
1401898,ME17 1DP,51.2123,0.6437
