id,postcode,lat,lon
788725,MK43 9DN,52.0989,-0.5303
788726,MK43 9DP,52.0995,-0.5344
788727,MK43 9DQ,52.0988,-0.5341
788728,MK43 9DR,52.0994,-0.5323
788729,MK43 9DS,52.0994,-0.5311
788730,MK43 9DT,52.0994,-0.5305
788731,MK43 9DU,52.0985,-0.5283
788732,MK43 9DW,52.0984,-0.5339
788733,MK43 9EA,52.0833,-0.5374
788734,MK43 9EB,52.0936,-0.5309
788735,MK43 9EE,52.0812,-0.5451
788736,MK43 9EF,52.0874,-0.5451
788737,MK43 9EH,52.0806,-0.5398
788738,MK43 9EJ,52.0768,-0.5321
788739,MK43 9EN,52.1004,-0.5289
788740,MK43 9EP,52.1006,-0.5309
788741,MK43 9EQ,52.0990,-0.5274
788825,MK43 9ER,52.1003,-0.5300
788826,MK43 9ES,52.0997,-0.5300
788827,MK43 9ET,52.0935,-0.5314
788828,MK43 9EU,52.0941,-0.5330
788829,MK43 9EW,52.1012,-0.5302
788830,MK43 9EX,52.0936,-0.5330
788831,MK43 9EY,52.0953,-0.5331
788832,MK43 9EZ,52.0970,-0.5319
788833,MK43 9FA,52.0924,-0.5284
788834,MK43 9FB,52.0926,-0.5303
788835,MK43 9FD,52.0916,-0.5289
788836,MK43 9FE,52.0921,-0.5291
788837,MK43 9GZ,52.0996,-0.5261
788838,MK43 9HA,52.0969,-0.5332
788839,MK43 9HB,52.0960,-0.5343
788840,MK43 9HD,52.0940,-0.5342
788841,MK43 9HE,52.0934,-0.5350
788842,MK43 9HF,52.0954,-0.5351
788843,MK43 9HH,52.0956,-0.5386
788844,MK43 9HJ,52.1041,-0.5393
788845,MK43 9HL,52.0995,-0.5396
788846,MK43 9HN,52.1096,-0.5245
788847,MK43 9HP,52.1003,-0.5404
788848,MK43 9HQ,52.0949,-0.5354
788849,MK43 9HR,52.1036,-0.5321
788850,MK43 9HS,52.1043,-0.5368
788851,MK43 9HT,52.0953,-0.5409
788852,MK43 9HU,52.0961,-0.5391
788853,MK43 9HW,52.0948,-0.5304
788854,MK43 9HZ,52.0955,-0.5272
788855,MK43 9JA,52.0993,-0.5256
788856,MK43 9JB,52.1006,-0.5268
788857,MK43 9JD,52.1029,-0.5271
788858,MK43 9JE,52.0990,-0.5266
788859,MK43 9JF,52.0942,-0.5308
788860,MK43 9JG,52.0992,-0.5245
788861,MK43 9JH,52.0929,-0.5238
788862,MK43 9JJ,52.0937,-0.5279
788863,MK43 9JL,52.0942,-0.5276
788864,MK43 9JN,52.1011,-0.5238
788865,MK43 9JP,52.0944,-0.5266
788866,MK43 9JQ,52.1006,-0.5217
788867,MK43 9JR,52.0941,-0.5251
788868,MK43 9JS,52.0935,-0.5256
788869,MK43 9JT,52.0960,-0.5288
788870,MK43 9JU,52.0981,-0.5275
788871,MK43 9JW,52.1006,-0.5239
788872,MK43 9JX,52.0981,-0.5257
788873,MK43 9JY,52.1001,-0.5247
788874,MK43 9JZ,52.1006,-0.5255
788875,MK43 9LA,52.0993,-0.5250
788876,MK43 9LB,52.1023,-0.5291
788877,MK43 9LD,52.1020,-0.5277
788878,MK43 9LF,52.1036,-0.5273
788879,MK43 9LG,52.0703,-0.5157
788880,MK43 9LH,52.0988,-0.5290
788881,MK43 9LJ,52.0699,-0.5127
788882,MK43 9LL,52.0687,-0.5093
788883,MK43 9LN,52.0668,-0.5059
788884,MK43 9LP,52.0681,-0.5066
788885,MK43 9LQ,52.1344,-0.4756
788886,MK43 9LR,52.0666,-0.5109
788887,MK43 9LS,52.0662,-0.5077
788888,MK43 9LT,52.0691,-0.5088
788889,MK43 9LU,52.0691,-0.5150
788890,MK43 9LW,52.0672,-0.5056
788891,MK43 9LX,52.0693,-0.5158
788892,MK43 9LY,52.0733,-0.5254
788894,MK43 9NA,52.0696,-0.5071
788895,MK43 9NB,52.0711,-0.5140
788896,MK43 9ND,52.0761,-0.5103
788897,MK43 9NE,52.0823,-0.5127
788898,MK43 9NF,52.0680,-0.5142
788899,MK43 9NG,52.0681,-0.5138
788900,MK43 9NH,52.0683,-0.5116
788901,MK43 9NJ,52.0704,-0.5088
788902,MK43 9NL,52.0709,-0.5096
788903,MK43 9NN,52.0720,-0.5096
788904,MK43 9NP,52.0705,-0.5069
788905,MK43 9NQ,52.0674,-0.5111
788906,MK43 9NR,52.0963,-0.5103
788907,MK43 9NS,52.0905,-0.5007
788908,MK43 9NT,52.0872,-0.4946
788909,MK43 9NU,52.0707,-0.5139
788910,MK43 9NW,52.0714,-0.5078
788911,MK43 9NX,52.0720,-0.5129
788912,MK43 9NY,52.0696,-0.5087
788913,MK43 9NZ,52.0697,-0.5076
788914,MK43 9PA,52.0938,-0.5243
788915,MK43 9PB,52.0936,-0.5234
788916,MK43 9PD,52.0935,-0.5250
788917,MK43 9PE,52.0695,-0.5073
788918,MK43 9PF,52.0690,-0.5073
788919,MK43 9PG,52.1344,-0.4756
788920,MK43 9PH,52.0934,-0.5235
788921,MK43 9PJ,52.0946,-0.5275
788922,MK43 9PN,52.0681,-0.5055
788923,MK43 9PQ,52.0866,-0.4937
788924,MK43 9PR,52.0847,-0.4922
788925,MK43 8HS,52.1496,-0.5472
788926,MK43 8HT,52.1503,-0.5457
788927,MK43 8HU,52.1523,-0.5224
788928,MK43 8HX,52.1531,-0.5194
788929,MK43 8HY,52.1551,-0.5218
788930,MK43 8HZ,52.1561,-0.5238
788931,MK43 8JA,52.1544,-0.5236
788932,MK43 8JB,52.1546,-0.5187
788933,MK43 8JD,52.1542,-0.5060
788934,MK43 8JE,52.1484,-0.5301
788935,MK43 8JF,52.1479,-0.5330
788936,MK43 8JG,52.1478,-0.5351
788937,MK43 8JH,52.1475,-0.5307
788938,MK43 8JJ,52.1471,-0.5322
788939,MK43 8JN,52.1546,-0.5207
788940,MK43 8JP,52.1500,-0.5275
788941,MK43 8JQ,52.1470,-0.5340
788942,MK43 8JR,52.1509,-0.5271
788943,MK43 8JS,52.1516,-0.5260
788944,MK43 8JT,52.1522,-0.5286
788945,MK43 8JU,52.1547,-0.5261
788946,MK43 8JX,52.1542,-0.5262
788947,MK43 8JY,52.1533,-0.5264
788948,MK43 8JZ,52.1532,-0.5243
788950,MK43 9WR,52.1344,-0.4756
788953,MK43 9WZ,52.1344,-0.4756
789025,MK43 8LA,52.1533,-0.5295
789026,MK43 8LB,52.1514,-0.5314
789027,MK43 8LD,52.1527,-0.5321
789028,MK43 8LE,52.1522,-0.5337
789029,MK43 8LF,52.1509,-0.5331
789030,MK43 8LG,52.1506,-0.5341
789031,MK43 8LH,52.1513,-0.5344
789032,MK43 8LJ,52.1505,-0.5259
789033,MK43 8LL,52.1484,-0.5283
789034,MK43 8LN,52.1472,-0.5299
789035,MK43 8LP,52.1451,-0.5265
789036,MK43 8LQ,52.1442,-0.5267
789037,MK43 8LR,52.1456,-0.5260
789038,MK43 8LS,52.1446,-0.5269
789039,MK43 8LT,52.1427,-0.5263
789040,MK43 8LU,52.1372,-0.5282
789041,MK43 8LX,52.1441,-0.5406
789042,MK43 8LY,52.1454,-0.5403
789043,MK43 8LZ,52.1444,-0.5400
789044,MK43 8NA,52.1436,-0.5395
789045,MK43 8NB,52.1431,-0.5399
789046,MK43 8ND,52.1445,-0.5402
789047,MK43 8NE,52.1454,-0.5306
789048,MK43 8NF,52.1457,-0.5324
789049,MK43 8NG,52.1456,-0.5406
789050,MK43 8NH,52.1459,-0.5309
789051,MK43 8NJ,52.1418,-0.5356
789052,MK43 8NL,52.1426,-0.5399
789053,MK43 8NN,52.1426,-0.5404
789054,MK43 8NP,52.1495,-0.5282
789055,MK43 8NR,52.1495,-0.5305
789056,MK43 8NS,52.1492,-0.5327
789057,MK43 8NT,52.1497,-0.5336
789058,MK43 8NX,52.1493,-0.5342
789059,MK43 8PA,52.1482,-0.5351
789060,MK43 8PB,52.1461,-0.5374
789061,MK43 8PD,52.1476,-0.5367
789062,MK43 8PE,52.1455,-0.5361
789063,MK43 8PF,52.1484,-0.5376
789064,MK43 8PG,52.1460,-0.5350
789065,MK43 8PH,52.1456,-0.5335
789066,MK43 8PJ,52.1467,-0.5355
789067,MK43 8PL,52.1463,-0.5306
789068,MK43 8PN,52.1436,-0.5324
789069,MK43 8PP,52.1465,-0.5329
789070,MK43 8PQ,52.1431,-0.5428
789071,MK43 8PR,52.1428,-0.5439
789072,MK43 8PS,52.1444,-0.5296
789073,MK43 8PT,52.1452,-0.5300
789074,MK43 8PU,52.1445,-0.5338
789075,MK43 8PW,52.1431,-0.5339
789076,MK43 8PY,52.1439,-0.5336
789077,MK43 8PZ,52.1421,-0.5335
789078,MK43 8QA,52.1450,-0.5340
789079,MK43 8QB,52.1447,-0.5370
789080,MK43 8QD,52.1448,-0.5377
789081,MK43 8QE,52.1419,-0.5323
789082,MK43 8QF,52.1415,-0.5334
789083,MK43 8QG,52.1432,-0.5357
789084,MK43 8QH,52.1419,-0.5363
789085,MK43 8QJ,52.1427,-0.5382
789086,MK43 8QL,52.1432,-0.5364
789087,MK43 8QN,52.1436,-0.5386
789088,MK43 8QP,52.1410,-0.5353
789089,MK43 8QQ,52.1422,-0.5369
789090,MK43 8QR,52.1417,-0.5424
789091,MK43 8QS,52.1395,-0.5483
789092,MK43 8QT,52.1436,-0.5377
789093,MK43 8QU,52.1436,-0.5310
789094,MK43 8QW,52.1431,-0.5318
789095,MK43 8QX,52.1419,-0.5330
789096,MK43 8QY,52.1422,-0.5316
789097,MK43 8QZ,52.1424,-0.5312
789098,MK43 8RA,52.1156,-0.5143
789099,MK43 8RB,52.1162,-0.5165
789100,MK43 8RD,52.1149,-0.5183
789101,MK43 8RE,52.1431,-0.5299
789102,MK43 8RF,52.1437,-0.5293
789103,MK43 8RH,52.1202,-0.5189
789104,MK43 8RJ,52.1172,-0.5241
789105,MK43 8RL,52.1153,-0.5290
789106,MK43 8RN,52.1217,-0.5234
789107,MK43 8RP,52.1288,-0.5266
789108,MK43 8RR,52.1286,-0.5272
789109,MK43 8RS,52.1318,-0.5287
789110,MK43 8RT,52.1308,-0.5311
789111,MK43 8RU,52.1260,-0.5393
789112,MK43 8RW,52.1263,-0.5248
789113,MK43 8RX,52.1282,-0.5377
789114,MK43 8RY,52.1238,-0.5432
789115,MK43 8RZ,52.1200,-0.5486
789116,MK43 8SA,52.1182,-0.5515
789117,MK43 8SE,52.1305,-0.5628
789118,MK43 8SF,52.1290,-0.5673
789119,MK43 8SG,52.1297,-0.5670
789120,MK43 8SH,52.1318,-0.5670
789121,MK43 8SL,52.1336,-0.5692
789122,MK43 8SN,52.1282,-0.5827
789123,MK43 8SP,52.1425,-0.5343
789124,MK43 8SQ,52.1298,-0.5676
789125,MK43 7LN,52.1921,-0.6032
789126,MK43 7LP,52.1928,-0.6018
789127,MK43 7LQ,52.1793,-0.6049
