id,postcode,lat,lon
783325,ML1 4RS,55.8206,-3.9757
783326,ML1 4RT,55.8209,-3.9759
783327,ML1 4RU,55.8205,-3.9743
783328,ML1 4RW,55.8198,-3.9755
783329,ML1 4RX,55.8203,-3.9731
783330,ML1 4RY,55.8197,-3.9725
783331,ML1 4RZ,55.8208,-3.9718
783332,ML1 4SA,55.8201,-3.9707
783333,ML1 4SB,55.8197,-3.9676
783334,ML1 4SD,55.8196,-3.9666
783335,ML1 4SE,55.8208,-3.9701
783336,ML1 4SF,55.8210,-3.9684
783337,ML1 4SG,55.8218,-3.9670
783338,ML1 4SH,55.8218,-3.9691
783339,ML1 4SJ,55.8214,-3.9715
783340,ML1 4SL,55.8212,-3.9731
783341,ML1 4SN,55.8214,-3.9742
783342,ML1 4SP,55.8201,-3.9646
783343,ML1 4SQ,55.8225,-3.9669
783344,ML1 4SR,55.8191,-3.9684
783345,ML1 4SS,55.8190,-3.9650
783425,ML1 4ST,55.8218,-3.9650
783426,ML1 4SU,55.8225,-3.9654
783427,ML1 4SW,55.8198,-3.9658
783428,ML1 4SX,55.8216,-3.9661
783429,ML1 4SY,55.8205,-3.9666
783430,ML1 4SZ,55.8209,-3.9816
783431,ML1 4TA,55.8212,-3.9785
783432,ML1 4TB,55.8207,-3.9822
783433,ML1 4TD,55.8211,-3.9829
783434,ML1 4TE,55.8206,-3.9835
783435,ML1 4TF,55.8207,-3.9842
783436,ML1 4TG,55.8216,-3.9744
783437,ML1 4TH,55.8219,-3.9748
783438,ML1 4TJ,55.8224,-3.9727
783439,ML1 4TN,55.8233,-3.9658
783440,ML1 4TP,55.8232,-3.9677
783441,ML1 4TQ,55.8241,-3.9662
783442,ML1 4TR,55.8238,-3.9682
783443,ML1 4TS,55.8246,-3.9680
783444,ML1 4TT,55.8255,-3.9665
783445,ML1 4TU,55.8263,-3.9678
783446,ML1 4TW,55.8231,-3.9697
783447,ML1 4TX,55.8251,-3.9684
783448,ML1 4TY,55.8243,-3.9703
783449,ML1 4TZ,55.8234,-3.9704
783450,ML1 4UA,55.8230,-3.9718
783451,ML1 4UB,55.8215,-3.9754
783452,ML1 4UF,55.8332,-3.9886
783453,ML1 4UG,55.8014,-3.9825
783454,ML1 4UH,55.8074,-3.9706
783455,ML1 4UJ,55.8066,-3.9794
783456,ML1 4UL,55.8089,-3.9720
783457,ML1 4UQ,55.8072,-3.9779
783458,ML1 4UR,55.8296,-3.9937
783459,ML1 4UT,55.8188,-3.9830
783460,ML1 4UY,55.8260,-3.9855
783462,ML1 4WH,55.8348,-3.9921
783463,ML1 4WN,55.8067,-3.9677
783464,ML1 4WQ,55.8343,-3.9812
783465,ML1 4WR,55.8348,-3.9838
783466,ML1 4XB,55.8030,-3.9595
783467,ML1 4XF,55.8201,-3.9844
783468,ML1 4XJ,55.8278,-3.9830
783469,ML1 4XL,55.8321,-3.9951
783471,ML1 4XP,55.8205,-3.9787
783472,ML1 4XQ,55.8196,-3.9779
783473,ML1 4XR,55.8206,-3.9798
783474,ML1 4XS,55.8207,-3.9803
783475,ML1 4XT,55.8187,-3.9792
783476,ML1 4XU,55.8196,-3.9824
783477,ML1 4XW,55.8194,-3.9835
783478,ML1 4XX,55.8184,-3.9779
783479,ML1 4XY,55.8175,-3.9772
783480,ML1 4XZ,55.8173,-3.9780
783481,ML1 4YA,55.8176,-3.9788
783482,ML1 4YB,55.8184,-3.9809
783483,ML1 4YD,55.8190,-3.9804
783484,ML1 4YE,55.8200,-3.9802
783485,ML1 4YF,55.8297,-3.9805
783487,ML1 4YQ,55.8313,-3.9679
783488,ML1 4YT,55.8339,-3.9711
783525,ML1 4DQ,55.8048,-3.9584
783526,ML1 4DR,55.8051,-3.9626
783527,ML1 4DS,55.8053,-3.9618
783528,ML1 4DT,55.8064,-3.9609
783529,ML1 4DU,55.8056,-3.9601
783530,ML1 4DW,55.8113,-3.9838
783531,ML1 4DX,55.8062,-3.9597
783532,ML1 4DY,55.8047,-3.9602
783533,ML1 4EA,55.8023,-3.9634
783534,ML1 4EB,55.8029,-3.9623
783535,ML1 4ED,55.8034,-3.9633
783536,ML1 4EE,55.8045,-3.9642
783537,ML1 4EG,55.8053,-3.9652
783538,ML1 4EH,55.8064,-3.9668
783539,ML1 4EJ,55.8110,-3.9820
783540,ML1 4EL,55.8086,-3.9665
783541,ML1 4EN,55.8091,-3.9672
783542,ML1 4EP,55.8096,-3.9701
783543,ML1 4EQ,55.8045,-3.9621
783544,ML1 4ER,55.8092,-3.9689
783545,ML1 4ES,55.8089,-3.9676
783546,ML1 4ET,55.8095,-3.9711
783547,ML1 4EU,55.8082,-3.9683
783548,ML1 4EW,55.8102,-3.9691
783549,ML1 4EX,55.8102,-3.9716
783550,ML1 4EY,55.8110,-3.9705
783551,ML1 4EZ,55.8114,-3.9719
783552,ML1 4FA,55.8118,-3.9672
783625,ML1 4FB,55.8123,-3.9671
