id,postcode,lat,lon
1449450,N1 1YA,51.5391,-0.1034
1449451,N1 1YB,51.5391,-0.1034
1449452,N1 1YD,51.5423,-0.1080
1449453,N1 1YE,51.5391,-0.1034
1449454,N1 1YG,51.5442,-0.1052
1449455,N1 1YH,51.5384,-0.1033
1449456,N1 1YJ,51.5391,-0.1034
1449457,N1 1YL,51.5384,-0.1033
1449458,N1 1YN,51.5393,-0.1037
1449459,N1 1YP,51.5391,-0.1034
1449460,N1 1YQ,51.5384,-0.1033
1449461,N1 1YR,51.5406,-0.1124
1449462,N1 1YS,51.5406,-0.1124
1449463,N1 1YT,51.5406,-0.1124
1449464,N1 1YU,51.5391,-0.1034
1449465,N1 1YW,51.5397,-0.1125
1449466,N1 1YX,51.5391,-0.1034
1449467,N1 1YY,51.5414,-0.1052
1449468,N1 1YZ,51.5391,-0.1034
