id,postcode,lat,lon
774483,N1 2HA,51.5386,-0.1035
774484,N1 2HB,51.5386,-0.1035
774485,N1 2HD,51.5407,-0.0982
774486,N1 2HE,51.5412,-0.0984
774487,N1 2HF,51.5416,-0.0985
774488,N1 2HG,51.5432,-0.0988
774489,N1 2HH,51.5429,-0.0974
774490,N1 2HJ,51.5438,-0.0960
774491,N1 2HL,51.5386,-0.1035
774492,N1 2HN,51.5440,-0.0951
774493,N1 2HP,51.5421,-0.0971
774494,N1 2HQ,51.5431,-0.0984
774495,N1 2HR,51.5426,-0.0960
774496,N1 2HS,51.5414,-0.0969
774497,N1 2HT,51.5409,-0.0960
774498,N1 2HU,51.5412,-0.0957
774499,N1 2HW,51.5428,-0.0968
774500,N1 2HX,51.5416,-0.0961
774501,N1 2HY,51.5418,-0.0954
