id,postcode,lat,lon
1449684,N1 2PA,51.5453,-0.0995
1449685,N1 2PB,51.5453,-0.1000
1449686,N1 2PD,51.5454,-0.0894
1449687,N1 2PE,51.5436,-0.0923
1449688,N1 2PF,51.5440,-0.0918
1449689,N1 2PG,51.5482,-0.0926
1449690,N1 2PH,51.5474,-0.0940
1449691,N1 2PJ,51.5481,-0.0906
1449692,N1 2PL,51.5484,-0.0884
1449693,N1 2PN,51.5404,-0.0981
1449694,N1 2PP,51.5477,-0.0903
1449695,N1 2PQ,51.5483,-0.0916
1449696,N1 2PR,51.5457,-0.0915
1449697,N1 2PS,51.5452,-0.0908
1449698,N1 2PT,51.5458,-0.0889
1449699,N1 2PU,51.5461,-0.0922
1449700,N1 2PW,51.5486,-0.0904
1449701,N1 2PX,51.5460,-0.0881
1449702,N1 2PY,51.5461,-0.0878
1449703,N1 2PZ,51.5393,-0.1037
