id,postcode,lat,lon
1450021,N1 3LA,51.5391,-0.0863
1450022,N1 3LB,51.5404,-0.0851
1450023,N1 3LD,51.5456,-0.0839
1450024,N1 3LE,51.5446,-0.0841
1450025,N1 3LF,51.5436,-0.0845
1450026,N1 3LG,51.5435,-0.0858
1450027,N1 3LH,51.5436,-0.0885
1450028,N1 3LJ,51.5432,-0.0860
1450029,N1 3LL,51.5430,-0.0865
1450030,N1 3LN,51.5432,-0.0883
1450031,N1 3LP,51.5433,-0.0895
1450032,N1 3LQ,51.5439,-0.0883
1450033,N1 3LR,51.5430,-0.0887
1450034,N1 3LS,51.5427,-0.0867
1450035,N1 3LT,51.5433,-0.0846
1450036,N1 3LU,51.5463,-0.0855
1450037,N1 3LW,51.5433,-0.0887
1450038,N1 3LX,51.5458,-0.0862
1450039,N1 3LY,51.5381,-0.0858
1450040,N1 3LZ,51.5456,-0.0848
