id,postcode,lat,lon
1460550,N17 0AA,51.5988,-0.0676
1460551,N17 0AB,51.5997,-0.0676
1460552,N17 0AD,51.5990,-0.0677
1460553,N17 0AE,51.6009,-0.0675
1460554,N17 0AF,51.6035,-0.0613
1460555,N17 0AG,51.6022,-0.0673
1460556,N17 0AH,51.5998,-0.0676
1460557,N17 0AJ,51.5992,-0.0681
1460558,N17 0AL,51.6033,-0.0674
1460559,N17 0AN,51.6030,-0.0676
1460560,N17 0AP,51.6033,-0.0658
1460561,N17 0AQ,51.6035,-0.0613
1460562,N17 0AR,51.6014,-0.0660
1460563,N17 0AS,51.5994,-0.0660
1460564,N17 0AT,51.5993,-0.0649
1460565,N17 0AU,51.5997,-0.0670
1460566,N17 0AW,51.6017,-0.0670
1460567,N17 0AX,51.6003,-0.0665
1460568,N17 0AY,51.5996,-0.0645
1460569,N17 0AZ,51.6005,-0.0675
1460570,N17 0BA,51.5999,-0.0636
1460571,N17 0BB,51.6004,-0.0640
1460572,N17 0BD,51.6005,-0.0644
1460573,N17 0BE,51.6011,-0.0657
1460574,N17 0BF,51.5997,-0.0661
1460575,N17 0BG,51.6016,-0.0644
1460576,N17 0BH,51.6012,-0.0640
1460577,N17 0BJ,51.6019,-0.0639
1460578,N17 0BL,51.6009,-0.0633
1460579,N17 0BN,51.6014,-0.0624
1460580,N17 0BP,51.6041,-0.0673
1460581,N17 0BQ,51.6017,-0.0639
1460582,N17 0BS,51.6044,-0.0654
1460583,N17 0BT,51.6008,-0.0669
1460584,N17 0BU,51.6041,-0.0676
1460585,N17 0BW,51.6082,-0.0665
1460586,N17 0BX,51.6042,-0.0676
1460587,N17 0BY,51.6035,-0.0613
1460588,N17 0BZ,51.6037,-0.0679
1460589,N17 0DA,51.6051,-0.0665
1460590,N17 0DB,51.6020,-0.0598
1460591,N17 0DD,51.5994,-0.0668
1460592,N17 0DE,51.6083,-0.0654
1460593,N17 0DF,51.6046,-0.0665
1460594,N17 0DG,51.6046,-0.0665
1460595,N17 0DH,51.6058,-0.0678
1460596,N17 0DJ,51.6046,-0.0693
1460597,N17 0DL,51.6035,-0.0613
1460598,N17 0DN,51.6046,-0.0679
1460599,N17 0DP,51.6085,-0.0669
1460600,N17 0DQ,51.6035,-0.0613
1460601,N17 0DR,51.6055,-0.0693
1460602,N17 0DS,51.6055,-0.0693
1460603,N17 0DT,51.6079,-0.0649
1460604,N17 0DU,51.6084,-0.0627
1460605,N17 0DW,51.6064,-0.0678
1460606,N17 0DX,51.6083,-0.0605
1460607,N17 0DY,51.6067,-0.0613
1460608,N17 0DZ,51.6085,-0.0669
1460609,N17 0EA,51.6081,-0.0620
1460610,N17 0EB,51.6068,-0.0595
1460611,N17 0ED,51.6087,-0.0564
1460612,N17 0EE,51.6085,-0.0587
1460613,N17 0EF,51.6035,-0.0613
1460614,N17 0EG,51.6035,-0.0613
1460615,N17 0EH,51.6072,-0.0606
1460616,N17 0EJ,51.6072,-0.0620
1460617,N17 0EL,51.6072,-0.0620
1460618,N17 0EN,51.6065,-0.0613
1460619,N17 0EP,51.6068,-0.0613
1460620,N17 0EQ,51.6072,-0.0620
1460621,N17 0ER,51.6071,-0.0628
1460622,N17 0ES,51.6070,-0.0628
1460623,N17 0ET,51.6065,-0.0628
1460624,N17 0EU,51.6076,-0.0644
1460625,N17 0EW,51.6062,-0.0498
1460626,N17 0EX,51.6073,-0.0642
1460627,N17 0EY,51.6070,-0.0678
1460628,N17 0EZ,51.6070,-0.0678
1460629,N17 0FA,51.6052,-0.0542
1460630,N17 0FB,51.5994,-0.0673
1460631,N17 0FD,51.5988,-0.0676
1460632,N17 0FE,51.6040,-0.0595
1460633,N17 0FF,51.6042,-0.0533
1460634,N17 0FG,51.6059,-0.0461
1460635,N17 0FL,51.5939,-0.0716
1460636,N17 0GA,51.5988,-0.0676
1460637,N17 0GS,51.6018,-0.0529
1460638,N17 0HA,51.6074,-0.0678
1460639,N17 0HB,51.6026,-0.0618
1460640,N17 0HD,51.6067,-0.0668
1460641,N17 0HE,51.6073,-0.0665
1460642,N17 0HF,51.6072,-0.0671
1460643,N17 0HG,51.6064,-0.0664
1460644,N17 0HH,51.6027,-0.0637
1460645,N17 0HJ,51.6028,-0.0598
1460646,N17 0HL,51.6029,-0.0620
1460647,N17 0HN,51.6025,-0.0611
1460648,N17 0HQ,51.6019,-0.0680
1460649,N17 0HR,51.6026,-0.0570
1460650,N17 0HS,51.6026,-0.0565
1460651,N17 0HT,51.6026,-0.0559
1460652,N17 0HU,51.6024,-0.0544
1460653,N17 0HW,51.6030,-0.0523
1460654,N17 0HX,51.6030,-0.0540
1460655,N17 0HY,51.6018,-0.0544
1460656,N17 0HZ,51.6017,-0.0550
1460657,N17 0JA,51.6021,-0.0563
1460658,N17 0JB,51.6019,-0.0567
1460659,N17 0JD,51.6018,-0.0580
1460660,N17 0JE,51.6014,-0.0568
1460661,N17 0JF,51.6019,-0.0603
1460662,N17 0JG,51.6011,-0.0568
1460663,N17 0JH,51.6012,-0.0594
1460664,N17 0JJ,51.6014,-0.0593
1460665,N17 0JL,51.6018,-0.0593
1460666,N17 0JN,51.6023,-0.0583
1460667,N17 0JP,51.6023,-0.0602
1460668,N17 0JQ,51.6022,-0.0667
1460669,N17 0JR,51.6023,-0.0624
1460670,N17 0JS,51.6022,-0.0647
