id,postcode,lat,lon
1466000,N2 9NA,51.5898,-0.1542
1466001,N2 9NB,51.5903,-0.1548
1466002,N2 9ND,51.5903,-0.1553
1466003,N2 9NE,51.5893,-0.1551
1466004,N2 9NF,51.5917,-0.1532
1466005,N2 9NG,51.5921,-0.1595
1466006,N2 9NH,51.5920,-0.1589
1466007,N2 9NJ,51.5917,-0.1583
1466008,N2 9NL,51.5917,-0.1554
1466009,N2 9NN,51.5916,-0.1520
1466010,N2 9NP,51.5917,-0.1513
1466011,N2 9NQ,51.5917,-0.1594
1466012,N2 9NR,51.5921,-0.1541
1466013,N2 9NS,51.5937,-0.1552
1466014,N2 9NT,51.5937,-0.1560
1466015,N2 9NU,51.5922,-0.1567
1466016,N2 9NX,51.5937,-0.1571
1466017,N2 9NY,51.5936,-0.1579
1466018,N2 9NZ,51.5923,-0.1619
