id,postcode,lat,lon
1470079,N3 2TA,51.5948,-0.1861
1470080,N3 2TB,51.5939,-0.1853
1470081,N3 2TD,51.5946,-0.1881
1470082,N3 2TE,51.5984,-0.1866
1470083,N3 2TF,51.6015,-0.1853
1470084,N3 2TG,51.6015,-0.1854
1470085,N3 2TH,51.5994,-0.1953
1470086,N3 2TJ,51.5989,-0.1959
1470087,N3 2TL,51.5988,-0.1954
1470088,N3 2TN,51.6000,-0.1945
1470089,N3 2TP,51.6015,-0.1951
1470090,N3 2TQ,51.6015,-0.1951
1470091,N3 2TR,51.5953,-0.1838
1470092,N3 2TS,51.6015,-0.1951
1470093,N3 2TT,51.6015,-0.1853
1470094,N3 2TW,51.6015,-0.1951
1470095,N3 2TX,51.6000,-0.1949
1470096,N3 2TY,51.6000,-0.1949
1470097,N3 2TZ,51.6000,-0.1949
