id,postcode,lat,lon
1471375,N4 2ZA,51.5761,-0.0973
1471376,N4 2ZB,51.5761,-0.0973
1471377,N4 2ZD,51.5761,-0.0973
1471378,N4 2ZE,51.5761,-0.0973
1471379,N4 2ZF,51.5692,-0.0939
1471380,N4 2ZG,51.5761,-0.0973
1471381,N4 2ZH,51.5761,-0.0973
1471382,N4 2ZJ,51.5761,-0.0973
1471383,N4 2ZL,51.5761,-0.0973
1471384,N4 2ZN,51.5761,-0.0973
1471385,N4 2ZP,51.5659,-0.0963
1471386,N4 2ZQ,51.5761,-0.0973
1471387,N4 2ZR,51.5761,-0.0973
1471388,N4 2ZS,51.5761,-0.0973
1471389,N4 2ZT,51.5761,-0.0973
1471390,N4 2ZU,51.5761,-0.0973
1471391,N4 2ZW,51.5761,-0.0973
1471392,N4 2ZY,51.5761,-0.0973
