id,postcode,lat,lon
1472796,N5 2XA,51.5570,-0.0952
1472797,N5 2XB,51.5563,-0.0952
1472798,N5 2XD,51.5555,-0.0948
1472799,N5 2XE,51.5576,-0.0981
1472800,N5 2XF,51.5538,-0.0990
1472801,N5 2XG,51.5555,-0.0978
1472802,N5 2XH,51.5560,-0.0975
1472803,N5 2XJ,51.5560,-0.0975
1472804,N5 2XL,51.5538,-0.0990
1472805,N5 2XN,51.5538,-0.0990
1472806,N5 2XP,51.5538,-0.0990
1472807,N5 2XQ,51.5558,-0.0977
1472808,N5 2XR,51.5560,-0.0975
1472809,N5 2XS,51.5538,-0.0990
1472810,N5 2XT,51.5560,-0.0975
1472811,N5 2XU,51.5538,-0.0990
1472812,N5 2XW,51.5560,-0.0975
1472813,N5 2XX,51.5538,-0.0990
1472814,N5 2XY,51.5538,-0.0990
1472815,N5 2XZ,51.5538,-0.0990
