id,postcode,lat,lon
1474617,N7 7QA,51.5615,-0.1135
1474618,N7 7QB,51.5615,-0.1135
1474619,N7 7QD,51.5623,-0.1121
1474620,N7 7QE,51.5622,-0.1111
1474621,N7 7QF,51.5621,-0.1139
1474622,N7 7QG,51.5616,-0.1132
1474623,N7 7QH,51.5604,-0.1145
1474624,N7 7QJ,51.5604,-0.1159
1474625,N7 7QL,51.5604,-0.1145
1474626,N7 7QN,51.5604,-0.1145
1474627,N7 7QP,51.5608,-0.1146
1474628,N7 7QR,51.5609,-0.1143
1474629,N7 7QS,51.5610,-0.1142
1474630,N7 7QT,51.5610,-0.1148
1474631,N7 7QW,51.5659,-0.1221
1474632,N7 7QY,51.5621,-0.1168
1474633,N7 7QZ,51.5618,-0.1165
