id,postcode,lat,lon
1477388,N9 8BA,51.6396,-0.0459
1477389,N9 8BB,51.6389,-0.0422
1477390,N9 8BD,51.6379,-0.0382
1477391,N9 8BE,51.6379,-0.0390
1477392,N9 8BF,51.6370,-0.0452
1477393,N9 8BG,51.6384,-0.0407
1477394,N9 8BH,51.6388,-0.0432
1477395,N9 8BJ,51.6392,-0.0455
1477396,N9 8BL,51.6349,-0.0478
1477397,N9 8BN,51.6393,-0.0462
1477398,N9 8BP,51.6355,-0.0496
1477399,N9 8BQ,51.6384,-0.0433
1477400,N9 8BS,51.6356,-0.0493
1477401,N9 8BT,51.6342,-0.0469
1477402,N9 8BU,51.6359,-0.0489
1477403,N9 8BW,51.6358,-0.0521
1477404,N9 8BX,51.6359,-0.0480
1477405,N9 8BY,51.6348,-0.0467
1477406,N9 8BZ,51.6365,-0.0494
