id,postcode,lat,lon
757357,N9 9RA,51.6249,-0.0715
757358,N9 9RB,51.6255,-0.0718
757359,N9 9RD,51.6254,-0.0725
757360,N9 9RE,51.6255,-0.0729
757361,N9 9RF,51.6243,-0.0728
757362,N9 9RG,51.6239,-0.0724
757363,N9 9RH,51.6229,-0.0729
757364,N9 9RJ,51.6251,-0.0736
757365,N9 9RL,51.6247,-0.0731
757366,N9 9RN,51.6275,-0.0710
757367,N9 9RP,51.6260,-0.0711
757368,N9 9RQ,51.6236,-0.0725
757369,N9 9RR,51.6259,-0.0707
757370,N9 9RS,51.6251,-0.0702
757371,N9 9RT,51.6260,-0.0694
757372,N9 9RU,51.6258,-0.0700
757373,N9 9RW,51.6271,-0.0709
757375,N9 9RZ,51.6253,-0.0634
