id,postcode,lat,lon
1556606,NG8 2AA,52.9537,-1.2140
1556607,NG8 2AB,52.9540,-1.2155
1556608,NG8 2AD,52.9536,-1.2130
1556609,NG8 2AE,52.9478,-1.2110
1556610,NG8 2AF,52.9533,-1.2197
1556611,NG8 2AG,52.9516,-1.2197
1556612,NG8 2AH,52.9526,-1.2207
1556613,NG8 2AJ,52.9530,-1.2210
1556614,NG8 2AL,52.9538,-1.2204
1556615,NG8 2AN,52.9538,-1.2222
1556616,NG8 2AP,52.9543,-1.2218
1556617,NG8 2AQ,52.9545,-1.2196
1556618,NG8 2AR,52.9535,-1.2186
1556619,NG8 2AS,52.9524,-1.2185
1556620,NG8 2AT,52.9505,-1.2306
1556621,NG8 2AU,52.9559,-1.2267
1556622,NG8 2AW,52.9547,-1.2096
1556623,NG8 2AX,52.9599,-1.2184
1556624,NG8 2AY,52.9595,-1.2211
1556625,NG8 2AZ,52.9591,-1.2221
1556626,NG8 2BA,52.9547,-1.2151
1556627,NG8 2BB,52.9539,-1.2172
1556628,NG8 2BD,52.9551,-1.2205
1556629,NG8 2BE,52.9555,-1.2205
1556630,NG8 2BF,52.9571,-1.2222
1556631,NG8 2BG,52.9548,-1.2208
1556632,NG8 2BH,52.9550,-1.2143
1556633,NG8 2BJ,52.9552,-1.2142
1556634,NG8 2BL,52.9552,-1.2106
1556635,NG8 2BN,52.9556,-1.2127
1556636,NG8 2BP,52.9556,-1.2157
1556637,NG8 2BQ,52.9561,-1.2124
1556638,NG8 2BR,52.9593,-1.2188
1556639,NG8 2BS,52.9588,-1.2230
1556640,NG8 2BT,52.9585,-1.2240
1556641,NG8 2BU,52.9578,-1.2246
1556642,NG8 2BW,52.9554,-1.2272
1556643,NG8 2BX,52.9569,-1.2282
1556644,NG8 2BY,52.9571,-1.2260
1556645,NG8 2BZ,52.9578,-1.2267
1556646,NG8 2DA,52.9558,-1.2234
1556647,NG8 2DB,52.9559,-1.2252
1556648,NG8 2DD,52.9569,-1.2256
1556649,NG8 2DE,52.9568,-1.2241
1556650,NG8 2DF,52.9552,-1.2257
1556651,NG8 2DG,52.9561,-1.2275
1556652,NG8 2DH,52.9560,-1.2295
1556653,NG8 2DJ,52.9562,-1.2330
1556654,NG8 2DL,52.9566,-1.2326
1556655,NG8 2DN,52.9557,-1.2340
1556656,NG8 2DP,52.9557,-1.2367
1556657,NG8 2DQ,52.9562,-1.2364
1556658,NG8 2DR,52.9561,-1.2382
1556659,NG8 2DS,52.9553,-1.2416
1556660,NG8 2DT,52.9552,-1.2447
1556661,NG8 2DU,52.9564,-1.2420
1556662,NG8 2DW,52.9560,-1.2421
1556663,NG8 2DX,52.9554,-1.2401
1556664,NG8 2DY,52.9556,-1.2269
1556665,NG8 2DZ,52.9601,-1.2173
1556666,NG8 2EA,52.9554,-1.2249
1556667,NG8 2EB,52.9599,-1.2221
1556668,NG8 2ED,52.9548,-1.2352
1556669,NG8 2EE,52.9536,-1.2339
1556670,NG8 2EF,52.9544,-1.2330
1556671,NG8 2EG,52.9547,-1.2247
1556672,NG8 2EH,52.9543,-1.2249
1556673,NG8 2EJ,52.9548,-1.2275
1556674,NG8 2EL,52.9545,-1.2291
1556675,NG8 2EN,52.9553,-1.2349
1556676,NG8 2EP,52.9550,-1.2404
1556677,NG8 2EQ,52.9539,-1.2391
1556678,NG8 2ER,52.9543,-1.2409
1556679,NG8 2ES,52.9546,-1.2418
1556680,NG8 2ET,52.9537,-1.2404
1556681,NG8 2EU,52.9545,-1.2377
1556682,NG8 2EW,52.9545,-1.2384
1556683,NG8 2EX,52.9536,-1.2376
1556684,NG8 2EY,52.9542,-1.2361
1556685,NG8 2EZ,52.9534,-1.2372
1556686,NG8 2FA,52.9581,-1.2205
1556687,NG8 2FB,52.9525,-1.2407
1556688,NG8 2FD,52.9532,-1.2417
1556689,NG8 2FE,52.9548,-1.2430
1556690,NG8 2FF,52.9574,-1.2215
1556691,NG8 2FG,52.9564,-1.2232
1556692,NG8 2FH,52.9571,-1.2227
1556693,NG8 2FJ,52.9505,-1.2306
1556694,NG8 2FL,52.9531,-1.2289
1556695,NG8 2FN,52.9508,-1.2277
1556696,NG8 2FP,52.9599,-1.2221
1556697,NG8 2FQ,52.9540,-1.2274
1556698,NG8 2FR,52.9534,-1.2261
1556699,NG8 2FS,52.9534,-1.2266
1556700,NG8 2FT,52.9541,-1.2281
1556701,NG8 2FU,52.9530,-1.2282
1556702,NG8 2FW,52.9533,-1.2273
1556703,NG8 2FX,52.9518,-1.2257
1556704,NG8 2FY,52.9514,-1.2266
1556705,NG8 2FZ,52.9516,-1.2279
1556706,NG8 2GA,52.9503,-1.2282
1556707,NG8 2GB,52.9502,-1.2296
1556708,NG8 2GD,52.9522,-1.2355
1556709,NG8 2GE,52.9507,-1.2311
1556710,NG8 2GF,52.9518,-1.2344
1556711,NG8 2GG,52.9507,-1.2363
1556712,NG8 2GH,52.9506,-1.2351
1556713,NG8 2GJ,52.9510,-1.2360
1556714,NG8 2GL,52.9510,-1.2345
1556715,NG8 2GN,52.9506,-1.2335
1556716,NG8 2GP,52.9503,-1.2326
1556717,NG8 2GQ,52.9493,-1.2291
1556718,NG8 2GR,52.9490,-1.2300
1556719,NG8 2GS,52.9495,-1.2317
1556720,NG8 2GW,52.9599,-1.2221
1556721,NG8 2HA,52.9557,-1.2418
1556722,NG8 2HB,52.9369,-1.2277
1556723,NG8 2HD,52.9369,-1.2277
1556724,NG8 2HE,52.9369,-1.2277
1556725,NG8 2HF,52.9369,-1.2277
1556726,NG8 2HG,52.9369,-1.2277
1556727,NG8 2HH,52.9369,-1.2277
1556728,NG8 2HJ,52.9369,-1.2277
1556729,NG8 2HL,52.9369,-1.2277
1556730,NG8 2HN,52.9369,-1.2277
1556731,NG8 2HP,52.9369,-1.2277
1556732,NG8 2HQ,52.9369,-1.2277
1556733,NG8 2HR,52.9369,-1.2277
1556734,NG8 2HS,52.9369,-1.2277
1556735,NG8 2HT,52.9369,-1.2277
1556736,NG8 2HU,52.9369,-1.2277
1556737,NG8 2HW,52.9369,-1.2277
1556738,NG8 2HX,52.9369,-1.2277
1556739,NG8 2HY,52.9514,-1.2439
1556740,NG8 2HZ,52.9505,-1.2439
1556741,NG8 2JA,52.9516,-1.2414
1556742,NG8 2JB,52.9520,-1.2450
1556743,NG8 2JD,52.9519,-1.2432
1556744,NG8 2JE,52.9517,-1.2435
1556745,NG8 2JF,52.9522,-1.2425
1556746,NG8 2JG,52.9520,-1.2437
1556747,NG8 2JH,52.9511,-1.2455
1556748,NG8 2JJ,52.9507,-1.2453
1556749,NG8 2JL,52.9513,-1.2446
1556750,NG8 2JN,52.9511,-1.2440
1556751,NG8 2JP,52.9599,-1.2221
1556752,NG8 2JQ,52.9525,-1.2450
1556753,NG8 2JW,52.9599,-1.2221
1556754,NG8 2LY,52.9599,-1.2221
1556755,NG8 2LZ,52.9506,-1.2302
1556756,NG8 2NA,52.9515,-1.2231
1556757,NG8 2NB,52.9531,-1.2234
1556758,NG8 2ND,52.9528,-1.2222
1556759,NG8 2NE,52.9525,-1.2246
1556760,NG8 2NF,52.9517,-1.2238
1556761,NG8 2NG,52.9505,-1.2260
1556762,NG8 2NH,52.9497,-1.2286
1556763,NG8 2NJ,52.9493,-1.2265
1556764,NG8 2NL,52.9487,-1.2238
1556765,NG8 2NN,52.9437,-1.2214
1556766,NG8 2NP,52.9490,-1.2234
1556767,NG8 2NQ,52.9437,-1.2220
1556768,NG8 2NR,52.9405,-1.2172
1556769,NG8 2NS,52.9509,-1.2259
1556770,NG8 2NT,52.9599,-1.2221
1556771,NG8 2NU,52.9505,-1.2306
1556772,NG8 2NW,52.9520,-1.2209
1556773,NG8 2NX,52.9522,-1.2248
1556774,NG8 2NY,52.9513,-1.2260
1556775,NG8 2NZ,52.9513,-1.2260
1556776,NG8 2PA,52.9426,-1.2218
1556777,NG8 2PB,52.9419,-1.2213
1556778,NG8 2PD,52.9410,-1.2202
1556779,NG8 2PE,52.9445,-1.2250
1556780,NG8 2PF,52.9472,-1.2280
1556781,NG8 2PG,52.9476,-1.2279
1556782,NG8 2PH,52.9478,-1.2270
1556783,NG8 2PJ,52.9472,-1.2259
1556784,NG8 2PL,52.9459,-1.2251
1556785,NG8 2PN,52.9434,-1.2237
1556786,NG8 2PP,52.9438,-1.2227
1556787,NG8 2PQ,52.9455,-1.2237
1556788,NG8 2PR,52.9466,-1.2244
1556789,NG8 2PS,52.9480,-1.2254
1556790,NG8 2PT,52.9482,-1.2251
1556791,NG8 2PU,52.9485,-1.2243
1556792,NG8 2PW,52.9489,-1.2253
1556793,NG8 2PX,52.9530,-1.2441
1556794,NG8 2PY,52.9506,-1.2384
1556795,NG8 2PZ,52.9520,-1.2386
1556796,NG8 2QA,52.9524,-1.2373
1556797,NG8 2QB,52.9530,-1.2439
1556798,NG8 2QD,52.9423,-1.2381
1556799,NG8 2QE,52.9504,-1.2260
1556800,NG8 2QF,52.9458,-1.2335
1556801,NG8 2QG,52.9490,-1.2278
1556802,NG8 2QH,52.9478,-1.2292
1556803,NG8 2QJ,52.9464,-1.2313
1556804,NG8 2QL,52.9450,-1.2338
1556805,NG8 2QN,52.9451,-1.2347
1556806,NG8 2QP,52.9463,-1.2325
1556807,NG8 2QQ,52.9477,-1.2301
1556808,NG8 2QR,52.9458,-1.2268
1556809,NG8 2QS,52.9459,-1.2279
1556810,NG8 2QT,52.9440,-1.2260
1556811,NG8 2QU,52.9438,-1.2295
1556812,NG8 2QW,52.9442,-1.2293
1556813,NG8 2QX,52.9458,-1.2291
1556814,NG8 2QY,52.9454,-1.2292
1556815,NG8 2QZ,52.9459,-1.2321
1556816,NG8 2RA,52.9444,-1.2290
1556817,NG8 2RB,52.9447,-1.2288
1556818,NG8 2RD,52.9445,-1.2333
1556819,NG8 2RE,52.9444,-1.2315
1556820,NG8 2RF,52.9439,-1.2330
1556821,NG8 2RG,52.9435,-1.2321
1556822,NG8 2RH,52.9435,-1.2317
1556823,NG8 2RJ,52.9430,-1.2313
1556824,NG8 2RL,52.9435,-1.2292
1556825,NG8 2RN,52.9423,-1.2256
1556826,NG8 2RP,52.9418,-1.2249
1556827,NG8 2RQ,52.9423,-1.2263
1556828,NG8 2RR,52.9430,-1.2299
1556829,NG8 2RS,52.9430,-1.2295
1556830,NG8 2RT,52.9427,-1.2287
1556831,NG8 2RU,52.9433,-1.2266
1556832,NG8 2RW,52.9420,-1.2248
1556833,NG8 2RX,52.9425,-1.2278
1556834,NG8 2RY,52.9505,-1.2306
1556835,NG8 2RZ,52.9490,-1.2408
1556836,NG8 2SA,52.9476,-1.2309
1556837,NG8 2SB,52.9491,-1.2321
1556838,NG8 2SD,52.9489,-1.2323
1556839,NG8 2SE,52.9484,-1.2341
1556840,NG8 2SF,52.9482,-1.2345
1556841,NG8 2SG,52.9483,-1.2329
1556842,NG8 2SH,52.9471,-1.2328
1556843,NG8 2SJ,52.9469,-1.2327
1556844,NG8 2SL,52.9469,-1.2362
1556845,NG8 2SN,52.9471,-1.2360
1556846,NG8 2SP,52.9471,-1.2345
1556847,NG8 2SQ,52.9479,-1.2357
1556848,NG8 2SR,52.9477,-1.2364
1556849,NG8 2SS,52.9466,-1.2365
1556850,NG8 2ST,52.9471,-1.2382
1556851,NG8 2SU,52.9484,-1.2374
1556852,NG8 2SW,52.9462,-1.2372
1556853,NG8 2SX,52.9466,-1.2391
1556854,NG8 2SY,52.9457,-1.2342
1556855,NG8 2SZ,52.9487,-1.2363
1556856,NG8 2TA,52.9483,-1.2387
1556857,NG8 2TB,52.9484,-1.2380
1556858,NG8 2TD,52.9499,-1.2374
1556859,NG8 2TE,52.9495,-1.2384
1556860,NG8 2TF,52.9487,-1.2400
1556861,NG8 2TG,52.9482,-1.2401
1556862,NG8 2TH,52.9511,-1.2399
1556863,NG8 2TJ,52.9505,-1.2434
1556864,NG8 2TL,52.9494,-1.2417
1556865,NG8 2TN,52.9508,-1.2413
1556866,NG8 2TP,52.9510,-1.2400
1556867,NG8 2TQ,52.9503,-1.2408
1556868,NG8 2TR,52.9499,-1.2417
1556869,NG8 2TS,52.9495,-1.2424
1556870,NG8 2TT,52.9499,-1.2439
1556871,NG8 2TU,52.9506,-1.2426
1556872,NG8 2TW,52.9505,-1.2409
1556873,NG8 2TX,52.9505,-1.2306
1556874,NG8 2TY,52.9459,-1.2335
1556875,NG8 2TZ,52.9459,-1.2335
1556876,NG8 2UA,52.9441,-1.2306
1556877,NG8 2UB,52.9599,-1.2221
1556878,NG8 2UD,52.9599,-1.2221
1556879,NG8 2UE,52.9506,-1.2302
1556880,NG8 2UF,52.9599,-1.2221
1556881,NG8 2UG,52.9599,-1.2221
1556882,NG8 2UH,52.9599,-1.2221
1556883,NG8 2UQ,52.9599,-1.2221
1556884,NG8 2UU,52.9599,-1.2221
1556885,NG8 2WA,52.9599,-1.2221
1556886,NG8 2WD,52.9599,-1.2221
1556887,NG8 2WE,52.9599,-1.2221
1556888,NG8 2WF,52.9599,-1.2221
1556889,NG8 2WG,52.9599,-1.2221
1556890,NG8 2WH,52.9599,-1.2221
1556891,NG8 2WQ,52.9599,-1.2221
1556892,NG8 2WU,52.9599,-1.2221
1556893,NG8 2WW,52.9505,-1.2307
1556894,NG8 2WZ,52.9599,-1.2221
1556895,NG8 2ZF,52.9599,-1.2221
1556896,NG8 2ZP,52.9599,-1.2221
1556897,NG8 2ZQ,52.9599,-1.2221
1556898,NG8 2ZR,52.9599,-1.2221
1556899,NG8 2ZZ,52.9599,-1.2221
