id,postcode,lat,lon
1609704,NP7 8AA,51.8410,-2.9668
1609705,NP7 8AB,51.8384,-2.9711
1609706,NP7 8AD,51.8390,-2.9707
1609707,NP7 8AE,51.8360,-2.9753
1609708,NP7 8AF,51.9142,-2.8691
1609709,NP7 8AG,51.8437,-2.9541
1609710,NP7 8AH,51.8408,-2.9418
1609711,NP7 8AJ,51.8475,-2.8606
1609712,NP7 8AL,51.8572,-2.8774
1609713,NP7 8AN,51.8781,-2.9826
1609714,NP7 8AP,51.8427,-2.9713
1609715,NP7 8AR,51.8368,-2.9904
1609716,NP7 8AS,51.8375,-2.9970
1609717,NP7 8AT,51.8526,-2.9963
1609718,NP7 8AU,51.8453,-2.9923
1609719,NP7 8AW,51.8481,-2.9588
1609720,NP7 8AY,51.8301,-2.9992
1609721,NP7 8BA,51.8300,-2.9992
1609722,NP7 8BB,51.8280,-2.9906
1609723,NP7 8BD,51.8276,-2.9910
1609724,NP7 8BE,51.8270,-2.9788
1609725,NP7 8BG,51.8305,-2.9779
1609726,NP7 8BH,51.8336,-2.9650
1609727,NP7 8BL,51.8333,-2.9487
1609728,NP7 8BN,51.8316,-2.9489
1609729,NP7 8BP,51.8261,-2.9468
1609730,NP7 8BS,51.8211,-2.9652
1609731,NP7 8BT,51.8231,-2.9743
1609732,NP7 8BU,51.8243,-2.9867
1609733,NP7 8BW,51.8302,-2.9455
1609734,NP7 8BY,51.8247,-3.0016
1609735,NP7 8DA,51.8734,-2.9963
1609736,NP7 8DB,51.8811,-2.9806
1609737,NP7 8DD,51.8817,-2.9839
1609738,NP7 8DE,51.8502,-3.0023
1609739,NP7 8DF,51.8562,-3.0004
1609740,NP7 8DG,51.8819,-2.9781
1609741,NP7 8DH,51.8795,-2.9808
1609742,NP7 8DJ,51.8825,-2.9778
1609743,NP7 8DL,51.8863,-2.9720
1609744,NP7 8DN,51.8904,-2.9699
1609745,NP7 8DP,51.8950,-2.9683
1609746,NP7 8DQ,51.8787,-2.9820
1609747,NP7 8DR,51.9013,-2.9602
1609748,NP7 8DS,51.8965,-2.9668
1609749,NP7 8DT,51.8957,-2.9672
1609750,NP7 8DU,51.8814,-2.9798
1609751,NP7 8DW,51.8924,-2.9700
1609752,NP7 8DX,51.8802,-2.9802
1609753,NP7 8EA,51.8950,-2.9627
1609754,NP7 8EB,51.9144,-2.9364
1609755,NP7 8ED,51.8933,-2.9471
1609756,NP7 8EE,51.8972,-2.9317
1609757,NP7 8EF,51.8862,-2.9361
1609758,NP7 8EG,51.8841,-2.9488
1609759,NP7 8EH,51.8753,-2.9501
1609760,NP7 8EL,51.8643,-2.9560
1609761,NP7 8EN,51.8669,-2.9692
1609762,NP7 8EP,51.9154,-2.8681
1609763,NP7 8EQ,51.9161,-2.8689
1609764,NP7 8ER,51.9183,-2.8672
1609765,NP7 8ES,51.9198,-2.8632
1609766,NP7 8ET,51.9175,-2.8700
1609767,NP7 8EW,51.8799,-2.9538
1609768,NP7 8EX,51.9163,-2.8693
1609769,NP7 8EY,51.9186,-2.8774
1609770,NP7 8HA,51.9224,-2.8737
1609771,NP7 8HB,51.9326,-2.8836
1609772,NP7 8HD,51.9306,-2.8837
1609773,NP7 8HE,51.9231,-2.8934
1609774,NP7 8HF,51.9202,-2.9030
1609775,NP7 8HG,51.9162,-2.9144
1609776,NP7 8HH,51.9164,-2.9333
1609777,NP7 8HL,51.9120,-2.8970
1609778,NP7 8HN,51.8989,-2.9112
1609779,NP7 8HP,51.9120,-2.8685
1609780,NP7 8HR,51.9070,-2.8747
1609781,NP7 8HS,51.9058,-2.8851
1609782,NP7 8HT,51.8951,-2.8898
1609783,NP7 8HU,51.8930,-2.8992
1609784,NP7 8HW,51.8808,-2.9683
1609785,NP7 8HY,51.8840,-2.8899
1609786,NP7 8LA,51.8769,-2.8900
1609787,NP7 8LB,51.8859,-2.8858
1609788,NP7 8LD,51.8977,-2.8718
1609789,NP7 8LE,51.9108,-2.8432
1609790,NP7 8LF,51.9062,-2.8418
1609791,NP7 8LG,51.8998,-2.8287
1609792,NP7 8LH,51.8927,-2.8160
1609793,NP7 8LL,51.9077,-2.8516
1609794,NP7 8LN,51.9122,-2.8607
1609795,NP7 8LP,51.9151,-2.8690
1609796,NP7 8LQ,51.9146,-2.8697
1609797,NP7 8LR,51.8915,-2.8315
1609798,NP7 8LS,51.8864,-2.8447
1609799,NP7 8LT,51.8825,-2.8505
1609800,NP7 8LU,51.8779,-2.8452
1609801,NP7 8LW,51.9136,-2.8659
1609802,NP7 8LY,51.8732,-2.8458
1609803,NP7 8NA,51.8898,-2.8564
1609804,NP7 8NB,51.8975,-2.8662
1609805,NP7 8ND,51.9056,-2.8622
1609806,NP7 8NE,51.9118,-2.8647
1609807,NP7 8NF,51.8329,-2.9949
1609808,NP7 8NG,51.8323,-2.9868
1609809,NP7 8NH,51.8388,-2.9821
1609810,NP7 8NL,51.8518,-2.9407
1609811,NP7 8NN,51.8662,-2.9150
1609812,NP7 8NP,51.8712,-2.9287
1609813,NP7 8NR,51.8840,-2.9165
1609814,NP7 8NS,51.8758,-2.9100
1609815,NP7 8NT,51.8802,-2.9038
1609816,NP7 8NU,51.8731,-2.8956
1609817,NP7 8NW,51.8735,-2.9214
1609818,NP7 8NY,51.8672,-2.8977
1609819,NP7 8PA,51.8670,-2.8918
1609820,NP7 8PB,51.8697,-2.8740
1609821,NP7 8PD,51.8744,-2.8739
1609822,NP7 8PE,51.8787,-2.8722
1609823,NP7 8PF,51.8773,-2.8647
1609824,NP7 8PG,51.8777,-2.8635
1609825,NP7 8PH,51.8770,-2.8633
1609826,NP7 8PL,51.8742,-2.8641
1609827,NP7 8PN,51.8734,-2.8629
1609828,NP7 8PP,51.8705,-2.8648
1609829,NP7 8PR,51.8695,-2.8719
1609830,NP7 8PS,51.8683,-2.8738
1609831,NP7 8PT,51.8620,-2.8655
1609832,NP7 8PU,51.8601,-2.8883
1609833,NP7 8PW,51.8611,-2.8554
1609834,NP7 8PY,51.8585,-2.8984
1609835,NP7 8RA,51.8560,-2.9012
1609836,NP7 8RB,51.8669,-2.9073
1609837,NP7 8RD,51.8532,-2.9177
1609838,NP7 8RE,51.8547,-2.9159
1609839,NP7 8RF,51.8626,-2.9229
1609840,NP7 8RG,51.8502,-2.9264
1609841,NP7 8RH,51.8462,-2.9221
1609842,NP7 8RL,51.8429,-2.9126
1609843,NP7 8RN,51.8547,-2.9306
1609844,NP7 8RP,51.8591,-2.9398
1609845,NP7 8RR,51.8757,-2.9271
1609846,NP7 8RS,51.8872,-2.9687
1609847,NP7 8RT,51.8861,-2.9687
1609848,NP7 8RU,51.8871,-2.9698
1609849,NP7 8RW,51.8634,-2.9305
1609850,NP7 8SA,51.8222,-2.9537
1609851,NP7 8SB,51.8245,-2.9474
1609852,NP7 8SD,51.8234,-2.9442
1609853,NP7 8SE,51.8250,-2.9397
1609854,NP7 8SF,51.8267,-2.9300
1609855,NP7 8SG,51.8204,-2.9256
1609856,NP7 8SH,51.8212,-2.9219
1609857,NP7 8SL,51.8222,-2.9214
1609858,NP7 8SN,51.8214,-2.9206
1609859,NP7 8SP,51.8367,-2.9329
1609860,NP7 8SR,51.8229,-2.8993
1609861,NP7 8SS,51.8162,-2.8897
1609862,NP7 8ST,51.8251,-2.8893
1609863,NP7 8SU,51.8275,-2.8772
1609864,NP7 8SW,51.8283,-2.9179
1609865,NP7 8SY,51.8270,-2.8757
1609866,NP7 8TA,51.8349,-2.8995
1609867,NP7 8TB,51.8320,-2.8813
1609868,NP7 8TD,51.8337,-2.8763
1609869,NP7 8TE,51.8351,-2.8702
1609870,NP7 8TF,51.8342,-2.8681
1609871,NP7 8TG,51.8457,-2.8769
1609872,NP7 8TH,51.8463,-2.8640
1609873,NP7 8TL,51.8344,-2.8528
1609874,NP7 8TN,51.8229,-2.8675
1609875,NP7 8UA,51.8730,-2.8536
1609876,NP7 8UB,51.8824,-2.8155
1609877,NP7 8UD,51.8458,-2.8990
1609878,NP7 8UE,51.8511,-2.8876
1609879,NP7 8UF,51.8752,-2.8242
1609880,NP7 8UG,51.8790,-2.7925
1609881,NP7 8UH,51.8796,-2.7926
1609882,NP7 8UL,51.8745,-2.7797
1609883,NP7 8UN,51.8781,-2.7896
1609884,NP7 8UP,51.8516,-2.9204
1609885,NP7 8WA,51.8217,-3.0196
1609886,NP7 8WB,51.8781,-2.7896
1609887,NP7 8WX,51.8217,-3.0196
1609888,NP7 8WY,51.8217,-3.0196
1609889,NP7 8WZ,51.8217,-3.0196
1609890,NP7 8YA,51.8217,-3.0196
1609891,NP7 8YB,51.8217,-3.0196
1609892,NP7 8YD,51.8217,-3.0196
1609893,NP7 8YE,51.8217,-3.0196
1609894,NP7 8YF,51.8217,-3.0196
1609895,NP7 8YG,51.8217,-3.0196
1609896,NP7 8YH,51.8217,-3.0196
1609897,NP7 8YJ,51.8217,-3.0196
1609898,NP7 8YL,51.8217,-3.0196
1609899,NP7 8YU,51.8217,-3.0196
1609900,NP7 8ZR,51.8217,-3.0196
