id,postcode,lat,lon
1614573,NPT 6AA,51.6054,-3.0107
1614574,NPT 6AB,51.6080,-3.0180
1614575,NPT 6AD,51.6061,-3.0281
1614576,NPT 6AE,51.6168,-3.0384
1614577,NPT 6AF,51.6133,-3.0297
1614578,NPT 6AG,51.6133,-3.0311
1614579,NPT 6AH,51.6133,-3.0326
1614580,NPT 6AJ,51.6133,-3.0326
1614581,NPT 6AL,51.6133,-3.0297
1614582,NPT 6AN,51.6133,-3.0297
1614583,NPT 6AP,51.6115,-3.0354
1614584,NPT 6AQ,51.6124,-3.0325
1614585,NPT 6AR,51.6133,-3.0311
1614586,NPT 6AS,51.6115,-3.0340
1614587,NPT 6AT,51.6124,-3.0311
1614588,NPT 6AU,51.6115,-3.0311
1614589,NPT 6AW,51.6115,-3.0311
1614590,NPT 6AX,51.6115,-3.0325
1614591,NPT 6AY,51.6115,-3.0311
1614592,NPT 6AZ,51.6063,-3.0122
1614593,NPT 6BA,51.6087,-3.0368
1614594,NPT 6BB,51.6087,-3.0368
1614595,NPT 6BD,51.6097,-3.0354
1614596,NPT 6BE,51.6106,-3.0354
1614597,NPT 6BG,51.6106,-3.0354
1614598,NPT 6BH,51.6115,-3.0354
1614599,NPT 6BJ,51.6106,-3.0354
1614600,NPT 6BL,51.6106,-3.0339
1614601,NPT 6BN,51.6124,-3.0340
1614602,NPT 6BP,51.6080,-3.0194
1614603,NPT 6BQ,51.6071,-3.0209
1614604,NPT 6BR,51.6080,-3.0223
1614605,NPT 6BS,51.6071,-3.0209
1614606,NPT 6BT,51.6080,-3.0238
1614607,NPT 6BU,51.6071,-3.0223
1614608,NPT 6BW,51.6080,-3.0238
1614609,NPT 6BX,51.6080,-3.0252
1614610,NPT 6BY,51.6088,-3.0252
1614611,NPT 6BZ,51.6080,-3.0223
1614612,NPT 6DA,51.6080,-3.0209
1614613,NPT 6DB,51.6080,-3.0194
1614614,NPT 6DD,51.6089,-3.0195
1614615,NPT 6DE,51.6098,-3.0209
1614616,NPT 6DF,51.6107,-3.0210
1614617,NPT 6DG,51.6107,-3.0224
1614618,NPT 6DH,51.6116,-3.0224
1614619,NPT 6DJ,51.6115,-3.0253
1614620,NPT 6DL,51.6115,-3.0253
1614621,NPT 6DN,51.6116,-3.0224
1614622,NPT 6DP,51.6107,-3.0210
1614623,NPT 6DQ,51.6116,-3.0195
1614624,NPT 6DR,51.6107,-3.0181
1614625,NPT 6DS,51.6107,-3.0181
1614626,NPT 6DT,51.6098,-3.0180
1614627,NPT 6DU,51.6107,-3.0181
1614628,NPT 6DW,51.6124,-3.0297
1614629,NPT 6DX,51.6115,-3.0267
1614630,NPT 6DY,51.6116,-3.0239
1614631,NPT 6DZ,51.6097,-3.0296
1614632,NPT 6EA,51.6115,-3.0253
1614633,NPT 6EB,51.6115,-3.0267
1614634,NPT 6ED,51.6106,-3.0253
