id,postcode,lat,lon
1625913,NR2 4AA,52.6298,1.2979
1625914,NR2 4AB,52.6315,1.2862
1625915,NR2 4AD,52.6304,1.2960
1625916,NR2 4AE,52.6303,1.2945
1625917,NR2 4AF,52.6305,1.2934
1625918,NR2 4AG,52.6307,1.2906
1625919,NR2 4AH,52.6304,1.2958
1625920,NR2 4AJ,52.6306,1.2927
1625921,NR2 4AL,52.6305,1.2923
1625922,NR2 4AN,52.6307,1.2898
1625923,NR2 4AP,52.6316,1.2875
1625924,NR2 4AQ,52.6309,1.2893
1625925,NR2 4AR,52.6312,1.2880
1625926,NR2 4AS,52.6310,1.2878
1625927,NR2 4AT,52.6305,1.2935
1625928,NR2 4AU,52.6314,1.2850
1625929,NR2 4AW,52.6303,1.2893
1625930,NR2 4AX,52.6309,1.2923
1625931,NR2 4AY,52.6320,1.2843
1625932,NR2 4AZ,52.6326,1.2825
1625933,NR2 4BA,52.6318,1.2843
1625934,NR2 4BB,52.6391,1.2741
1625935,NR2 4BD,52.6317,1.2831
1625936,NR2 4BE,52.6322,1.2828
1625937,NR2 4BF,52.6409,1.2740
1625938,NR2 4BG,52.6322,1.2815
1625939,NR2 4BH,52.6325,1.2818
1625940,NR2 4BJ,52.6328,1.2797
1625941,NR2 4BL,52.6306,1.2831
1625942,NR2 4BN,52.6310,1.2821
1625943,NR2 4BP,52.6306,1.2841
1625944,NR2 4BQ,52.6318,1.2812
1625945,NR2 4BS,52.6312,1.2785
1625946,NR2 4BT,52.6329,1.2812
1625947,NR2 4BU,52.6333,1.2799
1625948,NR2 4BW,52.6315,1.2805
1625949,NR2 4BX,52.6310,1.2806
1625950,NR2 4BY,52.6354,1.2790
1625951,NR2 4BZ,52.6307,1.2890
1625952,NR2 4DA,52.6397,1.2723
1625953,NR2 4DB,52.6386,1.2704
1625954,NR2 4DD,52.6388,1.2691
1625955,NR2 4DE,52.6383,1.2690
1625956,NR2 4DF,52.6370,1.2656
1625957,NR2 4DG,52.6376,1.2636
1625958,NR2 4DH,52.6366,1.2621
1625959,NR2 4DJ,52.6369,1.2630
1625960,NR2 4DL,52.6368,1.2604
1625961,NR2 4DN,52.6348,1.2751
1625962,NR2 4DP,52.6353,1.2741
1625963,NR2 4DQ,52.6379,1.2628
1625964,NR2 4DR,52.6374,1.2759
1625965,NR2 4DS,52.6389,1.2759
1625966,NR2 4DT,52.6390,1.2771
1625967,NR2 4DU,52.6402,1.2765
1625968,NR2 4DW,52.6359,1.2753
1625969,NR2 4DX,52.6400,1.2755
1625970,NR2 4DY,52.6392,1.2781
1625971,NR2 4DZ,52.6397,1.2783
1625972,NR2 4EA,52.6381,1.2746
1625973,NR2 4EB,52.6396,1.2729
1625974,NR2 4ED,52.6354,1.2790
1625975,NR2 4EE,52.6389,1.2735
1625976,NR2 4EF,52.6396,1.2742
1625977,NR2 4EG,52.6382,1.2723
1625978,NR2 4EH,52.6372,1.2729
1625979,NR2 4EJ,52.6371,1.2719
1625980,NR2 4EL,52.6366,1.2722
1625981,NR2 4EN,52.6381,1.2711
1625982,NR2 4EP,52.6363,1.2760
1625983,NR2 4EQ,52.6386,1.2714
