id,postcode,lat,lon
1680564,OL3 6AA,53.5474,-2.0057
1680565,OL3 6AB,53.5474,-2.0051
1680566,OL3 6AD,53.5479,-2.0050
1680567,OL3 6AE,53.5478,-2.0042
1680568,OL3 6AF,53.5503,-2.0055
1680569,OL3 6AG,53.5478,-2.0042
1680570,OL3 6AH,53.5483,-2.0050
1680571,OL3 6AJ,53.5471,-2.0056
1680572,OL3 6AL,53.5486,-2.0042
1680573,OL3 6AN,53.5485,-2.0047
1680574,OL3 6AP,53.5484,-2.0057
1680575,OL3 6AQ,53.5484,-2.0053
1680576,OL3 6AR,53.5479,-2.0075
1680577,OL3 6AS,53.5511,-2.0047
1680578,OL3 6AT,53.5485,-2.0061
1680579,OL3 6AU,53.5487,-2.0048
1680580,OL3 6AW,53.5483,-2.0054
1680581,OL3 6AX,53.5491,-2.0046
1680582,OL3 6AY,53.5489,-2.0058
1680583,OL3 6AZ,53.5486,-2.0063
1680584,OL3 6BA,53.5491,-2.0070
1680585,OL3 6BB,53.5493,-2.0064
1680586,OL3 6BD,53.5498,-2.0055
1680587,OL3 6BE,53.5510,-2.0063
1680588,OL3 6BF,53.5491,-2.0060
1680589,OL3 6BG,53.5495,-2.0058
1680590,OL3 6BH,53.5488,-2.0045
1680591,OL3 6BJ,53.5491,-2.0034
1680592,OL3 6BL,53.5488,-2.0028
1680593,OL3 6BN,53.5499,-2.0031
1680594,OL3 6BP,53.5498,-2.0039
1680595,OL3 6BQ,53.5491,-2.0042
1680596,OL3 6BS,53.5504,-2.0065
1680597,OL3 6BT,53.5513,-2.0053
1680598,OL3 6BU,53.5520,-2.0034
1680599,OL3 6BW,53.5502,-2.0028
1680600,OL3 6BX,53.5534,-2.0045
1680601,OL3 6BY,53.5552,-2.0003
1680602,OL3 6BZ,53.5543,-2.0053
1680603,OL3 6DA,53.5527,-2.0086
1680604,OL3 6DB,53.5487,-2.0085
1680605,OL3 6DD,53.5480,-2.0085
1680606,OL3 6DE,53.5475,-2.0076
1680607,OL3 6DF,53.5672,-2.1239
1680608,OL3 6DG,53.5477,-2.0075
1680609,OL3 6DH,53.5482,-2.0062
1680610,OL3 6DJ,53.5483,-2.0026
1680611,OL3 6DL,53.5501,-2.0072
1680612,OL3 6DN,53.5500,-2.0065
1680613,OL3 6DP,53.5512,-2.0010
1680614,OL3 6DQ,53.5475,-2.0071
1680615,OL3 6DR,53.5486,-2.0007
1680616,OL3 6DS,53.5493,-2.0016
1680617,OL3 6DT,53.5501,-2.0012
1680618,OL3 6DU,53.5506,-1.9979
1680619,OL3 6DW,53.5522,-2.0006
1680620,OL3 6DX,53.5501,-1.9990
1680621,OL3 6DY,53.5498,-1.9990
1680622,OL3 6DZ,53.5514,-1.9971
1680623,OL3 6EA,53.5511,-1.9985
1680624,OL3 6EB,53.5514,-1.9984
1680625,OL3 6ED,53.5518,-1.9993
1680626,OL3 6EE,53.5523,-1.9982
1680627,OL3 6EF,53.5513,-2.0001
1680628,OL3 6EG,53.5506,-1.9962
1680629,OL3 6EH,53.5506,-1.9950
1680630,OL3 6EJ,53.5499,-1.9969
1680631,OL3 6EL,53.5494,-1.9988
1680632,OL3 6EN,53.5487,-1.9996
1680633,OL3 6EP,53.5493,-1.9973
1680634,OL3 6EQ,53.5508,-1.9963
1680635,OL3 6ER,53.5487,-1.9968
1680636,OL3 6ES,53.5493,-1.9960
1680637,OL3 6ET,53.5496,-2.0072
1680638,OL3 6EU,53.5486,-1.9987
1680639,OL3 6EW,53.5491,-1.9989
1680640,OL3 6EX,53.5487,-1.9976
1680641,OL3 6EY,53.5505,-2.0060
1680642,OL3 6EZ,53.5466,-1.9989
1680643,OL3 6FA,53.5485,-2.0025
1680644,OL3 6FB,53.5473,-2.0064
1680645,OL3 6FD,53.5485,-2.0025
1680646,OL3 6FE,53.5473,-2.0064
1680647,OL3 6FF,53.5473,-2.0064
1680648,OL3 6FG,53.5473,-2.0064
1680649,OL3 6FL,53.5498,-2.0050
1680650,OL3 6GZ,53.5461,-2.0000
1680651,OL3 6HA,53.5473,-2.0064
1680652,OL3 6HB,53.5470,-2.0061
1680653,OL3 6HD,53.5475,-2.0055
1680654,OL3 6HE,53.5478,-2.0057
1680655,OL3 6HF,53.5475,-2.0035
1680656,OL3 6HG,53.5465,-2.0031
1680657,OL3 6HH,53.5476,-2.0013
1680658,OL3 6HJ,53.5479,-1.9992
1680659,OL3 6HL,53.5473,-1.9988
1680660,OL3 6HN,53.5470,-1.9985
1680661,OL3 6HP,53.5469,-1.9998
1680662,OL3 6HQ,53.5478,-2.0030
1680663,OL3 6HR,53.5467,-2.0070
1680664,OL3 6HS,53.5472,-2.0070
1680665,OL3 6HT,53.5463,-2.0071
1680666,OL3 6HU,53.5437,-2.0047
1680667,OL3 6HW,53.5478,-1.9977
1680668,OL3 6HX,53.5461,-2.0077
1680669,OL3 6HY,53.5445,-2.0093
1680670,OL3 6HZ,53.5459,-2.0073
1680671,OL3 6JA,53.5445,-2.0060
1680672,OL3 6JB,53.5452,-2.0058
1680673,OL3 6JD,53.5450,-2.0045
1680674,OL3 6JE,53.5447,-2.0052
1680675,OL3 6JF,53.5441,-2.0021
1680676,OL3 6JG,53.5435,-2.0019
1680677,OL3 6JH,53.5418,-1.9984
1680678,OL3 6JJ,53.5447,-2.0019
1680679,OL3 6JL,53.5448,-2.0024
1680680,OL3 6JN,53.5453,-2.0009
1680681,OL3 6JP,53.5445,-2.0011
1680682,OL3 6JQ,53.5425,-2.0015
1680683,OL3 6JR,53.5460,-2.0019
1680684,OL3 6JS,53.5458,-2.0013
1680685,OL3 6JT,53.5464,-2.0004
1680686,OL3 6JU,53.5458,-2.0008
1680687,OL3 6JW,53.5447,-2.0007
1680688,OL3 6JX,53.5454,-1.9996
1680689,OL3 6JY,53.5466,-2.0011
1680690,OL3 6JZ,53.5442,-2.0047
1680691,OL3 6LA,53.5469,-2.0042
1680692,OL3 6LB,53.5430,-2.0036
1680693,OL3 6LD,53.5439,-2.0029
1680694,OL3 6LE,53.5460,-1.9996
1680695,OL3 6LF,53.5416,-1.9954
1680696,OL3 6LG,53.5416,-1.9954
1680697,OL3 6LH,53.5469,-1.9929
1680698,OL3 6LJ,53.5484,-1.9921
1680699,OL3 6LL,53.5522,-1.9894
1680700,OL3 6LN,53.5517,-1.9883
1680701,OL3 6LP,53.5557,-1.9890
1680702,OL3 6LQ,53.5435,-1.9918
1680703,OL3 6LR,53.5513,-1.9960
1680704,OL3 6LS,53.5525,-2.0098
1680705,OL3 6LT,53.5470,-2.0105
1680706,OL3 6LU,53.5418,-2.0116
1680707,OL3 6LW,53.5541,-1.9882
1680708,OL3 6LX,53.5541,-1.9880
1680709,OL3 6LY,53.5497,-2.0024
1680710,OL3 6LZ,53.5465,-2.0068
1680711,OL3 6NA,53.5462,-2.0066
1680712,OL3 6PP,53.5497,-2.0024
1680713,OL3 6WA,53.5480,-2.0061
1680714,OL3 6WB,53.5473,-2.0064
1680715,OL3 6WD,53.5473,-2.0064
1680716,OL3 6WE,53.5473,-2.0064
1680717,OL3 6WU,53.5473,-2.0064
1680718,OL3 6WW,53.5473,-2.0064
1680719,OL3 6WX,53.5473,-2.0064
1680720,OL3 6WY,53.5480,-2.0061
1680721,OL3 6WZ,53.5480,-2.0061
1680722,OL3 6XN,53.5473,-2.0064
1680723,OL3 6YW,53.5473,-2.0064
1680724,OL3 6YY,53.5480,-2.0061
1680725,OL3 6YZ,53.5473,-2.0064
