id,postcode,lat,lon
567925,PE33 9PQ,52.6531,0.5384
567926,PE33 9PS,52.5833,0.5721
567927,PE33 9PT,52.5702,0.5593
567928,PE33 9PU,52.5843,0.5719
567929,PE33 9PX,52.5904,0.5692
567930,PE33 9PY,52.5929,0.5573
567931,PE33 9PZ,52.6018,0.5545
567932,PE33 9QA,52.5928,0.5529
567933,PE33 9QB,52.5859,0.5744
568025,PE33 9QD,52.5835,0.5717
568026,PE33 9QE,52.5696,0.4908
568027,PE33 9QF,52.5679,0.4706
568028,PE33 9QG,52.5515,0.4487
568029,PE33 9QH,52.5801,0.5381
568030,PE33 9QJ,52.5705,0.5045
568031,PE33 9QL,52.5617,0.5042
568032,PE33 9QN,52.5676,0.4939
568033,PE33 9QP,52.5666,0.4866
568034,PE33 9QQ,52.5846,0.5350
568035,PE33 9QR,52.5698,0.4904
568036,PE33 9QS,52.5726,0.4908
568037,PE33 9QT,52.5719,0.4922
568038,PE33 9QU,52.5749,0.4874
568039,PE33 9QW,52.5672,0.4952
568040,PE33 9QX,52.5745,0.4948
568041,PE33 9QY,52.5782,0.4957
568042,PE33 9QZ,52.5749,0.4976
568043,PE33 9RA,52.5693,0.4883
568044,PE33 9RB,52.5706,0.4831
568045,PE33 9RD,52.5814,0.4481
568046,PE33 9RE,52.5798,0.4456
568047,PE33 9RF,52.5875,0.4548
568048,PE33 9RG,52.5883,0.4543
568049,PE33 9RH,52.5881,0.4491
568050,PE33 9RJ,52.5862,0.4396
568051,PE33 9RL,52.5872,0.4297
568052,PE33 9RN,52.5834,0.4327
568053,PE33 9RP,52.5777,0.4368
568054,PE33 9RQ,52.5886,0.4532
568055,PE33 9RR,52.5770,0.4442
568056,PE33 9RS,52.5605,0.4430
568057,PE33 9RT,52.5899,0.4565
568058,PE33 9RW,52.5806,0.4443
568059,PE33 9RX,52.5586,0.5374
568060,PE33 9RY,52.5410,0.4491
568061,PE33 9RZ,52.5573,0.5492
568062,PE33 9SB,52.5614,0.5371
568063,PE33 9SD,52.5370,0.4441
568064,PE33 9SE,52.5703,0.5128
568065,PE33 9SF,52.5703,0.5146
568066,PE33 9SG,52.5705,0.5100
568067,PE33 9SH,52.5692,0.5116
568068,PE33 9SJ,52.5696,0.5113
568069,PE33 9SL,52.5697,0.5102
568070,PE33 9SN,52.5696,0.5089
568071,PE33 9SP,52.5731,0.5079
568072,PE33 9SQ,52.5693,0.5108
568073,PE33 9SR,52.5719,0.5085
568074,PE33 9SS,52.5762,0.5068
568075,PE33 9ST,52.5763,0.5081
568076,PE33 9SU,52.5741,0.5119
568077,PE33 9SW,52.5733,0.5093
568078,PE33 9SX,52.5747,0.5132
568079,PE33 9SY,52.5706,0.5175
568080,PE33 9SZ,52.5693,0.5207
568081,PE33 9TA,52.5719,0.5195
568082,PE33 9TB,52.5694,0.5166
568083,PE33 9TD,52.5669,0.5190
