id,postcode,lat,lon
1774638,PH1 4AA,56.5027,-3.5183
1774639,PH1 4AB,56.5014,-3.5159
1774640,PH1 4AD,56.5012,-3.5140
1774641,PH1 4AE,56.5022,-3.5132
1774642,PH1 4AF,56.4966,-3.5115
1774643,PH1 4AG,56.5024,-3.5154
1774644,PH1 4AH,56.5030,-3.5175
1774645,PH1 4AJ,56.5052,-3.5211
1774646,PH1 4AL,56.4979,-3.5110
1774647,PH1 4AN,56.5086,-3.5263
1774648,PH1 4AP,56.5166,-3.5338
1774649,PH1 4AQ,56.5058,-3.5170
1774650,PH1 4AR,56.5206,-3.5351
1774651,PH1 4AS,56.5185,-3.5523
1774652,PH1 4AT,56.5068,-3.5569
1774653,PH1 4AU,56.5032,-3.5323
1774654,PH1 4AW,56.5135,-3.5273
1774655,PH1 4AX,56.5015,-3.5128
1774656,PH1 4AY,56.4982,-3.5119
1774657,PH1 4AZ,56.4983,-3.5109
1774658,PH1 4BA,56.5019,-3.5174
1774659,PH1 4BB,56.5015,-3.5189
1774660,PH1 4BD,56.5009,-3.5183
1774661,PH1 4BE,56.5012,-3.5176
1774662,PH1 4BF,56.5284,-3.4606
1774663,PH1 4BG,56.5011,-3.5186
1774664,PH1 4BH,56.5000,-3.5235
1774665,PH1 4BJ,56.4999,-3.5174
1774666,PH1 4BL,56.4992,-3.5157
1774667,PH1 4BN,56.4995,-3.5191
1774668,PH1 4BP,56.5025,-3.5276
1774669,PH1 4BQ,56.5007,-3.5190
1774670,PH1 4BS,56.4986,-3.5235
1774671,PH1 4BT,56.4992,-3.5225
1774672,PH1 4BU,56.4986,-3.5224
1774673,PH1 4BW,56.5001,-3.5205
1774674,PH1 4BX,56.4973,-3.5236
1774675,PH1 4BY,56.4970,-3.5405
1774676,PH1 4BZ,56.5047,-3.5883
1774677,PH1 4DA,56.5011,-3.5230
1774678,PH1 4DB,56.4992,-3.5138
1774679,PH1 4DD,56.5317,-3.4640
1774680,PH1 4DE,56.4999,-3.5211
1774681,PH1 4DF,56.4968,-3.5237
1774682,PH1 4DG,56.4894,-3.5384
1774683,PH1 4DH,56.4849,-3.5693
1774684,PH1 4DJ,56.4815,-3.5635
1774685,PH1 4DL,56.4767,-3.5767
1774686,PH1 4DN,56.4816,-3.5944
1774687,PH1 4DP,56.4836,-3.6143
1774688,PH1 4DQ,56.4904,-3.5492
1774689,PH1 4DR,56.4894,-3.6536
1774690,PH1 4DS,56.5006,-3.5164
1774691,PH1 4DT,56.5307,-3.4657
1774692,PH1 4DU,56.5293,-3.4615
1774693,PH1 4DW,56.4888,-3.5931
1774694,PH1 4DX,56.4954,-3.5090
1774695,PH1 4DY,56.5025,-3.5094
1774696,PH1 4DZ,56.5009,-3.5016
1774697,PH1 4EA,56.4824,-3.4943
1774698,PH1 4EB,56.4907,-3.5054
1774699,PH1 4ED,56.4947,-3.5108
1774700,PH1 4EE,56.4904,-3.5151
1774701,PH1 4EF,56.4786,-3.5186
1774702,PH1 4EG,56.4783,-3.5415
1774703,PH1 4EH,56.5322,-3.4648
1774704,PH1 4EJ,56.5310,-3.4612
1774705,PH1 4EL,56.5281,-3.4640
1774706,PH1 4EN,56.5285,-3.4669
1774707,PH1 4EP,56.5302,-3.4792
1774708,PH1 4EQ,56.5313,-3.4630
1774709,PH1 4ER,56.5184,-3.4715
1774710,PH1 4ES,56.5303,-3.4625
1774711,PH1 4ET,56.5313,-3.4642
1774712,PH1 4EU,56.5283,-3.4581
1774713,PH1 4EW,56.5274,-3.4754
1774714,PH1 4EX,56.5262,-3.4580
1774715,PH1 4EY,56.5275,-3.4586
1774716,PH1 4EZ,56.5263,-3.4545
1774717,PH1 4FB,56.5259,-3.4561
1774718,PH1 4FD,56.5288,-3.4605
1774719,PH1 4FE,56.5295,-3.4590
