id,postcode,lat,lon
544042,PL34 0AA,50.6624,-4.7472
544043,PL34 0AB,50.6625,-4.7467
544044,PL34 0AD,50.6626,-4.7481
544045,PL34 0AE,50.6628,-4.7463
544046,PL34 0AG,50.6630,-4.7445
544047,PL34 0AH,50.6626,-4.7486
544048,PL34 0AJ,50.6624,-4.7488
544049,PL34 0AL,50.6640,-4.7430
544050,PL34 0AN,50.6626,-4.7409
544051,PL34 0AP,50.6661,-4.7408
544052,PL34 0AQ,50.6628,-4.7440
544053,PL34 0AR,50.6635,-4.7422
544054,PL34 0AS,50.6653,-4.7415
544055,PL34 0AT,50.6656,-4.7429
544056,PL34 0AU,50.6675,-4.7414
544057,PL34 0AW,50.6624,-4.7414
544058,PL34 0AX,50.6664,-4.7395
544059,PL34 0AY,50.6673,-4.7377
544060,PL34 0AZ,50.6680,-4.7382
544061,PL34 0BA,50.6700,-4.7334
544062,PL34 0BB,50.6685,-4.7277
544063,PL34 0BD,50.6661,-4.7293
544064,PL34 0BE,50.6699,-4.7240
544065,PL34 0BG,50.6717,-4.7219
544125,PL34 0BH,50.6666,-4.7418
544126,PL34 0BP,50.6622,-4.7423
544127,PL34 0BQ,50.6734,-4.7271
544128,PL34 0BS,50.6615,-4.7498
544129,PL34 0BT,50.6618,-4.7467
544130,PL34 0BU,50.6609,-4.7482
544131,PL34 0BX,50.6613,-4.7488
544132,PL34 0BY,50.6607,-4.7498
544133,PL34 0BZ,50.6622,-4.7499
544134,PL34 0DA,50.6635,-4.7511
544135,PL34 0DB,50.6631,-4.7513
544136,PL34 0DD,50.6644,-4.7532
544137,PL34 0DE,50.6659,-4.7522
544138,PL34 0DF,50.6657,-4.7541
544139,PL34 0DH,50.6668,-4.7544
544140,PL34 0DJ,50.6631,-4.7534
544141,PL34 0DL,50.6623,-4.7561
544142,PL34 0DN,50.6574,-4.7567
544143,PL34 0DP,50.6646,-4.7529
544144,PL34 0DQ,50.6682,-4.7555
544145,PL34 0DR,50.6670,-4.7539
544146,PL34 0DS,50.6665,-4.7529
544147,PL34 0DT,50.6571,-4.7504
544148,PL34 0DU,50.6580,-4.7485
544149,PL34 0DW,50.6599,-4.7642
544150,PL34 0DX,50.6547,-4.7529
544151,PL34 0DY,50.6541,-4.7516
544152,PL34 0DZ,50.6527,-4.7443
544153,PL34 0EA,50.6509,-4.7369
544154,PL34 0EB,50.6674,-4.7419
544155,PL34 0ED,50.6662,-4.7533
544156,PL34 0EE,50.6632,-4.7496
544157,PL34 0EF,50.6630,-4.7498
544158,PL34 0EH,50.6510,-4.7513
544159,PL34 0EJ,50.6518,-4.7525
544160,PL34 0EL,50.6498,-4.7527
544161,PL34 0EN,50.6487,-4.7509
544162,PL34 0EP,50.6468,-4.7557
544163,PL34 0ER,50.6492,-4.7425
