id,postcode,lat,lon
1836547,PR1 1AA,53.7537,-2.7080
1836548,PR1 1AB,53.7596,-2.6995
1836549,PR1 1AD,53.7542,-2.7084
1836550,PR1 1AE,53.7571,-2.7052
1836551,PR1 1AF,53.7624,-2.6962
1836552,PR1 1AG,53.7649,-2.6951
1836553,PR1 1AH,53.7596,-2.6995
1836554,PR1 1AJ,53.7639,-2.6956
1836555,PR1 1AL,53.7687,-2.7042
1836556,PR1 1AQ,53.7544,-2.7087
1836557,PR1 1AR,53.7639,-2.6956
1836558,PR1 1AZ,53.7596,-2.6995
1836559,PR1 1BA,53.7634,-2.7047
1836560,PR1 1BB,53.7625,-2.7053
1836561,PR1 1BD,53.7607,-2.7007
1836562,PR1 1BL,53.7589,-2.6977
1836563,PR1 1BN,53.7589,-2.6977
1836564,PR1 1BP,53.7589,-2.6977
1836565,PR1 1BT,53.7589,-2.6977
1836566,PR1 1BX,53.7589,-2.6977
1836567,PR1 1BY,53.7589,-2.6977
1836568,PR1 1DA,53.7589,-2.6974
1836569,PR1 1DB,53.7598,-2.6992
1836570,PR1 1DD,53.7605,-2.6982
1836571,PR1 1DE,53.7604,-2.6981
1836572,PR1 1DF,53.7598,-2.6992
1836573,PR1 1DG,53.7589,-2.6977
1836574,PR1 1DH,53.7606,-2.6949
1836575,PR1 1DJ,53.7606,-2.6971
1836576,PR1 1DL,53.7594,-2.6962
1836577,PR1 1DN,53.7602,-2.6971
1836578,PR1 1DP,53.7598,-2.6947
1836579,PR1 1DQ,53.7680,-2.6973
1836580,PR1 1DR,53.7598,-2.6962
1836581,PR1 1DS,53.7598,-2.6947
1836582,PR1 1DT,53.7603,-2.6941
1836583,PR1 1DU,53.7598,-2.6947
1836584,PR1 1DX,53.7603,-2.6937
1836585,PR1 1DY,53.7604,-2.6933
1836586,PR1 1EA,53.7588,-2.6839
1836587,PR1 1EB,53.7588,-2.6839
1836588,PR1 1ED,53.7619,-2.6907
1836589,PR1 1EE,53.7598,-2.6947
1836590,PR1 1EH,53.7613,-2.6935
1836591,PR1 1EJ,53.7598,-2.6947
1836592,PR1 1EL,53.7609,-2.6926
1836593,PR1 1EN,53.7607,-2.6927
1836594,PR1 1EP,53.7633,-2.7099
1836595,PR1 1EQ,53.7607,-2.6947
1836596,PR1 1ER,53.7607,-2.6992
1836597,PR1 1ES,53.7661,-2.6978
1836598,PR1 1ET,53.7610,-2.6917
1836599,PR1 1EU,53.7607,-2.6992
1836600,PR1 1EX,53.7598,-2.6947
1836601,PR1 1FB,53.7608,-2.6977
1836602,PR1 1FD,53.7607,-2.6992
1836603,PR1 1FN,53.7609,-2.6978
1836604,PR1 1GA,53.7653,-2.6982
1836605,PR1 1GB,53.7653,-2.6982
1836606,PR1 1GD,53.7653,-2.6982
1836607,PR1 1GE,53.7544,-2.7087
1836608,PR1 1GF,53.7544,-2.7087
1836609,PR1 1GG,53.7544,-2.7087
1836610,PR1 1GH,53.7544,-2.7087
1836611,PR1 1GJ,53.7607,-2.6992
1836612,PR1 1GL,53.7544,-2.7087
1836613,PR1 1GN,53.7544,-2.7087
1836614,PR1 1GP,53.7542,-2.7084
1836615,PR1 1GQ,53.7544,-2.7087
1836616,PR1 1GR,53.7544,-2.7087
1836617,PR1 1HA,53.7607,-2.6947
1836618,PR1 1HB,53.7613,-2.6979
1836619,PR1 1HE,53.7607,-2.6992
1836620,PR1 1HH,53.7618,-2.6989
1836621,PR1 1HJ,53.7624,-2.6962
1836622,PR1 1HL,53.7613,-2.6926
1836623,PR1 1HN,53.7613,-2.6926
1836624,PR1 1HQ,53.7613,-2.6925
1836625,PR1 1HR,53.7598,-2.6971
1836626,PR1 1HS,53.7598,-2.6962
1836627,PR1 1HT,53.7596,-2.6975
1836628,PR1 1HU,53.7715,-2.7070
1836629,PR1 1HX,53.7663,-2.7044
1836630,PR1 1HY,53.7542,-2.7084
1836631,PR1 1JA,53.7679,-2.7054
1836632,PR1 1JB,53.7641,-2.7045
1836633,PR1 1JD,53.7638,-2.7041
1836634,PR1 1JE,53.7643,-2.7054
1836635,PR1 1JG,53.7637,-2.7030
1836636,PR1 1JH,53.7715,-2.7070
1836637,PR1 1JJ,53.7698,-2.7055
1836638,PR1 1JL,53.7688,-2.7054
1836639,PR1 1JN,53.7628,-2.7089
1836640,PR1 1JP,53.7646,-2.7043
1836641,PR1 1JQ,53.7675,-2.7050
1836642,PR1 1JR,53.7655,-2.7044
1836643,PR1 1JS,53.7671,-2.7036
1836644,PR1 1JT,53.7668,-2.7044
1836645,PR1 1JU,53.7665,-2.7044
1836646,PR1 1JW,53.7653,-2.7038
1836647,PR1 1JX,53.7669,-2.7034
1836648,PR1 1JY,53.7673,-2.7044
1836649,PR1 1JZ,53.7647,-2.7041
1836650,PR1 1LA,53.7697,-2.7055
1836651,PR1 1LB,53.7710,-2.7059
1836652,PR1 1LD,53.7735,-2.7073
1836653,PR1 1LE,53.7732,-2.7085
1836654,PR1 1LG,53.7732,-2.7085
1836655,PR1 1LH,53.7638,-2.7034
1836656,PR1 1LJ,53.7663,-2.7052
1836657,PR1 1LL,53.7638,-2.7041
1836658,PR1 1LN,53.7642,-2.7042
1836659,PR1 1LP,53.7688,-2.7069
1836660,PR1 1LQ,53.7598,-2.6947
1836661,PR1 1LR,53.7659,-2.7040
1836662,PR1 1LS,53.7589,-2.6977
1836663,PR1 1LT,53.7659,-2.7040
1836664,PR1 1LU,53.7653,-2.6982
1836665,PR1 1LX,53.7615,-2.6980
1836666,PR1 1LY,53.7606,-2.6949
1836667,PR1 1NA,53.7699,-2.7048
1836668,PR1 1NB,53.7688,-2.7039
1836669,PR1 1ND,53.7679,-2.7039
1836670,PR1 1NE,53.7679,-2.7039
1836671,PR1 1NH,53.7654,-2.7015
1836672,PR1 1NJ,53.7652,-2.7007
1836673,PR1 1NL,53.7598,-2.6947
1836674,PR1 1NN,53.7740,-2.7081
1836675,PR1 1NP,53.7680,-2.7007
1836676,PR1 1NQ,53.7678,-2.7025
1836677,PR1 1NR,53.7687,-2.7014
1836678,PR1 1NS,53.7613,-2.6979
1836679,PR1 1NT,53.7668,-2.7015
1836680,PR1 1NU,53.7662,-2.7012
1836681,PR1 1NW,53.7598,-2.6947
1836682,PR1 1NX,53.7706,-2.7009
1836683,PR1 1NY,53.7706,-2.7009
1836684,PR1 1NZ,53.7649,-2.6983
1836685,PR1 1PA,53.7768,-2.7071
1836686,PR1 1PB,53.7673,-2.7007
1836687,PR1 1PE,53.7683,-2.6998
1836688,PR1 1PH,53.7699,-2.6997
1836689,PR1 1PJ,53.7660,-2.6987
1836690,PR1 1PL,53.7683,-2.6982
1836691,PR1 1PN,53.7686,-2.6989
1836692,PR1 1PP,53.7689,-2.6987
1836693,PR1 1PQ,53.7692,-2.6999
1836694,PR1 1PR,53.7693,-2.6983
1836695,PR1 1PS,53.7690,-2.6982
1836696,PR1 1PT,53.7688,-2.6974
1836697,PR1 1PU,53.7670,-2.6958
1836698,PR1 1PX,53.7680,-2.6966
1836699,PR1 1PY,53.7675,-2.6980
1836700,PR1 1QA,53.7491,-2.5080
1836701,PR1 1QB,53.7663,-2.6939
1836702,PR1 1QD,53.7576,-2.6021
1836703,PR1 1QE,53.7667,-2.6975
1836704,PR1 1QF,53.7665,-2.6927
1836705,PR1 1QG,53.7656,-2.6937
1836706,PR1 1QH,53.7664,-2.6964
