id,postcode,lat,lon
1923808,RH6 7AA,51.1719,-0.1646
1923809,RH6 7AB,51.1724,-0.1648
1923810,RH6 7AD,51.1732,-0.1659
1923811,RH6 7AE,51.1719,-0.1646
1923812,RH6 7AF,51.1728,-0.1642
1923813,RH6 7AG,51.1726,-0.1656
1923814,RH6 7AH,51.1741,-0.1668
1923815,RH6 7AJ,51.1735,-0.1681
1923816,RH6 7AL,51.1734,-0.1676
1923817,RH6 7AN,51.1724,-0.1674
1923818,RH6 7AP,51.1750,-0.1693
1923819,RH6 7AQ,51.1729,-0.1661
1923820,RH6 7AR,51.1736,-0.1694
1923821,RH6 7AS,51.1720,-0.1652
1923822,RH6 7AT,51.1730,-0.1684
1923823,RH6 7AU,51.1715,-0.1613
1923824,RH6 7AW,51.1740,-0.1691
1923825,RH6 7AX,51.1718,-0.1643
1923826,RH6 7AY,51.1719,-0.1630
1923827,RH6 7AZ,51.1735,-0.1656
1923828,RH6 7BA,51.1760,-0.1627
1923829,RH6 7BB,51.1724,-0.1622
1923830,RH6 7BE,51.1720,-0.1635
1923831,RH6 7BF,51.1737,-0.1690
1923832,RH6 7BG,51.1721,-0.1634
1923833,RH6 7BH,51.1725,-0.1626
1923834,RH6 7BJ,51.1724,-0.1630
1923835,RH6 7BL,51.1733,-0.1678
1923836,RH6 7BN,51.1731,-0.1616
1923837,RH6 7BP,51.1688,-0.1710
1923838,RH6 7BQ,51.1722,-0.1632
1923839,RH6 7BS,51.1740,-0.1615
1923840,RH6 7BT,51.1728,-0.1625
1923841,RH6 7BU,51.1760,-0.1615
1923842,RH6 7BW,51.1680,-0.1626
1923843,RH6 7BX,51.1790,-0.1634
1923844,RH6 7BY,51.1785,-0.1639
1923845,RH6 7BZ,51.1762,-0.1621
1923846,RH6 7DA,51.1655,-0.1613
1923847,RH6 7DB,51.1641,-0.1615
1923848,RH6 7DD,51.1687,-0.1647
1923849,RH6 7DE,51.1714,-0.1647
1923850,RH6 7DF,51.1714,-0.1660
1923851,RH6 7DG,51.1729,-0.1661
1923852,RH6 7DH,51.1691,-0.1648
1923853,RH6 7DJ,51.1696,-0.1657
