id,postcode,lat,lon
1942112,S1 4EA,53.3824,-1.4764
1942113,S1 4EB,53.3802,-1.4757
1942114,S1 4ED,53.3781,-1.4748
1942115,S1 4EE,53.3801,-1.4750
1942116,S1 4EF,53.3819,-1.4739
1942117,S1 4EG,53.3818,-1.4756
1942118,S1 4EH,53.3825,-1.4742
1942119,S1 4EJ,53.3817,-1.4743
1942120,S1 4EL,53.3820,-1.4743
1942121,S1 4EN,53.3815,-1.4751
1942122,S1 4EP,53.3814,-1.4746
1942123,S1 4EQ,53.3812,-1.4739
1942124,S1 4ER,53.3806,-1.4765
1942125,S1 4ES,53.3810,-1.4764
1942126,S1 4ET,53.3806,-1.4779
1942127,S1 4EU,53.3803,-1.4795
1942128,S1 4EW,53.3801,-1.4791
1942129,S1 4EX,53.3817,-1.4731
1942130,S1 4EY,53.3805,-1.4750
1942131,S1 4EZ,53.3815,-1.4740
