id,postcode,lat,lon
449238,S2 1DD,53.3721,-1.4140
449239,S2 1DE,53.3721,-1.4124
449240,S2 1DF,53.3721,-1.4115
449241,S2 1DG,53.3705,-1.4121
449242,S2 1DH,53.3699,-1.4116
449243,S2 1DJ,53.3702,-1.4109
449244,S2 1DL,53.3700,-1.4131
449245,S2 1DN,53.3717,-1.4159
449246,S2 1DP,53.3711,-1.4138
449247,S2 1DQ,53.3708,-1.4159
449248,S2 1DR,53.3712,-1.4147
449249,S2 1DS,53.3719,-1.4144
449250,S2 1DT,53.3666,-1.4258
449251,S2 1DU,53.3726,-1.4158
449252,S2 1DW,53.3717,-1.4137
449253,S2 1DX,53.3664,-1.4251
449254,S2 1DY,53.3665,-1.4263
449255,S2 1DZ,53.3660,-1.4252
