id,postcode,lat,lon
1949444,S2 1QA,53.3703,-1.4208
1949445,S2 1QB,53.3695,-1.4250
1949446,S2 1QD,53.3701,-1.4259
1949447,S2 1QE,53.3695,-1.4213
1949448,S2 1QF,53.3692,-1.4204
1949449,S2 1QG,53.3708,-1.4206
1949450,S2 1QH,53.3712,-1.4219
1949451,S2 1QJ,53.3696,-1.4244
1949452,S2 1QL,53.3691,-1.4235
1949453,S2 1QN,53.3702,-1.4215
1949454,S2 1QP,53.3688,-1.4209
1949455,S2 1QQ,53.3710,-1.4244
1949456,S2 1QR,53.3721,-1.4263
1949457,S2 1QS,53.3722,-1.4255
1949458,S2 1QT,53.3744,-1.4278
1949459,S2 1QU,53.3737,-1.4272
1949460,S2 1QW,53.3713,-1.4202
1949461,S2 1QX,53.3717,-1.4201
1949462,S2 1QY,53.3729,-1.4203
1949463,S2 1QZ,53.3730,-1.4253
