id,postcode,lat,lon
1953975,S3 9GA,53.3928,-1.4682
1953976,S3 9GB,53.3931,-1.4687
1953977,S3 9GD,53.3949,-1.4686
1953978,S3 9GE,53.3944,-1.4689
1953979,S3 9GF,53.3933,-1.4690
1953980,S3 9GG,53.3924,-1.4684
1953981,S3 9GH,53.3922,-1.4695
1953982,S3 9GJ,53.3929,-1.4697
1953983,S3 9GL,53.3935,-1.4696
1953984,S3 9GN,53.3815,-1.4643
1953985,S3 9GP,53.3951,-1.4693
1953986,S3 9GQ,53.3955,-1.4689
1953987,S3 9GR,53.3941,-1.4690
1953988,S3 9GS,53.3956,-1.4683
1953989,S3 9GT,53.3956,-1.4676
1953990,S3 9GU,53.3959,-1.4671
1953991,S3 9GW,53.3961,-1.4660
1953992,S3 9GX,53.3966,-1.4660
1953993,S3 9GY,53.3933,-1.4670
1953994,S3 9GZ,53.3943,-1.4671
