id,postcode,lat,lon
1966896,S5 7YA,53.4169,-1.4654
1966897,S5 7YB,53.4169,-1.4654
1966898,S5 7YD,53.4233,-1.4541
1966899,S5 7YE,53.4272,-1.4717
1966900,S5 7YF,53.4233,-1.4541
1966901,S5 7YG,53.4169,-1.4654
1966902,S5 7YH,53.4272,-1.4717
1966903,S5 7YJ,53.4272,-1.4717
1966904,S5 7YL,53.4233,-1.4541
1966905,S5 7YN,53.4233,-1.4541
1966906,S5 7YP,53.4272,-1.4717
1966907,S5 7YQ,53.4169,-1.4654
1966908,S5 7YR,53.4233,-1.4541
1966909,S5 7YS,53.4272,-1.4717
1966910,S5 7YT,53.4232,-1.4541
1966911,S5 7YU,53.4233,-1.4541
1966912,S5 7YW,53.4169,-1.4654
1966913,S5 7YX,53.4272,-1.4717
1966914,S5 7YY,53.4232,-1.4541
1966915,S5 7YZ,53.4233,-1.4541
