id,postcode,lat,lon
437861,S5 9LA,53.4295,-1.4690
437862,S5 9LD,53.4290,-1.4708
437863,S5 9LE,53.4294,-1.4733
437864,S5 9LF,53.4285,-1.4724
437865,S5 9LG,53.4282,-1.4723
437866,S5 9LH,53.4295,-1.4668
437867,S5 9LJ,53.4293,-1.4744
437868,S5 9LL,53.4292,-1.4754
437869,S5 9LN,53.4285,-1.4767
437870,S5 9LP,53.4277,-1.4791
437871,S5 9LQ,53.4297,-1.4763
437872,S5 9LR,53.4302,-1.4751
437873,S5 9LS,53.4297,-1.4779
437874,S5 9LT,53.4298,-1.4804
437875,S5 9LU,53.4292,-1.4806
437876,S5 9LW,53.4300,-1.4791
437877,S5 9LX,53.4301,-1.4766
