id,postcode,lat,lon
1967611,S6 1WA,53.4144,-1.5105
1967612,S6 1WB,53.4139,-1.5099
1967613,S6 1WD,53.4132,-1.5090
1967614,S6 1WE,53.4129,-1.5087
1967615,S6 1WF,53.4124,-1.5081
1967616,S6 1WG,53.4112,-1.5089
1967617,S6 1WH,53.4124,-1.5100
1967618,S6 1WJ,53.4131,-1.5102
1967619,S6 1WL,53.4113,-1.5065
1967620,S6 1WN,53.4114,-1.5069
1967621,S6 1WP,53.4119,-1.5066
1967622,S6 1WQ,53.4118,-1.5074
1967623,S6 1WR,53.4107,-1.5067
1967624,S6 1WS,53.4110,-1.5064
1967625,S6 1WT,53.4117,-1.5078
1967626,S6 1WU,53.4006,-1.4923
1967627,S6 1WW,53.4006,-1.4923
1967628,S6 1WX,53.4006,-1.4923
1967629,S6 1WY,53.4117,-1.5082
1967630,S6 1WZ,53.4006,-1.4923
