id,postcode,lat,lon
1983144,S75 1AA,53.5639,-1.4945
1983145,S75 1AB,53.5656,-1.5132
1983146,S75 1AD,53.5674,-1.5326
1983147,S75 1AE,53.5625,-1.4933
1983148,S75 1AF,53.5635,-1.4922
1983149,S75 1AG,53.5643,-1.4949
1983150,S75 1AH,53.5637,-1.4960
1983151,S75 1AJ,53.5643,-1.4964
1983152,S75 1AL,53.5673,-1.5024
1983153,S75 1AN,53.5673,-1.5343
1983154,S75 1AP,53.5678,-1.5198
1983155,S75 1AQ,53.5656,-1.4946
1983156,S75 1AR,53.5673,-1.5033
1983157,S75 1AS,53.5660,-1.5005
1983158,S75 1AT,53.5604,-1.4866
1983159,S75 1AU,53.5613,-1.4872
1983160,S75 1AW,53.5609,-1.4876
1983161,S75 1AX,53.5619,-1.4873
1983162,S75 1AY,53.5623,-1.4867
1983163,S75 1AZ,53.5623,-1.4874
1983164,S75 1BA,53.5605,-1.4853
1983165,S75 1BB,53.5617,-1.4879
1983166,S75 1BD,53.5617,-1.4862
1983167,S75 1BE,53.5631,-1.4889
1983168,S75 1BF,53.5624,-1.4884
1983169,S75 1BG,53.5632,-1.4867
1983170,S75 1BH,53.5639,-1.4866
1983171,S75 1BJ,53.5626,-1.4860
1983172,S75 1BL,53.5626,-1.4855
1983173,S75 1BN,53.5647,-1.4862
1983174,S75 1BP,53.5598,-1.4837
1983175,S75 1BQ,53.5644,-1.4847
1983176,S75 1BW,53.5629,-1.4850
1983177,S75 1DA,53.5612,-1.4854
1983178,S75 1DB,53.5616,-1.4828
1983179,S75 1DD,53.5642,-1.4849
1983180,S75 1DE,53.5665,-1.5002
1983181,S75 1DF,53.5669,-1.5004
1983182,S75 1DH,53.5645,-1.4899
1983183,S75 1DJ,53.5594,-1.4884
1983184,S75 1DL,53.5594,-1.4870
1983185,S75 1DN,53.5601,-1.4871
1983186,S75 1DP,53.5669,-1.5030
1983187,S75 1DQ,53.5656,-1.4912
1983188,S75 1DR,53.5619,-1.4891
1983189,S75 1DS,53.5631,-1.4902
1983190,S75 1DT,53.5628,-1.4921
1983191,S75 1DU,53.5645,-1.4924
1983192,S75 1DW,53.5606,-1.4876
1983193,S75 1DX,53.5662,-1.4917
1983194,S75 1DY,53.5669,-1.4905
1983195,S75 1DZ,53.5655,-1.4895
1983196,S75 1EA,53.5658,-1.4890
1983197,S75 1EB,53.5651,-1.4869
1983198,S75 1ED,53.5655,-1.4868
1983199,S75 1EE,53.5665,-1.4888
1983200,S75 1EF,53.5660,-1.4877
1983201,S75 1EG,53.5669,-1.4944
