id,postcode,lat,lon
1984840,S8 0NA,53.3452,-1.4841
1984841,S8 0NB,53.3470,-1.4871
1984842,S8 0ND,53.3462,-1.4865
1984843,S8 0NE,53.3464,-1.4852
1984844,S8 0NF,53.3466,-1.4834
1984845,S8 0NG,53.3458,-1.4831
1984846,S8 0NH,53.3490,-1.4842
1984847,S8 0NJ,53.3489,-1.4845
1984848,S8 0NL,53.3476,-1.4832
1984849,S8 0NN,53.3461,-1.4826
1984850,S8 0NP,53.3477,-1.4859
1984851,S8 0NQ,53.3471,-1.4844
1984852,S8 0NR,53.3477,-1.4851
1984853,S8 0NS,53.3480,-1.4860
1984854,S8 0NT,53.3493,-1.4820
1984855,S8 0NU,53.3489,-1.4859
1984856,S8 0NW,53.3507,-1.4835
1984857,S8 0NX,53.3493,-1.4858
1984858,S8 0NY,53.3495,-1.4861
1984859,S8 0NZ,53.3502,-1.4830
