id,postcode,lat,lon
2001876,SA2 8AA,51.6131,-3.9922
2001877,SA2 8AB,51.6128,-3.9940
2001878,SA2 8AD,51.6124,-3.9921
2001879,SA2 8AE,51.6120,-3.9935
2001880,SA2 8AF,51.6060,-3.9925
2001881,SA2 8AG,51.6056,-3.9941
2001882,SA2 8AH,51.6126,-3.9962
2001883,SA2 8AJ,51.6125,-3.9980
2001884,SA2 8AL,51.6126,-4.0008
2001885,SA2 8AN,51.6131,-4.0036
2001886,SA2 8AP,51.6067,-3.9930
2001887,SA2 8AQ,51.6105,-3.9954
2001888,SA2 8AR,51.6055,-3.9950
2001889,SA2 8AS,51.6114,-3.9971
2001890,SA2 8AT,51.6103,-3.9969
2001891,SA2 8AU,51.6090,-3.9970
2001892,SA2 8AW,51.6136,-4.0066
2001893,SA2 8AX,51.6081,-3.9969
2001894,SA2 8AY,51.6073,-3.9981
2001895,SA2 8AZ,51.6086,-3.9987
2001896,SA2 8BA,51.6095,-4.0005
2001897,SA2 8BB,51.6090,-3.9984
2001898,SA2 8BD,51.6100,-3.9991
2001899,SA2 8BE,51.6114,-4.0005
2001900,SA2 8BG,51.6111,-4.0000
2001901,SA2 8BH,51.6111,-4.0023
2001902,SA2 8BJ,51.6119,-4.0040
2001903,SA2 8BL,51.6120,-4.0022
2001904,SA2 8BN,51.6146,-4.0077
2001905,SA2 8BP,51.6178,-3.9951
2001906,SA2 8BQ,51.6111,-3.9987
2001907,SA2 8BS,51.6170,-3.9952
2001908,SA2 8BT,51.6170,-3.9947
2001909,SA2 8DA,51.6163,-3.9947
2001910,SA2 8DD,51.6105,-3.9933
2001911,SA2 8DE,51.6115,-3.9918
2001912,SA2 8DF,51.6115,-3.9918
2001913,SA2 8DH,51.6110,-3.9940
2001914,SA2 8DP,51.6074,-3.9960
2001915,SA2 8DQ,51.6098,-3.9922
2001916,SA2 8DR,51.6066,-3.9959
2001917,SA2 8DS,51.6072,-3.9942
2001918,SA2 8DT,51.6063,-3.9913
2001919,SA2 8DU,51.6052,-3.9982
2001920,SA2 8DX,51.6062,-3.9999
2001921,SA2 8DY,51.6059,-3.9980
2001922,SA2 8DZ,51.6065,-3.9978
2001923,SA2 8EA,51.6029,-3.9978
2001924,SA2 8EB,51.6039,-3.9974
2001925,SA2 8ED,51.6011,-3.9965
2001926,SA2 8EE,51.6027,-3.9937
2001927,SA2 8EF,51.6038,-3.9957
2001928,SA2 8EG,51.6018,-4.0023
2001929,SA2 8EH,51.6020,-3.9952
2001930,SA2 8EJ,51.6000,-3.9970
2001931,SA2 8EL,51.6010,-3.9978
2001932,SA2 8EN,51.6019,-3.9987
2001933,SA2 8EP,51.6010,-3.9998
2001934,SA2 8EQ,51.6039,-3.9951
2001935,SA2 8ER,51.6005,-3.9982
2001936,SA2 8ES,51.6022,-3.9998
2001937,SA2 8ET,51.6006,-3.9960
2001938,SA2 8EU,51.6043,-3.9983
2001939,SA2 8EW,51.6033,-3.9992
2001940,SA2 8HE,51.6172,-3.9967
2001941,SA2 8HH,51.6170,-3.9951
2001942,SA2 8HJ,51.6170,-3.9951
2001943,SA2 8HL,51.6177,-3.9952
2001944,SA2 8HN,51.6177,-3.9952
2001945,SA2 8HP,51.6179,-3.9960
2001946,SA2 8HQ,51.6172,-3.9957
2001947,SA2 8HR,51.6186,-3.9961
2001948,SA2 8HS,51.6180,-3.9986
2001949,SA2 8HT,51.6184,-3.9981
2001950,SA2 8HU,51.6193,-3.9980
2001951,SA2 8HW,51.6183,-3.9956
2001952,SA2 8HX,51.6186,-3.9991
2001953,SA2 8HY,51.6186,-3.9991
2001954,SA2 8HZ,51.6187,-3.9997
2001955,SA2 8JA,51.6187,-3.9997
2001956,SA2 8JB,51.6190,-4.0009
