id,postcode,lat,lon
387725,SE19 3JR,51.4195,-0.0939
387726,SE19 3JS,51.4198,-0.0941
387727,SE19 3JT,51.4201,-0.0925
387728,SE19 3JU,51.4212,-0.0923
387729,SE19 3JW,51.4193,-0.0925
387730,SE19 3JY,51.4206,-0.0904
387731,SE19 3LA,51.4178,-0.1033
387732,SE19 3LG,51.4128,-0.0870
387733,SE19 3LH,51.4113,-0.0883
387734,SE19 3LJ,51.4115,-0.0885
387735,SE19 3LL,51.4122,-0.0889
387736,SE19 3LN,51.4125,-0.0894
387737,SE19 3LP,51.4131,-0.0911
387738,SE19 3LQ,51.4103,-0.0874
387739,SE19 3LR,51.4133,-0.0914
387740,SE19 3LS,51.4132,-0.0893
387741,SE19 3LU,51.4119,-0.0887
387742,SE19 3LW,51.4130,-0.0908
387743,SE19 3LX,51.4128,-0.0878
387744,SE19 3LY,51.4108,-0.0878
387745,SE19 3NF,51.4224,-0.1053
387746,SE19 3NG,51.4224,-0.1051
387747,SE19 3NJ,51.4237,-0.1005
387748,SE19 3NL,51.4215,-0.1039
387749,SE19 3NN,51.4200,-0.1036
387750,SE19 3NP,51.4216,-0.1034
387751,SE19 3NQ,51.4224,-0.1044
387752,SE19 3NR,51.4224,-0.1017
387753,SE19 3NS,51.4211,-0.1015
387754,SE19 3NT,51.4211,-0.1010
387755,SE19 3NU,51.4218,-0.1001
387756,SE19 3NW,51.4202,-0.1031
387757,SE19 3NX,51.4224,-0.0999
387758,SE19 3NY,51.4227,-0.0985
387759,SE19 3PB,51.4228,-0.1024
387760,SE19 3PH,51.4153,-0.0891
387761,SE19 3PJ,51.4130,-0.0859
387762,SE19 3PL,51.4164,-0.0881
387763,SE19 3PN,51.4151,-0.0864
387764,SE19 3PP,51.4161,-0.0854
387765,SE19 3PQ,51.4154,-0.0906
387766,SE19 3PR,51.4161,-0.0865
387767,SE19 3PS,51.4133,-0.0869
387768,SE19 3PT,51.4142,-0.0889
387769,SE19 3PU,51.4147,-0.0906
387770,SE19 3PW,51.4156,-0.0869
387771,SE19 3PX,51.4150,-0.0901
387772,SE19 3PY,51.4164,-0.0928
387773,SE19 3PZ,51.4145,-0.0884
387774,SE19 3QA,51.4135,-0.0872
387775,SE19 3QB,51.4144,-0.0899
387776,SE19 3QD,51.4142,-0.0900
387777,SE19 3QE,51.4138,-0.0906
387778,SE19 3QF,51.4150,-0.0898
387779,SE19 3QG,51.4149,-0.0925
387780,SE19 3QJ,51.4214,-0.0928
387781,SE19 3QL,51.4209,-0.0937
387782,SE19 3QN,51.4202,-0.0947
387783,SE19 3QP,51.4179,-0.0977
387784,SE19 3QR,51.4173,-0.0965
387785,SE19 3QS,51.4175,-0.0950
387786,SE19 3QT,51.4189,-0.0979
387787,SE19 3QU,51.4196,-0.0973
387788,SE19 3QW,51.4182,-0.0965
387789,SE19 3QX,51.4204,-0.0996
387790,SE19 3QY,51.4193,-0.0998
387791,SE19 3QZ,51.4193,-0.1017
387792,SE19 3RA,51.4209,-0.1027
387793,SE19 3RB,51.4211,-0.1020
387795,SE19 3RQ,51.4193,-0.0836
387825,SE19 3RS,51.4189,-0.0833
387826,SE19 3RU,51.4186,-0.0815
387827,SE19 3RW,51.4178,-0.0819
387828,SE19 3RX,51.4190,-0.0816
387829,SE19 3RY,51.4189,-0.0824
387830,SE19 3RZ,51.4188,-0.0821
387831,SE19 3SB,51.4194,-0.0823
387832,SE19 3SD,51.4194,-0.0827
387834,SE19 3SP,51.4182,-0.0878
387835,SE19 3SQ,51.4188,-0.0911
387836,SE19 3SR,51.4186,-0.0887
387837,SE19 3SS,51.4190,-0.0893
387838,SE19 3ST,51.4194,-0.0898
387839,SE19 3SU,51.4196,-0.0906
387840,SE19 3SW,51.4180,-0.0869
387841,SE19 3SX,51.4199,-0.0896
387842,SE19 3SY,51.4202,-0.0893
387843,SE19 3SZ,51.4190,-0.0899
387844,SE19 3TA,51.4181,-0.0896
387845,SE19 3TB,51.4175,-0.0879
387846,SE19 3TD,51.4175,-0.0895
387847,SE19 3TE,51.4189,-0.0936
387848,SE19 3TF,51.4188,-0.0871
387850,SE19 3TP,51.4110,-0.0929
387851,SE19 3TR,51.4102,-0.0914
387852,SE19 3TS,51.4102,-0.0924
387853,SE19 3TT,51.4102,-0.0947
387854,SE19 3TU,51.4106,-0.0948
387855,SE19 3TW,51.4121,-0.0928
387856,SE19 3TY,51.4118,-0.0951
387857,SE19 3TZ,51.4120,-0.0933
387858,SE19 3UA,51.4122,-0.0949
387859,SE19 3UB,51.4136,-0.0971
387860,SE19 3UD,51.4134,-0.0959
387861,SE19 3UE,51.4130,-0.0954
387862,SE19 3UF,51.4139,-0.0936
387863,SE19 3UG,51.4137,-0.0945
387864,SE19 3UH,51.4124,-0.0941
387866,SE19 3UQ,51.4133,-0.0935
387868,SE19 3UU,51.4173,-0.0978
387870,SE19 3UX,51.4187,-0.1017
387871,SE19 3UY,51.4191,-0.1044
387872,SE19 3UZ,51.4182,-0.1028
387874,SE19 3XA,51.4172,-0.1004
387875,SE19 3XB,51.4151,-0.1011
387876,SE19 3XD,51.4160,-0.1002
387877,SE19 3XE,51.4145,-0.1021
387878,SE19 3XF,51.4147,-0.1033
387879,SE19 3XH,51.4140,-0.0999
387880,SE19 3XJ,51.4135,-0.0980
387881,SE19 3XN,51.4147,-0.0989
387882,SE19 3XP,51.4139,-0.0982
387883,SE19 3XQ,51.4142,-0.1032
387884,SE19 3XR,51.4177,-0.0984
387885,SE19 3XS,51.4184,-0.1040
387886,SE19 3XW,51.4144,-0.0980
387925,SE19 2LZ,51.4165,-0.0758
387926,SE19 2NP,51.4152,-0.0847
387927,SE19 2NR,51.4155,-0.0854
387928,SE19 2NS,51.4144,-0.0854
387929,SE19 2NT,51.4133,-0.0848
387930,SE19 2NU,51.4140,-0.0853
387931,SE19 2NX,51.4140,-0.0863
387932,SE19 2NZ,51.4135,-0.0857
387933,SE19 2PR,51.4167,-0.0813
387934,SE19 2PS,51.4147,-0.0828
387935,SE19 2PU,51.4141,-0.0823
387936,SE19 2PW,51.4163,-0.0813
387937,SE19 2PX,51.4139,-0.0818
387938,SE19 2PY,51.4140,-0.0805
387939,SE19 2PZ,51.4134,-0.0810
387940,SE19 2QA,51.4133,-0.0804
387941,SE19 2QB,51.4129,-0.0817
387942,SE19 2QD,51.4122,-0.0815
387943,SE19 2QE,51.4125,-0.0820
387944,SE19 2QF,51.4127,-0.0838
387945,SE19 2QH,51.4120,-0.0848
387946,SE19 2QJ,51.4118,-0.0845
387947,SE19 2QL,51.4115,-0.0851
387948,SE19 2QN,51.4109,-0.0857
387949,SE19 2QP,51.4142,-0.0832
387950,SE19 2QQ,51.4129,-0.0843
387951,SE19 2QT,51.4133,-0.0824
387952,SE19 2QU,51.4129,-0.0821
387954,SE19 2RD,51.4124,-0.0775
387955,SE19 2RE,51.4138,-0.0784
387956,SE19 2RF,51.4137,-0.0779
387957,SE19 2RG,51.4124,-0.0761
387958,SE19 2RH,51.4138,-0.0773
387959,SE19 2RJ,51.4125,-0.0750
387960,SE19 2RL,51.4128,-0.0753
387961,SE19 2RN,51.4125,-0.0764
387962,SE19 2RP,51.4125,-0.0784
387963,SE19 2RQ,51.4137,-0.0764
387964,SE19 2RR,51.4125,-0.0803
387965,SE19 2RS,51.4122,-0.0796
387966,SE19 2RT,51.4119,-0.0798
387967,SE19 2RU,51.4109,-0.0767
387968,SE19 2RW,51.4122,-0.0756
387969,SE19 2RX,51.4112,-0.0794
387970,SE19 2RY,51.4103,-0.0792
387971,SE19 2RZ,51.4103,-0.0783
387972,SE19 2SA,51.4102,-0.0776
387973,SE19 2SB,51.4101,-0.0769
387974,SE19 2SD,51.4101,-0.0763
387975,SE19 2SE,51.4113,-0.0787
387976,SE19 2SF,51.4127,-0.0798
387977,SE19 2SG,51.4108,-0.0772
387978,SE19 2TA,51.4176,-0.0807
387979,SE19 2TB,51.4174,-0.0805
387980,SE19 2TD,51.4173,-0.0803
387981,SE19 2TE,51.4181,-0.0799
387982,SE19 2TF,51.4195,-0.0786
387983,SE19 2TJ,51.4183,-0.0798
387989,SE19 2UA,51.4166,-0.0811
387990,SE19 2UB,51.4157,-0.0829
387991,SE19 2UD,51.4160,-0.0830
387992,SE19 2UE,51.4160,-0.0838
387993,SE19 2UF,51.4154,-0.0832
387994,SE19 2UG,51.4154,-0.0832
387995,SE19 2UH,51.4162,-0.0804
387996,SE19 2UJ,51.4159,-0.0811
387997,SE19 2UL,51.4160,-0.0814
387998,SE19 2UN,51.4153,-0.0813
387999,SE19 2UP,51.4152,-0.0802
388000,SE19 2UQ,51.4164,-0.0808
388001,SE19 2UR,51.4151,-0.0793
388002,SE19 2UT,51.4147,-0.0794
388025,SE19 2UU,51.4149,-0.0789
388026,SE19 2UW,51.4152,-0.0808
388027,SE19 2UX,51.4155,-0.0795
388030,SE19 2XA,51.4149,-0.0777
388031,SE19 2XB,51.4143,-0.0783
388032,SE19 2XD,51.4151,-0.0775
388033,SE19 2XE,51.4144,-0.0773
388044,SE19 3AA,51.4186,-0.0801
388045,SE19 3AB,51.4168,-0.0825
388046,SE19 3AD,51.4191,-0.0804
388047,SE19 3AE,51.4192,-0.0808
388048,SE19 3AF,51.4174,-0.0821
388049,SE19 3AG,51.4187,-0.0811
388050,SE19 3AH,51.4191,-0.0832
388051,SE19 3AN,51.4185,-0.0834
388052,SE19 3AP,51.4177,-0.0840
388053,SE19 3AS,51.4173,-0.0852
388054,SE19 3AT,51.4182,-0.0848
388055,SE19 3AU,51.4186,-0.0842
388056,SE19 3AX,51.4178,-0.0849
388057,SE19 3AY,51.4175,-0.0859
388058,SE19 3AZ,51.4187,-0.0857
388059,SE19 3BA,51.4182,-0.0859
388060,SE19 3BB,51.4176,-0.1014
388061,SE19 3BD,51.4179,-0.0811
388062,SE19 3BE,51.4185,-0.0867
388063,SE19 3BF,51.4182,-0.1015
388064,SE19 3BG,51.4171,-0.0845
388065,SE19 3BH,51.4228,-0.0976
388066,SE19 3BJ,51.4097,-0.0946
388067,SE19 3BL,51.4102,-0.0893
388068,SE19 3BN,51.4108,-0.0888
388069,SE19 3BQ,51.4173,-0.1010
388070,SE19 3BS,51.4101,-0.0895
388071,SE19 3BT,51.4098,-0.0895
388072,SE19 3BU,51.4095,-0.0896
388073,SE19 3BW,51.4104,-0.0891
388074,SE19 3BX,51.4091,-0.0897
388075,SE19 3BY,51.4088,-0.0895
388076,SE19 3BZ,51.4085,-0.0905
388077,SE19 3DA,51.4096,-0.0933
388078,SE19 3DB,51.4097,-0.0926
388079,SE19 3DD,51.4093,-0.0907
388080,SE19 3DE,51.4086,-0.0901
388081,SE19 3DF,51.4087,-0.0889
388082,SE19 3DG,51.4096,-0.0884
388083,SE19 3DH,51.4110,-0.0886
388084,SE19 3DJ,51.4092,-0.0923
388085,SE19 3DL,51.4090,-0.0918
388086,SE19 3DP,51.4165,-0.0944
388087,SE19 3DQ,51.4099,-0.0887
388088,SE19 3DS,51.4141,-0.0929
388089,SE19 3DT,51.4151,-0.0939
388090,SE19 3DU,51.4153,-0.0948
388091,SE19 3DX,51.4149,-0.0948
388092,SE19 3EB,51.4156,-0.0951
388093,SE19 3ED,51.4154,-0.0963
388094,SE19 3EE,51.4157,-0.0963
388095,SE19 3EF,51.4160,-0.0964
388096,SE19 3EG,51.4161,-0.0975
388097,SE19 3EH,51.4154,-0.0985
388098,SE19 3EJ,51.4161,-0.0988
388099,SE19 3EL,51.4174,-0.0992
388100,SE19 3EN,51.4168,-0.0990
388101,SE19 3EQ,51.4154,-0.0985
388102,SE19 3ER,51.4153,-0.0931
388103,SE19 3ES,51.4183,-0.0991
388104,SE19 3ET,51.4165,-0.0963
388105,SE19 3EU,51.4157,-0.0994
388106,SE19 3EW,51.4163,-0.0955
388107,SE19 3EX,51.4165,-0.0959
388108,SE19 3EY,51.4160,-0.0931
388109,SE19 3EZ,51.4166,-0.0965
388110,SE19 3HB,51.4224,-0.1063
388112,SE19 3HE,51.4218,-0.1066
388113,SE19 3HF,51.4210,-0.1061
388114,SE19 3HG,51.4207,-0.1056
388115,SE19 3HH,51.4204,-0.1042
388116,SE19 3HJ,51.4217,-0.1053
388117,SE19 3HL,51.4205,-0.1074
388118,SE19 3HN,51.4181,-0.1056
388119,SE19 3HP,51.4182,-0.1049
388120,SE19 3HQ,51.4205,-0.1047
388121,SE19 3HR,51.4173,-0.1039
388122,SE19 3HS,51.4172,-0.1043
388123,SE19 3HT,51.4156,-0.1041
388124,SE19 3HU,51.4158,-0.1044
388125,SE19 1LS,51.4264,-0.0769
388126,SE19 1LT,51.4256,-0.0794
388127,SE19 1LU,51.4261,-0.0780
388128,SE19 1LW,51.4252,-0.0779
388129,SE19 1NL,51.4207,-0.0831
388130,SE19 1NR,51.4209,-0.0819
388131,SE19 1NS,51.4204,-0.0808
388132,SE19 1NT,51.4207,-0.0802
388133,SE19 1NU,51.4215,-0.0810
388134,SE19 1NX,51.4212,-0.0817
388135,SE19 1NY,51.4216,-0.0819
388136,SE19 1NZ,51.4213,-0.0820
388137,SE19 1PA,51.4223,-0.0808
388138,SE19 1PB,51.4220,-0.0825
388139,SE19 1PD,51.4225,-0.0832
388140,SE19 1PF,51.4226,-0.0828
388141,SE19 1PH,51.4235,-0.0825
388142,SE19 1PJ,51.4236,-0.0831
388143,SE19 1PL,51.4245,-0.0834
388144,SE19 1PQ,51.4229,-0.0819
388145,SE19 1PR,51.4231,-0.0827
388146,SE19 1PW,51.4250,-0.0835
388147,SE19 1QB,51.4267,-0.0872
388148,SE19 1QF,51.4232,-0.0846
388149,SE19 1QG,51.4214,-0.0837
388150,SE19 1QH,51.4231,-0.0837
388151,SE19 1QJ,51.4229,-0.0842
388152,SE19 1QL,51.4250,-0.0841
388153,SE19 1QN,51.4256,-0.0855
388154,SE19 1QP,51.4261,-0.0854
388155,SE19 1QR,51.4266,-0.0851
388156,SE19 1QS,51.4274,-0.0860
388157,SE19 1QW,51.4256,-0.0860
388158,SE19 1QX,51.4271,-0.0863
388159,SE19 1QY,51.4264,-0.0874
388160,SE19 1QZ,51.4266,-0.0891
388161,SE19 1RA,51.4263,-0.0860
388162,SE19 1RB,51.4269,-0.0855
388163,SE19 1RS,51.4215,-0.0945
388164,SE19 1RT,51.4221,-0.0924
388166,SE19 1RX,51.4196,-0.0814
388167,SE19 1SB,51.4196,-0.0793
388168,SE19 1SE,51.4196,-0.0794
388169,SE19 1SG,51.4201,-0.0795
388170,SE19 1SH,51.4218,-0.0800
388171,SE19 1SJ,51.4226,-0.0798
388172,SE19 1SL,51.4222,-0.0789
388173,SE19 1SN,51.4233,-0.0791
388174,SE19 1SP,51.4254,-0.0804
388175,SE19 1SQ,51.4201,-0.0799
388176,SE19 1SR,51.4259,-0.0806
388177,SE19 1SS,51.4214,-0.0793
388178,SE19 1ST,51.4206,-0.0795
388179,SE19 1SW,51.4247,-0.0800
388180,SE19 1SZ,51.4219,-0.0783
388185,SE19 1TN,51.4204,-0.0823
388186,SE19 1TP,51.4204,-0.0810
388187,SE19 1TQ,51.4199,-0.0821
388188,SE19 1TS,51.4198,-0.0803
388189,SE19 1TW,51.4203,-0.0826
388190,SE19 1TX,51.4199,-0.0794
388191,SE19 1UA,51.4203,-0.0787
388193,SE19 1UE,51.4239,-0.0743
388194,SE19 1UF,51.4259,-0.0738
388195,SE19 1UH,51.4259,-0.0754
388196,SE19 1UL,51.4248,-0.0768
388197,SE19 1UN,51.4251,-0.0757
388198,SE19 1UP,51.4279,-0.0761
388199,SE19 1UR,51.4289,-0.0801
388200,SE19 1UU,51.4292,-0.0809
388201,SE19 1UW,51.4274,-0.0769
388202,SE19 1UX,51.4294,-0.0797
388203,SE19 1UY,51.4271,-0.0758
388204,SE19 1UZ,51.4253,-0.0771
388205,SE19 1XA,51.4280,-0.0794
388206,SE19 1XB,51.4287,-0.0790
388207,SE19 1XD,51.4285,-0.0785
388208,SE19 1XE,51.4273,-0.0777
388209,SE19 1XF,51.4269,-0.0802
388210,SE19 3HW,51.4188,-0.1049
388211,SE19 3HX,51.4141,-0.1045
388212,SE19 3HY,51.4144,-0.1049
388213,SE19 3HZ,51.4138,-0.1036
388214,SE19 3JA,51.4219,-0.1044
388215,SE19 3JB,51.4164,-0.1034
388216,SE19 3JD,51.4168,-0.1023
388217,SE19 3JE,51.4166,-0.1007
388218,SE19 3JF,51.4170,-0.1015
388219,SE19 3JG,51.4156,-0.0930
388220,SE19 3JH,51.4210,-0.0916
388221,SE19 3JJ,51.4204,-0.0910
388222,SE19 3JL,51.4199,-0.0913
388223,SE19 3JN,51.4196,-0.0921
388224,SE19 3JP,51.4192,-0.0931
388225,SE19 1XG,51.4274,-0.0810
388226,SE19 1XH,51.4284,-0.0780
388227,SE19 1XJ,51.4271,-0.0787
388228,SE19 1XQ,51.4267,-0.0788
388231,SE19 1ZL,51.4189,-0.0833
388234,SE19 2AA,51.4195,-0.0772
388235,SE19 2AB,51.4191,-0.0764
388236,SE19 2AD,51.4190,-0.0759
388237,SE19 2AE,51.4180,-0.0745
388238,SE19 2AF,51.4182,-0.0748
388239,SE19 2AG,51.4173,-0.0740
388240,SE19 2AH,51.4168,-0.0735
388241,SE19 2AJ,51.4161,-0.0745
388242,SE19 2AL,51.4159,-0.0741
388243,SE19 2AN,51.4161,-0.0730
388244,SE19 2AP,51.4152,-0.0735
388245,SE19 2AQ,51.4169,-0.0737
388246,SE19 2AR,51.4150,-0.0736
388247,SE19 2AS,51.4165,-0.0726
388248,SE19 2AT,51.4167,-0.0808
388249,SE19 2AU,51.4165,-0.0739
388250,SE19 2AW,51.4154,-0.0742
388251,SE19 2AX,51.4167,-0.0724
388252,SE19 2AY,51.4176,-0.0733
388253,SE19 2AZ,51.4182,-0.0726
388254,SE19 2BA,51.4186,-0.0745
388255,SE19 2BB,51.4190,-0.0678
388256,SE19 2BD,51.4169,-0.0808
388257,SE19 2BE,51.4168,-0.0808
388258,SE19 2BF,51.4181,-0.0733
388259,SE19 2BG,51.4166,-0.0749
