id,postcode,lat,lon
357825,SK17 9JN,53.2308,-1.9174
357826,SK17 9JP,53.2368,-1.9047
357827,SK17 9JQ,53.2374,-1.9076
357828,SK17 9JR,53.2371,-1.9042
357829,SK17 9JS,53.2383,-1.9039
357830,SK17 9JT,53.2371,-1.9029
357831,SK17 9JU,53.2368,-1.9032
357832,SK17 9JW,53.2320,-1.9118
357833,SK17 9JX,53.2374,-1.9020
357834,SK17 9JY,53.2369,-1.8984
357835,SK17 9LA,53.2363,-1.9037
357836,SK17 9LB,53.2364,-1.9033
357837,SK17 9LD,53.2385,-1.9065
357838,SK17 9LE,53.2406,-1.9035
357839,SK17 9LF,53.2402,-1.9061
357840,SK17 9LG,53.2399,-1.9066
357841,SK17 9LH,53.2406,-1.9068
357842,SK17 9LJ,53.2415,-1.9073
357843,SK17 9LL,53.2410,-1.9075
357844,SK17 9LN,53.2420,-1.9084
357845,SK17 9LP,53.2432,-1.9079
357846,SK17 9LQ,53.2400,-1.9075
357847,SK17 9LR,53.2429,-1.9085
357848,SK17 9LS,53.2425,-1.9078
357849,SK17 9LT,53.2435,-1.9071
357850,SK17 9LU,53.2436,-1.9059
357851,SK17 9LW,53.2419,-1.9089
357852,SK17 9LX,53.2439,-1.9070
357853,SK17 9LY,53.2416,-1.9055
357854,SK17 9LZ,53.2422,-1.9060
357855,SK17 9NA,53.2454,-1.9077
357856,SK17 9NB,53.2466,-1.9072
357857,SK17 9ND,53.2473,-1.9089
357858,SK17 9NE,53.2481,-1.9099
357859,SK17 9NF,53.2490,-1.9094
357860,SK17 9NG,53.2472,-1.9109
357861,SK17 9NH,53.2475,-1.9115
357862,SK17 9NJ,53.2481,-1.9083
357863,SK17 9NL,53.2286,-1.9128
357864,SK17 9NN,53.2489,-1.9107
357865,SK17 9NP,53.2428,-1.9132
357866,SK17 9NQ,53.2464,-1.9105
357867,SK17 9NR,53.2370,-1.9072
357868,SK17 9NT,53.2515,-1.9115
357869,SK17 9NU,53.2514,-1.9120
357870,SK17 9NW,53.2498,-1.9106
357871,SK17 9NX,53.2526,-1.9139
357872,SK17 9NY,53.2523,-1.9124
357873,SK17 9NZ,53.2528,-1.9135
357874,SK17 9PA,53.2531,-1.9140
357875,SK17 9PB,53.2425,-1.9065
357876,SK17 9PD,53.2443,-1.9037
357877,SK17 9PE,53.2441,-1.9045
357878,SK17 9PF,53.2463,-1.9058
357879,SK17 9PG,53.2444,-1.9050
357880,SK17 9PH,53.2445,-1.9061
357881,SK17 9PJ,53.2438,-1.9031
357882,SK17 9PL,53.2451,-1.9030
357883,SK17 9PN,53.2329,-1.8975
357884,SK17 9PP,53.2321,-1.8960
357885,SK17 9PQ,53.2444,-1.9031
357886,SK17 9PR,53.2320,-1.8940
357888,SK17 9PT,53.2308,-1.8867
357889,SK17 9PU,53.2309,-1.8889
357890,SK17 9PW,53.2324,-1.8976
357891,SK17 9PX,53.2297,-1.8833
357892,SK17 9PY,53.2259,-1.8705
357893,SK17 9QA,53.2146,-1.8503
357894,SK17 9QB,53.2151,-1.8484
357895,SK17 9QD,53.2084,-1.8565
357896,SK17 9QE,53.2076,-1.8399
357897,SK17 9QF,53.2079,-1.8475
357898,SK17 9QG,53.2050,-1.8247
357899,SK17 9QH,53.2493,-1.9098
357900,SK17 9QJ,53.1904,-1.8112
357901,SK17 9QL,53.1876,-1.8226
357902,SK17 9QN,53.1973,-1.8250
357903,SK17 9QP,53.2055,-1.7904
357904,SK17 9QQ,53.1948,-1.8090
357905,SK17 9QR,53.2123,-1.7914
357906,SK17 9QS,53.2200,-1.7804
357907,SK17 9QT,53.2145,-1.8001
357908,SK17 9QU,53.2151,-1.8012
357909,SK17 9QW,53.2046,-1.8105
357910,SK17 9QX,53.2128,-1.7984
357925,SK17 9QY,53.2148,-1.8006
357926,SK17 9QZ,53.2178,-1.8100
357927,SK17 9RA,53.2274,-1.8060
357928,SK17 9RB,53.2333,-1.8150
357929,SK17 9RD,53.2363,-1.8986
357930,SK17 9RE,53.2377,-1.9052
357931,SK17 9RF,53.2501,-1.9129
357932,SK17 9RG,53.2497,-1.9134
357933,SK17 9RH,53.2492,-1.9128
357934,SK17 9RN,53.2469,-1.9036
357935,SK17 9RP,53.2502,-1.8967
357936,SK17 9RQ,53.2461,-1.9027
357937,SK17 9RS,53.2478,-1.9028
357938,SK17 9RT,53.2466,-1.9008
357939,SK17 9RU,53.2470,-1.9018
357940,SK17 9RW,53.2470,-1.9027
357941,SK17 9RX,53.2328,-1.8943
357942,SK17 9RY,53.2458,-1.9024
357943,SK17 9RZ,53.2444,-1.8967
357944,SK17 9SA,53.2341,-1.8920
357945,SK17 9SB,53.2325,-1.8936
357946,SK17 9SD,53.2363,-1.8861
357947,SK17 9SE,53.2445,-1.8777
357948,SK17 9SF,53.2450,-1.8611
357949,SK17 9SG,53.2247,-1.8438
357950,SK17 9SH,53.2252,-1.8345
357951,SK17 9SJ,53.2282,-1.8315
357952,SK17 9SL,53.2280,-1.8316
357953,SK17 9SN,53.2285,-1.8289
357954,SK17 9SP,53.2386,-1.8362
357955,SK17 9SQ,53.2242,-1.8418
357956,SK17 9SW,53.2342,-1.8374
357957,SK17 9SZ,53.2468,-1.8902
357958,SK17 9TA,53.2494,-1.8796
357959,SK17 9TB,53.2536,-1.9029
357960,SK17 9TD,53.2498,-1.8619
357961,SK17 9TE,53.2479,-1.8480
357962,SK17 9TF,53.2518,-1.8332
357963,SK17 9TG,53.2444,-1.8293
357964,SK17 9TH,53.2440,-1.8067
357965,SK17 9TJ,53.2394,-1.8039
357966,SK17 9TL,53.2397,-1.7993
357967,SK17 9TN,53.2455,-1.7935
357968,SK17 9TP,53.2369,-1.7936
357969,SK17 9TQ,53.2456,-1.8127
357970,SK17 9TR,53.2373,-1.7914
357971,SK17 9TS,53.2358,-1.7901
357972,SK17 9TT,53.2366,-1.7903
357973,SK17 9TU,53.2364,-1.7893
357974,SK17 9TW,53.2374,-1.7935
357975,SK17 9TX,53.2364,-1.7885
357976,SK17 9TY,53.2366,-1.7878
357977,SK17 9TZ,53.2367,-1.7866
357978,SK17 9UA,53.2361,-1.7873
357979,SK17 9UB,53.2363,-1.7866
357980,SK17 9UD,53.2360,-1.7836
357981,SK17 9UE,53.2363,-1.7826
357982,SK17 9UF,53.2353,-1.7813
357983,SK17 9UG,53.2356,-1.7803
357984,SK17 9UH,53.2302,-1.7651
357985,SK17 9UJ,53.2222,-1.7679
357986,SK17 9UQ,53.2405,-1.7617
357989,SK17 9XA,53.2473,-1.9099
357990,SK17 9XB,53.2431,-1.9060
357991,SK17 9XD,53.2429,-1.9043
357992,SK17 9XG,53.2471,-1.9105
358025,SK17 8LY,53.2806,-1.7750
358026,SK17 8LZ,53.2807,-1.7755
358027,SK17 8NA,53.2809,-1.7757
358028,SK17 8NB,53.2815,-1.7759
358029,SK17 8ND,53.2810,-1.7752
358030,SK17 8NE,53.2794,-1.7723
358031,SK17 8NG,53.2798,-1.7718
358033,SK17 8NP,53.2781,-1.7694
358034,SK17 8NS,53.2778,-1.7750
358035,SK17 8NT,53.2779,-1.7733
358036,SK17 8NU,53.2784,-1.7724
358037,SK17 8NW,53.2785,-1.7715
358038,SK17 8NX,53.2803,-1.7702
358039,SK17 8NY,53.2790,-1.7704
358040,SK17 8NZ,53.2805,-1.7693
358041,SK17 8PA,53.2795,-1.7679
358042,SK17 8PB,53.2788,-1.7700
358043,SK17 8PD,53.2785,-1.7709
358044,SK17 8PE,53.2775,-1.7737
358045,SK17 8PF,53.2762,-1.7743
358046,SK17 8PG,53.2751,-1.7731
358047,SK17 8PH,53.2726,-1.7718
358048,SK17 8PJ,53.2701,-1.7806
358049,SK17 8PL,53.2728,-1.7748
358050,SK17 8PN,53.2735,-1.7744
358051,SK17 8PP,53.2741,-1.7749
358052,SK17 8PQ,53.2743,-1.7732
358053,SK17 8PR,53.2738,-1.7737
358054,SK17 8PS,53.2743,-1.7734
358055,SK17 8PT,53.2750,-1.7739
358056,SK17 8PU,53.2748,-1.7740
358057,SK17 8PW,53.2733,-1.7752
358058,SK17 8PX,53.2784,-1.7697
358059,SK17 8PY,53.2811,-1.7688
358060,SK17 8PZ,53.2721,-1.7737
358061,SK17 8QH,53.2664,-1.7786
358062,SK17 8QJ,53.2684,-1.7693
358063,SK17 8QL,53.2721,-1.7607
358064,SK17 8QN,53.2712,-1.7618
358065,SK17 8QP,53.2728,-1.7544
358066,SK17 8QR,53.2726,-1.7566
358067,SK17 8QS,53.2729,-1.7553
358068,SK17 8QU,53.2739,-1.7552
358069,SK17 8QW,53.2730,-1.7587
358070,SK17 8QX,53.2732,-1.7548
358071,SK17 8QY,53.2733,-1.7551
358072,SK17 8QZ,53.2746,-1.7569
358073,SK17 8RA,53.2741,-1.7579
358074,SK17 8RB,53.2828,-1.7611
358075,SK17 8RD,53.2928,-1.7508
358076,SK17 8RE,53.2974,-1.7466
358077,SK17 8RF,53.2980,-1.7360
358078,SK17 8RG,53.2971,-1.7333
358079,SK17 8RH,53.2973,-1.7354
358080,SK17 8RJ,53.2946,-1.7290
358081,SK17 8RL,53.2844,-1.7378
358082,SK17 8RN,53.2784,-1.7380
358083,SK17 8RP,53.2687,-1.7292
358084,SK17 8RQ,53.2995,-1.7193
358085,SK17 8RR,53.3077,-1.7455
358086,SK17 8RS,53.3085,-1.7567
358087,SK17 8RT,53.3041,-1.7562
358088,SK17 8RU,53.2931,-1.7687
358089,SK17 8RW,53.2771,-1.7301
358090,SK17 8RX,53.2719,-1.7589
358091,SK17 8SA,53.2509,-1.7425
358092,SK17 8SH,53.2853,-1.8327
358093,SK17 8SJ,53.2738,-1.8230
358094,SK17 8SL,53.2670,-1.8171
358095,SK17 8SN,53.2567,-1.7899
358096,SK17 8SR,53.2543,-1.7622
358097,SK17 8SS,53.2573,-1.7746
358098,SK17 8ST,53.2573,-1.7549
358099,SK17 8SU,53.2574,-1.7600
358100,SK17 8SW,53.2538,-1.7614
358101,SK17 8SX,53.2555,-1.7456
358102,SK17 8SY,53.2533,-1.7438
358103,SK17 8SZ,53.2454,-1.7340
358104,SK17 8TA,53.2726,-1.8216
358105,SK17 8TB,53.2718,-1.8383
358106,SK17 8TD,53.2538,-1.8281
358107,SK17 8TG,53.2769,-1.8571
358108,SK17 8TQ,53.2767,-1.8569
358115,SK17 9AA,53.2525,-1.9352
358116,SK17 9AB,53.2526,-1.9345
358117,SK17 9AD,53.2534,-1.9333
358125,SK17 9AE,53.2532,-1.9322
358126,SK17 9AF,53.2538,-1.9303
358127,SK17 9AG,53.2543,-1.9287
358128,SK17 9AH,53.2535,-1.9231
358129,SK17 9AJ,53.2542,-1.9222
358130,SK17 9AL,53.2545,-1.9205
358131,SK17 9AN,53.2558,-1.9253
358132,SK17 9AQ,53.2542,-1.9252
358133,SK17 9AR,53.2571,-1.9215
358134,SK17 9AS,53.2574,-1.9217
358135,SK17 9AT,53.2530,-1.9308
358136,SK17 9AU,53.2549,-1.9253
358137,SK17 9AW,53.2552,-1.9223
358138,SK17 9AX,53.2550,-1.9272
358139,SK17 9AY,53.2551,-1.9208
358140,SK17 9AZ,53.2561,-1.9227
358141,SK17 9BA,53.2520,-1.9223
358142,SK17 9BB,53.2508,-1.9260
358143,SK17 9BD,53.2522,-1.9246
358144,SK17 9BE,53.2513,-1.9273
358145,SK17 9BG,53.2518,-1.9302
358146,SK17 9BH,53.2535,-1.9282
358147,SK17 9BJ,53.2529,-1.9264
358148,SK17 9BL,53.2524,-1.9276
358149,SK17 9BN,53.2532,-1.9281
358150,SK17 9BP,53.2523,-1.9266
358151,SK17 9BQ,53.2529,-1.9296
358153,SK17 9BS,53.2524,-1.9252
358154,SK17 9BU,53.2532,-1.9245
358155,SK17 9BW,53.2528,-1.9256
358156,SK17 9BX,53.2530,-1.9226
358157,SK17 9BZ,53.2532,-1.9205
358158,SK17 9DB,53.2520,-1.9353
358159,SK17 9DE,53.2521,-1.9348
358160,SK17 9DF,53.2516,-1.9355
358161,SK17 9DG,53.2517,-1.9333
358162,SK17 9DH,53.2503,-1.9267
358163,SK17 9DJ,53.2499,-1.9232
358164,SK17 9DL,53.2504,-1.9178
358165,SK17 9DN,53.2521,-1.9141
