id,postcode,lat,lon
348925,SL0 0QY,51.5455,-0.5265
348926,SL0 0RA,51.5383,-0.5271
348927,SL0 0RB,51.5397,-0.5224
348928,SL0 0RD,51.5396,-0.5242
348929,SL0 0RE,51.5424,-0.5208
348930,SL0 0RF,51.5412,-0.5234
348931,SL0 0RG,51.5423,-0.5228
348932,SL0 0RH,51.5401,-0.5248
348933,SL0 0RJ,51.5420,-0.5232
348934,SL0 0RL,51.5414,-0.5256
348935,SL0 0RN,51.5413,-0.5247
348936,SL0 0RP,51.5408,-0.5227
348937,SL0 0RQ,51.5416,-0.5262
348938,SL0 0RR,51.5410,-0.5225
348939,SL0 0RS,51.5415,-0.5210
348940,SL0 0RT,51.5420,-0.5210
348941,SL0 0RU,51.5385,-0.5244
348942,SL0 0RW,51.5413,-0.5221
348943,SL0 0RX,51.5388,-0.5235
348944,SL0 0RY,51.5424,-0.5199
348945,SL0 0SB,51.5392,-0.5206
348946,SL0 0SD,51.5376,-0.5231
348947,SL0 0SE,51.5375,-0.5237
348948,SL0 0SF,51.5380,-0.5237
348949,SL0 0SG,51.5384,-0.5214
348950,SL0 0SJ,51.5392,-0.5195
349156,SL0 0AA,51.5221,-0.5080
349157,SL0 0AD,51.5211,-0.5081
349158,SL0 0AE,51.5212,-0.5087
349159,SL0 0AG,51.5217,-0.5083
349160,SL0 0AH,51.5220,-0.5107
349161,SL0 0AJ,51.5216,-0.5098
349162,SL0 0AL,51.5225,-0.5122
349163,SL0 0AN,51.5224,-0.5097
349164,SL0 0AP,51.5227,-0.5095
349165,SL0 0AS,51.5277,-0.5072
349166,SL0 0AT,51.5271,-0.5079
349167,SL0 0AU,51.5257,-0.5111
349168,SL0 0AW,51.5236,-0.5081
349169,SL0 0AX,51.5257,-0.5094
349170,SL0 0AY,51.5283,-0.5150
349171,SL0 0AZ,51.5310,-0.5141
349172,SL0 0BA,51.5310,-0.5139
349173,SL0 0BB,51.5348,-0.5144
349174,SL0 0BD,51.5261,-0.5140
349175,SL0 0BE,51.5305,-0.5157
349176,SL0 0BG,51.5386,-0.5168
349177,SL0 0BH,51.5400,-0.5171
349178,SL0 0BJ,51.5424,-0.5170
349179,SL0 0BL,51.5429,-0.5191
349180,SL0 0BN,51.5413,-0.5192
349181,SL0 0BQ,51.5386,-0.5157
349182,SL0 0BS,51.5359,-0.5156
349183,SL0 0BT,51.5406,-0.5187
349184,SL0 0BW,51.5397,-0.5201
349185,SL0 0BX,51.5388,-0.5184
349186,SL0 0BY,51.5384,-0.5178
349187,SL0 0BZ,51.5387,-0.5190
349188,SL0 0DA,51.5377,-0.5200
349189,SL0 0DB,51.5383,-0.5200
349190,SL0 0DD,51.5368,-0.5236
349192,SL0 0DG,51.5378,-0.5168
349193,SL0 0DH,51.5373,-0.5165
349194,SL0 0DJ,51.5372,-0.5180
349195,SL0 0DL,51.5376,-0.5181
349225,SL0 0DN,51.5365,-0.5224
349226,SL0 0DP,51.5372,-0.5197
349227,SL0 0DQ,51.5301,-0.5210
349228,SL0 0DR,51.5354,-0.5273
349229,SL0 0DS,51.5360,-0.5224
349230,SL0 0DT,51.5366,-0.5193
349231,SL0 0DU,51.5353,-0.5181
349232,SL0 0DW,51.5369,-0.5197
349233,SL0 0DX,51.5354,-0.5198
349234,SL0 0DY,51.5367,-0.5167
349235,SL0 0DZ,51.5363,-0.5111
349236,SL0 0EA,51.5382,-0.5074
349237,SL0 0EB,51.5405,-0.4988
349238,SL0 0ED,51.5421,-0.4976
349239,SL0 0EE,51.5427,-0.4944
349240,SL0 0EF,51.5373,-0.5193
349241,SL0 0EG,51.5357,-0.5191
349243,SL0 0EN,51.5293,-0.5162
349244,SL0 0EP,51.5297,-0.5169
349245,SL0 0EQ,51.5360,-0.5194
349246,SL0 0ER,51.5334,-0.5223
349247,SL0 0ES,51.5323,-0.5223
349248,SL0 0ET,51.5311,-0.5216
349249,SL0 0EU,51.5360,-0.5210
349250,SL0 0EW,51.5297,-0.5189
349251,SL0 0EX,51.5345,-0.5205
349252,SL0 0EY,51.5360,-0.5216
349253,SL0 0EZ,51.5347,-0.5214
349254,SL0 0HA,51.5347,-0.5227
349255,SL0 0HB,51.5353,-0.5220
349256,SL0 0HD,51.5354,-0.5229
349257,SL0 0HE,51.5354,-0.5244
349258,SL0 0HF,51.5352,-0.5235
349259,SL0 0HG,51.5345,-0.5232
349260,SL0 0HH,51.5329,-0.5243
349261,SL0 0HJ,51.5326,-0.5239
349262,SL0 0HL,51.5332,-0.5235
349263,SL0 0HN,51.5323,-0.5229
349264,SL0 0HP,51.5317,-0.5234
349265,SL0 0HQ,51.5334,-0.5228
349266,SL0 0HR,51.5303,-0.5220
349267,SL0 0HS,51.5281,-0.5211
349268,SL0 0HT,51.5266,-0.5201
349269,SL0 0HU,51.5265,-0.5192
349270,SL0 0HW,51.5320,-0.5239
349271,SL0 0HX,51.5281,-0.5232
349272,SL0 0HY,51.5286,-0.5224
349273,SL0 0JG,51.5187,-0.5252
349274,SL0 0JJ,51.5145,-0.5352
349275,SL0 0JQ,51.5166,-0.5309
349276,SL0 0JR,51.5176,-0.5321
349277,SL0 0JS,51.5178,-0.5316
349278,SL0 0JT,51.5184,-0.5322
349279,SL0 0JU,51.5183,-0.5291
349280,SL0 0JW,51.5148,-0.5352
349281,SL0 0JX,51.5188,-0.5302
349282,SL0 0JY,51.5187,-0.5298
349283,SL0 0JZ,51.5189,-0.5269
349284,SL0 0LA,51.5222,-0.5277
349285,SL0 0LB,51.5227,-0.5269
349286,SL0 0LD,51.5261,-0.5276
349287,SL0 0LE,51.5326,-0.5272
349288,SL0 0LF,51.5340,-0.5286
349289,SL0 0LG,51.5283,-0.5292
349290,SL0 0LH,51.5331,-0.5327
349291,SL0 0LJ,51.5332,-0.5312
349292,SL0 0LL,51.5338,-0.5302
349293,SL0 0LN,51.5353,-0.5316
349294,SL0 0LP,51.5349,-0.5305
349295,SL0 0LQ,51.5324,-0.5300
349296,SL0 0LR,51.5347,-0.5320
349297,SL0 0LS,51.5329,-0.5373
349298,SL0 0LT,51.5319,-0.5350
349299,SL0 0LU,51.5246,-0.5340
349300,SL0 0LW,51.5351,-0.5374
349301,SL0 0LX,51.5250,-0.5331
349302,SL0 0LZ,51.5189,-0.5287
349303,SL0 0NA,51.5477,-0.5309
349305,SL0 0ND,51.5366,-0.5302
349306,SL0 0NE,51.5414,-0.5332
349307,SL0 0NH,51.5475,-0.5347
349308,SL0 0NJ,51.5439,-0.5296
349309,SL0 0NL,51.5481,-0.5309
349310,SL0 0NP,51.5532,-0.5425
349311,SL0 0NQ,51.5488,-0.5321
349312,SL0 0NR,51.5527,-0.5424
349313,SL0 0NS,51.5546,-0.5415
349314,SL0 0NT,51.5565,-0.5429
349315,SL0 0NU,51.5562,-0.5389
349316,SL0 0NW,51.5473,-0.5309
349317,SL0 0NX,51.5543,-0.5394
349318,SL0 0NY,51.5549,-0.5307
349319,SL0 0PA,51.5517,-0.5186
349320,SL0 0PB,51.5527,-0.5231
349321,SL0 0PD,51.5514,-0.5156
349322,SL0 0PG,51.5515,-0.5082
349323,SL0 0PH,51.5485,-0.5101
349324,SL0 0PN,51.5436,-0.5201
349403,SL0 0PQ,51.5525,-0.5120
349404,SL0 0PT,51.5437,-0.5208
349405,SL0 0PU,51.5430,-0.5213
349406,SL0 0PW,51.5458,-0.5180
349407,SL0 0PY,51.5433,-0.5221
349408,SL0 0PZ,51.5429,-0.5238
349409,SL0 0QA,51.5424,-0.5220
349410,SL0 0QB,51.5437,-0.5248
349411,SL0 0QD,51.5440,-0.5243
349412,SL0 0QE,51.5446,-0.5238
349413,SL0 0QF,51.5450,-0.5236
349414,SL0 0QG,51.5465,-0.5260
349415,SL0 0QH,51.5479,-0.5281
