id,postcode,lat,lon
2134522,SN4 8AA,51.5410,-1.9024
2134523,SN4 8AB,51.5416,-1.9028
2134524,SN4 8AD,51.5412,-1.9005
2134525,SN4 8AE,51.5426,-1.9009
2134526,SN4 8AF,51.5423,-1.8983
2134527,SN4 8AG,51.5429,-1.8985
2134528,SN4 8AH,51.5434,-1.8955
2134529,SN4 8AJ,51.5424,-1.8961
2134530,SN4 8AL,51.5430,-1.8943
2134531,SN4 8AN,51.5434,-1.8946
2134532,SN4 8AP,51.5443,-1.8924
2134533,SN4 8AQ,51.5438,-1.8995
2134534,SN4 8AR,51.5436,-1.8904
2134535,SN4 8AS,51.5446,-1.8923
2134536,SN4 8AT,51.5450,-1.8941
2134537,SN4 8AU,51.5464,-1.8955
2134538,SN4 8AW,51.5445,-1.8945
2134539,SN4 8AX,51.5461,-1.8963
2134540,SN4 8AY,51.5445,-1.8955
2134541,SN4 8AZ,51.5441,-1.8982
2134542,SN4 8BA,51.5459,-1.8937
2134543,SN4 8BB,51.5417,-1.9034
2134544,SN4 8BD,51.5405,-1.8925
2134545,SN4 8BE,51.5418,-1.8971
2134546,SN4 8BF,51.5432,-1.8951
2134547,SN4 8BG,51.5520,-1.7225
2134548,SN4 8BH,51.5395,-1.8961
2134549,SN4 8BJ,51.5397,-1.8938
2134550,SN4 8BL,51.5381,-1.8940
2134551,SN4 8BN,51.5408,-1.8923
2134552,SN4 8BP,51.5397,-1.8965
2134553,SN4 8BQ,51.5384,-1.8987
2134554,SN4 8BS,51.5401,-1.8981
2134555,SN4 8BT,51.5411,-1.8972
2134556,SN4 8BU,51.5419,-1.8957
2134557,SN4 8BW,51.5403,-1.8950
2134558,SN4 8BX,51.5406,-1.8974
2134559,SN4 8BY,51.5406,-1.8962
2134560,SN4 8BZ,51.5410,-1.8964
2134561,SN4 8DA,51.5408,-1.8954
2134562,SN4 8DB,51.5418,-1.8950
2134563,SN4 8DD,51.5423,-1.8948
2134564,SN4 8DE,51.5415,-1.8935
2134565,SN4 8DF,51.5421,-1.8937
2134566,SN4 8DG,51.5424,-1.8944
2134567,SN4 8DH,51.5429,-1.8932
2134568,SN4 8DJ,51.5430,-1.8926
2134569,SN4 8DL,51.5431,-1.9012
2134570,SN4 8DN,51.5430,-1.8995
2134571,SN4 8DP,51.5500,-1.8940
2134572,SN4 8DQ,51.5420,-1.8929
2134573,SN4 8DR,51.5516,-1.8951
2134574,SN4 8DS,51.5573,-1.9019
2134575,SN4 8DT,51.5592,-1.9193
2134576,SN4 8DU,51.5611,-1.9309
2134577,SN4 8DW,51.5547,-1.9276
2134578,SN4 8DX,51.5612,-1.9154
2134579,SN4 8DY,51.5632,-1.9042
2134580,SN4 8DZ,51.5653,-1.8908
2134581,SN4 8EA,51.5613,-1.8890
2134582,SN4 8EB,51.5587,-1.8905
2134583,SN4 8ED,51.5616,-1.8884
2134584,SN4 8EE,51.5610,-1.8899
2134585,SN4 8EF,51.5616,-1.8780
2134586,SN4 8EG,51.5673,-1.8890
2134587,SN4 8EH,51.5735,-1.9006
2134588,SN4 8EJ,51.5578,-1.8899
2134589,SN4 8EL,51.5608,-1.8886
2134590,SN4 8EN,51.5402,-1.9021
2134591,SN4 8EP,51.5503,-1.8922
2134592,SN4 8EQ,51.5703,-1.8890
2134593,SN4 8ER,51.5543,-1.8912
2134594,SN4 8ES,51.5502,-1.8914
2134595,SN4 8ET,51.5450,-1.8618
2134596,SN4 8EU,51.5487,-1.8886
2134597,SN4 8EW,51.5503,-1.8947
2134598,SN4 8EX,51.5453,-1.8883
2134599,SN4 8EY,51.5448,-1.8918
2134600,SN4 8EZ,51.5453,-1.8936
2134601,SN4 8FA,51.5386,-1.8864
2134602,SN4 8FB,51.5405,-1.8895
