id,postcode,lat,lon
305725,SO43 7FP,50.8934,-1.5875
305726,SO43 7FQ,50.8965,-1.5872
305727,SO43 7FR,50.8976,-1.5920
305728,SO43 7FS,50.9005,-1.5993
305729,SO43 7FT,50.9018,-1.5973
305730,SO43 7FU,50.9032,-1.6037
305731,SO43 7FW,50.9048,-1.6053
305732,SO43 7FX,50.9016,-1.6042
305733,SO43 7FY,50.8964,-1.5959
305734,SO43 7FZ,50.8632,-1.5489
305735,SO43 7GA,50.8830,-1.6057
305736,SO43 7GB,50.8919,-1.6111
305737,SO43 7GD,50.8931,-1.6130
305738,SO43 7GE,50.8877,-1.6191
305739,SO43 7GF,50.8941,-1.6191
305740,SO43 7GG,50.8971,-1.6157
305741,SO43 7GH,50.8951,-1.6149
305742,SO43 7GJ,50.8961,-1.6069
305743,SO43 7GL,50.9012,-1.6133
305744,SO43 7GN,50.9060,-1.6253
305745,SO43 7GP,50.8995,-1.6279
305746,SO43 7GQ,50.8730,-1.6533
305747,SO43 7GR,50.8622,-1.6056
305748,SO43 7GS,50.8984,-1.6000
305749,SO43 7HA,50.9056,-1.6077
305750,SO43 7HB,50.9081,-1.6070
305751,SO43 7HD,50.9195,-1.6200
305752,SO43 7HE,50.9217,-1.6124
305753,SO43 7HF,50.9214,-1.6088
305754,SO43 7HG,50.9259,-1.6214
305755,SO43 7HH,50.9257,-1.6563
305756,SO43 7HJ,50.9253,-1.6674
305757,SO43 7HL,50.9240,-1.6711
305758,SO43 7HN,50.9113,-1.6085
305759,SO43 7JA,50.9226,-1.5985
305760,SO43 7JB,50.9312,-1.6165
305761,SO43 7JE,50.9413,-1.6175
305762,SO43 7JF,50.9466,-1.6204
305763,SO43 7JG,50.9388,-1.6218
305764,SO43 7JH,50.9380,-1.6018
305765,SO43 7JJ,50.9492,-1.5920
305766,SO43 7JL,50.9483,-1.6017
305767,SO43 7JN,50.9522,-1.6163
305768,SO43 7JP,50.8709,-1.5774
305769,SO43 7LA,50.9379,-1.6204
305770,SO43 7LB,50.9384,-1.6230
305771,SO43 7NF,50.8728,-1.5777
305772,SO43 7NG,50.8792,-1.5838
