id,postcode,lat,lon
301225,SP1 2EN,51.0640,-1.7997
301227,SP1 2EQ,51.0638,-1.7961
301228,SP1 2ER,51.0617,-1.7995
301229,SP1 2ES,51.0623,-1.7978
301230,SP1 2ET,51.0647,-1.7818
301231,SP1 2EW,51.0659,-1.7832
301232,SP1 2EX,51.0662,-1.7997
301233,SP1 2EY,51.0649,-1.8016
301234,SP1 2EZ,51.0650,-1.7999
301235,SP1 2FD,51.0650,-1.7896
301236,SP1 2HA,51.0641,-1.7931
301237,SP1 2HB,51.0651,-1.7930
301238,SP1 2HD,51.0646,-1.7924
301239,SP1 2HE,51.0649,-1.7919
301240,SP1 2HF,51.0644,-1.7909
301241,SP1 2HH,51.0635,-1.7925
301242,SP1 2HJ,51.0642,-1.7924
301243,SP1 2HL,51.0626,-1.7929
301244,SP1 2HN,51.0624,-1.7927
301245,SP1 2HP,51.0637,-1.7915
301246,SP1 2HR,51.0643,-1.7913
301247,SP1 2HS,51.0639,-1.7905
301248,SP1 2HU,51.0653,-1.7921
301249,SP1 2HW,51.0629,-1.7919
301250,SP1 2HX,51.0664,-1.7877
301251,SP1 2HY,51.0661,-1.7879
301252,SP1 2HZ,51.0666,-1.7875
301253,SP1 2JA,51.0669,-1.7880
301254,SP1 2JB,51.0662,-1.7874
301255,SP1 2JD,51.0662,-1.7869
301256,SP1 2JE,51.0659,-1.7873
301257,SP1 2JF,51.0667,-1.7867
301258,SP1 2JG,51.0656,-1.7818
301259,SP1 2JH,51.0653,-1.7838
301325,SP1 2JJ,51.0657,-1.7852
301326,SP1 2JL,51.0648,-1.7833
301327,SP1 2JN,51.0648,-1.7859
301328,SP1 2JP,51.0650,-1.7844
301329,SP1 2JR,51.0645,-1.7835
301330,SP1 2JS,51.0642,-1.7841
301331,SP1 2JU,51.0641,-1.7834
301332,SP1 2JW,51.0643,-1.7850
301333,SP1 2JX,51.0647,-1.7828
301334,SP1 2JZ,51.0643,-1.7825
301335,SP1 2LA,51.0641,-1.7772
301336,SP1 2LB,51.0631,-1.7799
301337,SP1 2LE,51.0627,-1.7811
301338,SP1 2LF,51.0632,-1.7922
301339,SP1 2LH,51.0677,-1.7917
301340,SP1 2LJ,51.0674,-1.7916
301341,SP1 2LN,51.0646,-1.7810
301342,SP1 2LP,51.0658,-1.7842
301343,SP1 2LU,51.0676,-1.7890
301344,SP1 2LW,51.0646,-1.7875
301345,SP1 2LX,51.0688,-1.7974
301347,SP1 2LZ,51.0688,-1.7978
301348,SP1 2NB,51.0647,-1.7800
301349,SP1 2ND,51.0685,-1.7981
301350,SP1 2NE,51.0687,-1.7968
301351,SP1 2NG,51.0684,-1.7967
301352,SP1 2NH,51.0683,-1.7971
301353,SP1 2NJ,51.0677,-1.7973
