id,postcode,lat,lon
260535,ST6 3AA,53.0454,-2.1972
260537,ST6 3AE,53.0451,-2.1976
260538,ST6 3AF,53.0426,-2.2006
260539,ST6 3AG,53.0452,-2.1982
260540,ST6 3AH,53.0448,-2.1988
260541,ST6 3AJ,53.0446,-2.1993
260542,ST6 3AP,53.0442,-2.1984
260543,ST6 3AQ,53.0449,-2.1983
260544,ST6 3AR,53.0443,-2.1981
260545,ST6 3AW,53.0443,-2.1987
260547,ST6 3AY,53.0445,-2.1996
260548,ST6 3AZ,53.0441,-2.1995
260550,ST6 3BB,53.0375,-2.2023
260551,ST6 3BF,53.0426,-2.1995
260552,ST6 3BG,53.0425,-2.1988
260553,ST6 3BH,53.0394,-2.2018
260554,ST6 3BJ,53.0423,-2.2016
260555,ST6 3BL,53.0417,-2.2011
260557,ST6 3BS,53.0413,-2.1959
260558,ST6 3BT,53.0414,-2.1964
260559,ST6 3BX,53.0417,-2.1965
260560,ST6 3DB,53.0406,-2.1933
260561,ST6 3DD,53.0399,-2.1926
260562,ST6 3DE,53.0404,-2.1934
260563,ST6 3DF,53.0401,-2.1939
260564,ST6 3DG,53.0394,-2.1926
260565,ST6 3DH,53.0398,-2.1939
260566,ST6 3DJ,53.0409,-2.1944
260567,ST6 3DL,53.0412,-2.1979
260568,ST6 3DQ,53.0388,-2.1920
260569,ST6 3DR,53.0446,-2.1963
260570,ST6 3DS,53.0459,-2.1974
260571,ST6 3DT,53.0406,-2.1984
260572,ST6 3DU,53.0407,-2.1960
260573,ST6 3DX,53.0410,-2.1953
260574,ST6 3DY,53.0413,-2.1945
260575,ST6 3EA,53.0453,-2.1966
260577,ST6 3EF,53.0450,-2.1974
260578,ST6 3EG,53.0447,-2.1981
260579,ST6 3EH,53.0445,-2.1980
260580,ST6 3EJ,53.0449,-2.1973
260581,ST6 3EL,53.0447,-2.1964
260582,ST6 3EN,53.0430,-2.1997
260625,ST6 3EP,53.0434,-2.2000
260626,ST6 3ER,53.0428,-2.2001
260627,ST6 3ES,53.0439,-2.1955
260628,ST6 3ET,53.0434,-2.2009
260629,ST6 3EU,53.0429,-2.1951
260630,ST6 3EW,53.0447,-2.1960
260631,ST6 3EX,53.0426,-2.1942
260632,ST6 3FA,53.0447,-2.1968
260633,ST6 3GA,53.0438,-2.2013
260634,ST6 3HB,53.0412,-2.1929
260635,ST6 3HF,53.0396,-2.1914
260636,ST6 3HJ,53.0379,-2.1907
260637,ST6 3HL,53.0373,-2.1895
260638,ST6 3HP,53.0362,-2.1881
260639,ST6 3HQ,53.0387,-2.1906
260640,ST6 3HR,53.0351,-2.1872
260642,ST6 3HX,53.0355,-2.1885
260643,ST6 3HY,53.0351,-2.1917
260644,ST6 3HZ,53.0354,-2.1917
260645,ST6 3JA,53.0354,-2.1905
260646,ST6 3JB,53.0360,-2.1921
260647,ST6 3JD,53.0363,-2.1913
260648,ST6 3JE,53.0371,-2.1908
260649,ST6 3JF,53.0367,-2.1925
260650,ST6 3JG,53.0364,-2.1941
260651,ST6 3JH,53.0370,-2.1945
260652,ST6 3JJ,53.0377,-2.1929
260653,ST6 3JL,53.0372,-2.1928
260654,ST6 3JN,53.0372,-2.1920
260655,ST6 3JR,53.0405,-2.1923
260656,ST6 3JS,53.0401,-2.1920
260657,ST6 3JW,53.0425,-2.1945
260658,ST6 3JY,53.0426,-2.1955
260659,ST6 3LE,53.0423,-2.2019
260660,ST6 3LG,53.0334,-2.1893
260661,ST6 3LJ,53.0430,-2.2025
260662,ST6 3LL,53.0346,-2.1891
260663,ST6 3LN,53.0423,-2.2035
260664,ST6 3LQ,53.0341,-2.1916
260665,ST6 3LR,53.0346,-2.1913
260668,ST6 3LW,53.0410,-2.2053
260670,ST6 3LY,53.0386,-2.2026
260671,ST6 3NB,53.0362,-2.2028
260672,ST6 3ND,53.0374,-2.2058
260673,ST6 3NF,53.0354,-2.2025
260674,ST6 3NH,53.0380,-2.2043
260675,ST6 3NJ,53.0372,-2.2042
260676,ST6 3NL,53.0374,-2.2052
260677,ST6 3NN,53.0377,-2.2061
260678,ST6 3NP,53.0399,-2.2051
260679,ST6 3NQ,53.0397,-2.2077
260680,ST6 3NR,53.0406,-2.2057
260681,ST6 3NS,53.0401,-2.2062
260682,ST6 3NT,53.0397,-2.2088
260683,ST6 3NW,53.0370,-2.2053
260684,ST6 3NX,53.0385,-2.2044
260685,ST6 3NY,53.0401,-2.2067
260686,ST6 3NZ,53.0365,-2.2045
260687,ST6 3PD,53.0405,-2.2073
260688,ST6 3PE,53.0402,-2.2095
260689,ST6 3PF,53.0407,-2.2089
260691,ST6 3PJ,53.0412,-2.2054
260692,ST6 3PL,53.0416,-2.2072
260693,ST6 3PN,53.0412,-2.2076
260694,ST6 3PP,53.0424,-2.2060
260695,ST6 3PQ,53.0410,-2.2075
260696,ST6 3PT,53.0391,-2.2053
260697,ST6 3PU,53.0387,-2.2050
260698,ST6 3PW,53.0420,-2.2074
260699,ST6 3PY,53.0431,-2.2057
260701,ST6 3QB,53.0440,-2.2010
260702,ST6 3QF,53.0440,-2.2018
260703,ST6 3QH,53.0434,-2.2056
260704,ST6 3QJ,53.0432,-2.2050
260705,ST6 3QN,53.0439,-2.2083
