id,postcode,lat,lon
230436,SY17 5AA,52.4861,-3.4262
230437,SY17 5AB,52.4919,-3.4262
230438,SY17 5AD,52.4905,-3.4278
230439,SY17 5AE,52.4911,-3.4289
230440,SY17 5AF,52.4930,-3.4054
230441,SY17 5AH,52.4805,-3.4212
230442,SY17 5AJ,52.5216,-3.4212
230443,SY17 5AP,52.4813,-3.4317
230444,SY17 5AQ,52.4975,-3.3925
230446,SY17 5AS,52.4768,-3.4354
230447,SY17 5AT,52.4729,-3.4402
230448,SY17 5AU,52.4755,-3.4438
230449,SY17 5AX,52.4623,-3.4504
230450,SY17 5AZ,52.4499,-3.4541
230451,SY17 5BA,52.4828,-3.4346
230452,SY17 5BB,52.4591,-3.4666
230453,SY17 5BE,52.4734,-3.4886
230454,SY17 5BG,52.4821,-3.4690
230455,SY17 5BH,52.4896,-3.4465
230456,SY17 5BL,52.4834,-3.4309
230457,SY17 5BQ,52.5012,-3.4627
230458,SY17 5BS,52.4838,-3.4350
230459,SY17 5BT,52.4837,-3.4324
230460,SY17 5BU,52.4834,-3.4339
230461,SY17 5BX,52.4831,-3.4351
230462,SY17 5BY,52.4853,-3.4353
230463,SY17 5BZ,52.4840,-3.4361
230464,SY17 5DA,52.4826,-3.4353
230465,SY17 5DB,52.4827,-3.4365
230466,SY17 5DD,52.4885,-3.4429
230467,SY17 5DE,52.4871,-3.4430
230468,SY17 5DF,52.4891,-3.4439
230469,SY17 5DG,52.4876,-3.4350
230470,SY17 5DH,52.4934,-3.4322
230471,SY17 5DJ,52.4969,-3.4276
230472,SY17 5DL,52.5013,-3.4265
230473,SY17 5DN,52.5010,-3.4333
230474,SY17 5DQ,52.4912,-3.4305
230475,SY17 5DR,52.4822,-3.4366
230476,SY17 5DS,52.5169,-3.4287
230477,SY17 5DT,52.5158,-3.4284
230478,SY17 5DU,52.5155,-3.4280
230479,SY17 5DW,52.4851,-3.4357
230480,SY17 5DX,52.5154,-3.4278
230481,SY17 5DY,52.5158,-3.4280
230482,SY17 5DZ,52.5159,-3.4273
230483,SY17 5EA,52.5159,-3.4273
230484,SY17 5ED,52.5166,-3.4265
230485,SY17 5EE,52.5166,-3.4265
230486,SY17 5EF,52.5168,-3.4301
230487,SY17 5EG,52.5168,-3.4302
230488,SY17 5EH,52.5178,-3.4270
230489,SY17 5EJ,52.5161,-3.4311
230490,SY17 5EL,52.5164,-3.4286
230525,SY17 5EN,52.5166,-3.4280
230526,SY17 5EP,52.5183,-3.4254
230527,SY17 5EQ,52.5160,-3.4305
230528,SY17 5ER,52.5174,-3.4264
230529,SY17 5ES,52.5180,-3.4257
230530,SY17 5ET,52.5189,-3.4240
230531,SY17 5EU,52.5176,-3.4286
230532,SY17 5EW,52.5171,-3.4269
230533,SY17 5EX,52.5173,-3.4291
230534,SY17 5EY,52.5175,-3.4288
230535,SY17 5EZ,52.5171,-3.4292
230536,SY17 5HA,52.5207,-3.4211
230537,SY17 5HB,52.5215,-3.4202
230538,SY17 5HD,52.5211,-3.4201
230539,SY17 5HE,52.5200,-3.4219
230540,SY17 5HF,52.5196,-3.4231
230541,SY17 5HG,52.5200,-3.4243
230542,SY17 5HH,52.5153,-3.4354
230543,SY17 5HL,52.5154,-3.4346
230544,SY17 5HN,52.5154,-3.4350
230545,SY17 5HP,52.5167,-3.4447
230546,SY17 5HQ,52.5188,-3.4261
230547,SY17 5HR,52.5151,-3.4526
230548,SY17 5HS,52.5164,-3.4610
230549,SY17 5HT,52.5177,-3.4491
230550,SY17 5HU,52.5193,-3.4256
230551,SY17 5HW,52.5097,-3.4416
230552,SY17 5HX,52.5195,-3.4257
230553,SY17 5HY,52.5188,-3.4285
230554,SY17 5JA,52.5193,-3.4363
230555,SY17 5JB,52.5258,-3.4493
230556,SY17 5JD,52.5296,-3.4520
230557,SY17 5JE,52.5336,-3.4590
230558,SY17 5JF,52.5323,-3.4473
230559,SY17 5JG,52.5335,-3.4421
230560,SY17 5JH,52.5242,-3.4217
230561,SY17 5JL,52.5342,-3.4406
230562,SY17 5JP,52.5521,-3.5401
230563,SY17 5JQ,52.5287,-3.4288
230564,SY17 5JR,52.5566,-3.5058
230565,SY17 5JS,52.5610,-3.5557
230566,SY17 5JT,52.5644,-3.5417
230567,SY17 5JU,52.5787,-3.5570
230568,SY17 5JX,52.5846,-3.5654
230569,SY17 5JY,52.5816,-3.5254
230570,SY17 5JZ,52.5624,-3.5390
230571,SY17 5LA,52.5343,-3.4418
230572,SY17 5LB,52.5555,-3.5296
230573,SY17 5LD,52.5557,-3.5294
230574,SY17 5LE,52.5608,-3.5380
230575,SY17 5LF,52.5614,-3.5380
230576,SY17 5LG,52.5644,-3.5390
230577,SY17 5LH,52.5568,-3.5342
230578,SY17 5LJ,52.5560,-3.5344
230579,SY17 5LL,52.5558,-3.5313
230580,SY17 5LN,52.5549,-3.5304
230581,SY17 5LP,52.5547,-3.5302
230582,SY17 5LR,52.5546,-3.5296
230583,SY17 5LS,52.5503,-3.5305
230584,SY17 5LT,52.5532,-3.5217
230585,SY17 5LU,52.5553,-3.5299
230586,SY17 5LW,52.5560,-3.5299
230587,SY17 5LX,52.5477,-3.5169
230588,SY17 5LY,52.5557,-3.5327
230589,SY17 5LZ,52.5552,-3.5313
230590,SY17 5NA,52.5162,-3.4303
230591,SY17 5NB,52.5557,-3.5333
230592,SY17 5ND,52.5463,-3.4636
230593,SY17 5NE,52.5566,-3.4544
230594,SY17 5NG,52.5551,-3.5332
230595,SY17 5NJ,52.5338,-3.4667
230596,SY17 5NL,52.5425,-3.4775
230597,SY17 5NN,52.5454,-3.4698
