id,postcode,lat,lon
205725,TD9 9DQ,55.4213,-2.7887
205726,TD9 9DR,55.4189,-2.7875
205727,TD9 9DT,55.4231,-2.7875
205728,TD9 9EA,55.4214,-2.7875
205729,TD9 9EE,55.4232,-2.7859
205730,TD9 9EF,55.4224,-2.7861
205731,TD9 9EG,55.4223,-2.7866
205732,TD9 9EH,55.4220,-2.7873
205733,TD9 9EN,55.4214,-2.7879
205734,TD9 9EP,55.4218,-2.7869
205735,TD9 9ER,55.4208,-2.7865
205736,TD9 9ET,55.4213,-2.7860
205737,TD9 9EU,55.4211,-2.7862
205738,TD9 9EW,55.4211,-2.7867
205739,TD9 9EX,55.4217,-2.7861
205740,TD9 9EZ,55.4205,-2.7862
205741,TD9 9HA,55.4228,-2.7838
205742,TD9 9HB,55.4221,-2.7853
205743,TD9 9HD,55.4226,-2.7851
205744,TD9 9HE,55.4232,-2.7859
205745,TD9 9HF,55.4215,-2.7869
205746,TD9 9HL,55.4255,-2.7836
205747,TD9 9HN,55.4247,-2.7834
205748,TD9 9HP,55.4244,-2.7839
205749,TD9 9HR,55.4238,-2.7852
205750,TD9 9HS,55.4239,-2.7852
205751,TD9 9HT,55.4234,-2.7844
205752,TD9 9HU,55.4233,-2.7850
205753,TD9 9HW,55.4247,-2.7841
205755,TD9 9HY,55.4233,-2.7837
205756,TD9 9HZ,55.4226,-2.7819
205757,TD9 9JA,55.4219,-2.7840
205758,TD9 9JD,55.4230,-2.7826
205759,TD9 9JE,55.4229,-2.7818
205760,TD9 9JF,55.4222,-2.7825
205761,TD9 9JG,55.4213,-2.7835
205762,TD9 9JH,55.4208,-2.7832
205763,TD9 9JJ,55.4206,-2.7829
205764,TD9 9JL,55.4214,-2.7820
205765,TD9 9JN,55.4210,-2.7820
205766,TD9 9JP,55.4223,-2.7819
205767,TD9 9JQ,55.4212,-2.7830
205768,TD9 9JR,55.4226,-2.7809
205769,TD9 9JS,55.4237,-2.7816
205770,TD9 9JT,55.4238,-2.7823
205771,TD9 9JU,55.4238,-2.7840
205772,TD9 9JW,55.4217,-2.7812
205773,TD9 9LE,55.4209,-2.7746
205774,TD9 9LF,55.4263,-2.7835
205775,TD9 9LG,55.4215,-2.7810
205776,TD9 9LH,55.4245,-2.7811
205777,TD9 9LJ,55.4238,-2.7808
205778,TD9 9LL,55.4236,-2.7801
205779,TD9 9LN,55.4245,-2.7797
205780,TD9 9LP,55.4247,-2.7787
205781,TD9 9LQ,55.4251,-2.7812
205782,TD9 9LR,55.4253,-2.7792
205783,TD9 9LS,55.4228,-2.7803
205784,TD9 9LT,55.4230,-2.7795
205785,TD9 9LU,55.4226,-2.7797
205786,TD9 9LW,55.4255,-2.7800
205787,TD9 9LX,55.4216,-2.7796
205788,TD9 9LY,55.4204,-2.7818
205789,TD9 9LZ,55.4207,-2.7788
205790,TD9 9NA,55.4191,-2.7814
205791,TD9 9NB,55.4190,-2.7833
205792,TD9 9ND,55.4198,-2.7820
205793,TD9 9NE,55.4202,-2.7819
205794,TD9 9NF,55.4258,-2.7726
205825,TD9 9NP,55.4261,-2.7809
205826,TD9 9NQ,55.4275,-2.7817
205827,TD9 9NR,55.4272,-2.7798
205828,TD9 9NS,55.4270,-2.7794
205829,TD9 9NT,55.4273,-2.7783
205830,TD9 9NU,55.4264,-2.7784
205831,TD9 9NW,55.4271,-2.7785
205832,TD9 9NX,55.4275,-2.7763
205833,TD9 9NY,55.4285,-2.7751
205834,TD9 9NZ,55.4271,-2.7736
205835,TD9 9PA,55.4272,-2.7715
205836,TD9 9PB,55.4278,-2.7710
205837,TD9 9PD,55.4264,-2.7703
205838,TD9 9PE,55.4262,-2.7699
205839,TD9 9PF,55.4281,-2.7698
205840,TD9 9PG,55.4287,-2.7688
205841,TD9 9PH,55.4290,-2.7698
205842,TD9 9PJ,55.4289,-2.7720
205843,TD9 9PL,55.4296,-2.7725
205844,TD9 9PN,55.4291,-2.7723
205845,TD9 9PP,55.4263,-2.7722
205846,TD9 9PQ,55.4283,-2.7726
205847,TD9 9PS,55.4304,-2.7691
205848,TD9 9PW,55.4249,-2.7823
205849,TD9 9PX,55.4271,-2.7842
205850,TD9 9PY,55.4279,-2.7821
205851,TD9 9PZ,55.4274,-2.7802
205852,TD9 9QA,55.4280,-2.7802
205853,TD9 9QB,55.4284,-2.7797
205854,TD9 9QD,55.4287,-2.7783
205855,TD9 9QE,55.4289,-2.7766
205856,TD9 9QF,55.4286,-2.7786
205857,TD9 9QG,55.4280,-2.7787
205859,TD9 9QJ,55.4261,-2.7861
205860,TD9 9QL,55.4267,-2.7862
205861,TD9 9QP,55.4268,-2.7850
205862,TD9 9QQ,55.4278,-2.7797
205863,TD9 9QR,55.4268,-2.7848
205864,TD9 9QS,55.4268,-2.7846
205865,TD9 9QT,55.4272,-2.7849
205866,TD9 9QU,55.4270,-2.7855
205867,TD9 9QW,55.4261,-2.7845
205868,TD9 9QX,55.4272,-2.7856
205869,TD9 9RA,55.4286,-2.7666
205870,TD9 9RB,55.4239,-2.7866
205871,TD9 9RD,55.4256,-2.7853
205872,TD9 9RE,55.4247,-2.7863
205873,TD9 9RH,55.4251,-2.7843
205874,TD9 9RL,55.4310,-2.7646
205875,TD9 9RN,55.4302,-2.7658
205876,TD9 9RP,55.4306,-2.7640
205877,TD9 9RQ,55.4244,-2.7862
205878,TD9 9RR,55.4301,-2.7637
205879,TD9 9RS,55.4296,-2.7656
205880,TD9 9RT,55.4307,-2.7624
205881,TD9 9RW,55.4308,-2.7640
205882,TD9 9RX,55.4310,-2.7635
205883,TD9 9RY,55.4296,-2.7674
205884,TD9 9RZ,55.3793,-2.6580
205885,TD9 9SA,55.3852,-2.6751
205886,TD9 9SB,55.3795,-2.6887
205887,TD9 9SD,55.3920,-2.6838
205888,TD9 9SE,55.3772,-2.7377
205889,TD9 9SF,55.3715,-2.7745
205890,TD9 9SG,55.3790,-2.7830
205891,TD9 9SL,55.4120,-2.7833
205892,TD9 9SN,55.4120,-2.7856
205893,TD9 9SP,55.4060,-2.7794
205894,TD9 9SQ,55.3770,-2.8007
205895,TD9 9SR,55.4178,-2.7552
205896,TD9 9SS,55.4166,-2.7447
205897,TD9 9ST,55.4260,-2.7540
205898,TD9 9SU,55.4246,-2.7670
205899,TD9 9SW,55.4111,-2.7786
205900,TD9 9SX,55.3836,-2.6430
205901,TD9 9SY,55.3796,-2.6383
205902,TD9 9SZ,55.3755,-2.6495
205903,TD9 9TB,55.3455,-2.6491
205904,TD9 9TD,55.3829,-2.6513
205905,TD9 9TE,55.3818,-2.6512
205906,TD9 9TF,55.3742,-2.6514
205907,TD9 9TG,55.3674,-2.6604
205908,TD9 9TH,55.3778,-2.6627
205909,TD9 9TJ,55.3724,-2.6682
205910,TD9 9TL,55.3670,-2.6874
205911,TD9 9TN,55.3669,-2.6911
205912,TD9 9TP,55.3649,-2.6508
205913,TD9 9TQ,55.3673,-2.6864
205914,TD9 9TW,55.3535,-2.7076
205915,TD9 9TY,55.2962,-2.7452
205916,TD9 9TZ,55.3286,-2.7361
205917,TD9 9UA,55.3426,-2.7629
205918,TD9 9UB,55.3509,-2.7513
205919,TD9 9UD,55.3595,-2.7515
205920,TD9 9UG,55.4026,-2.7824
205921,TD9 9UQ,55.3886,-2.7797
206123,TD9 9BD,55.4256,-2.7840
206124,TD9 9BG,55.4248,-2.7849
206209,TD9 9BJ,55.4250,-2.7853
206210,TD9 9BL,55.4242,-2.7855
206211,TD9 9BP,55.4236,-2.7862
206212,TD9 9BQ,55.4251,-2.7857
206213,TD9 9BT,55.4232,-2.7868
206214,TD9 9BU,55.4227,-2.7870
206215,TD9 9BW,55.4242,-2.7860
206216,TD9 9BX,55.4219,-2.7909
206217,TD9 9BY,55.4219,-2.7909
206218,TD9 9BZ,55.4221,-2.7879
206219,TD9 9DD,55.4219,-2.7882
206220,TD9 9DE,55.4220,-2.7880
206221,TD9 9DG,55.4217,-2.7885
206222,TD9 9DH,55.4221,-2.7879
206223,TD9 9DL,55.4190,-2.7885
206224,TD9 9DN,55.4238,-2.7870
1760937,TD9 9EB,55.4213,-2.7854
