id,postcode,lat,lon
202025,TF2 9UN,52.7013,-2.4309
202026,TF2 9UP,52.7009,-2.4302
202027,TF2 9UQ,52.7015,-2.4293
202028,TF2 9UR,52.6889,-2.4117
202029,TF2 9US,52.6897,-2.4117
202030,TF2 9UT,52.6901,-2.4109
202031,TF2 9UU,52.6914,-2.4098
202032,TF2 9UW,52.6893,-2.4099
202033,TF2 9UX,52.6890,-2.4105
202034,TF2 9UY,52.6989,-2.4350
202035,TF2 9UZ,52.6981,-2.4356
202036,TF2 9XH,52.6937,-2.4482
202037,TF2 9YE,52.6891,-2.4132
202225,TF2 9GF,52.6914,-2.4299
202226,TF2 9GG,52.6921,-2.4282
202227,TF2 9GH,52.6920,-2.4270
202228,TF2 9GJ,52.6941,-2.4174
202229,TF2 9GL,52.6942,-2.4156
202230,TF2 9GN,52.6913,-2.4155
202231,TF2 9GP,52.6915,-2.4163
202232,TF2 9GR,52.6942,-2.4360
202233,TF2 9GS,52.6883,-2.4386
202234,TF2 9GT,52.6973,-2.4349
202235,TF2 9GU,52.6939,-2.4195
202236,TF2 9GW,52.6943,-2.4185
202237,TF2 9GX,52.6946,-2.4196
202238,TF2 9GY,52.6933,-2.4199
202239,TF2 9GZ,52.6926,-2.4146
202240,TF2 9HA,52.6898,-2.4410
202241,TF2 9HB,52.6871,-2.4361
202242,TF2 9HD,52.6865,-2.4354
202243,TF2 9HE,52.6858,-2.4350
202244,TF2 9HF,52.6871,-2.4380
202245,TF2 9HG,52.6875,-2.4382
202246,TF2 9HH,52.6889,-2.4403
202247,TF2 9HJ,52.6880,-2.4396
202248,TF2 9HL,52.6884,-2.4407
202249,TF2 9HN,52.6908,-2.4387
202250,TF2 9HP,52.6952,-2.4394
202251,TF2 9HQ,52.6878,-2.4405
202252,TF2 9HR,52.6938,-2.4396
202253,TF2 9HS,52.6951,-2.4419
202254,TF2 9HT,52.6939,-2.4462
202255,TF2 9HU,52.6948,-2.4401
202256,TF2 9HW,52.6981,-2.4383
202257,TF2 9HX,52.6949,-2.4390
202258,TF2 9HY,52.6948,-2.4382
202259,TF2 9HZ,52.6939,-2.4410
202260,TF2 9JA,52.6938,-2.4385
202261,TF2 9JB,52.6935,-2.4420
