id,postcode,lat,lon
133725,TW14 9BT,51.4485,-0.4115
133726,TW14 9BU,51.4482,-0.4141
133727,TW14 9BW,51.4494,-0.4139
133728,TW14 9BY,51.4490,-0.4135
133729,TW14 9DD,51.4506,-0.4066
133730,TW14 9DE,51.4495,-0.4080
133731,TW14 9DF,51.4505,-0.4072
133732,TW14 9DG,51.4508,-0.4064
133733,TW14 9DH,51.4502,-0.4048
133734,TW14 9DJ,51.4500,-0.4059
133735,TW14 9DL,51.4509,-0.4057
133736,TW14 9DN,51.4516,-0.4069
133737,TW14 9EA,51.4567,-0.4128
133738,TW14 9EB,51.4561,-0.4160
133739,TW14 9ED,51.4572,-0.4124
133740,TW14 9EE,51.4568,-0.4165
133741,TW14 9EF,51.4566,-0.4166
133742,TW14 9EG,51.4571,-0.4146
133743,TW14 9EH,51.4575,-0.4112
133744,TW14 9EQ,51.4572,-0.4140
133745,TW14 9HA,51.4542,-0.4248
133746,TW14 9HD,51.4547,-0.4254
133747,TW14 9HE,51.4549,-0.4242
133748,TW14 9HF,51.4554,-0.4197
133749,TW14 9HG,51.4560,-0.4197
133750,TW14 9HH,51.4563,-0.4202
133751,TW14 9HJ,51.4567,-0.4199
133752,TW14 9HL,51.4565,-0.4185
133753,TW14 9HN,51.4553,-0.4182
133754,TW14 9HQ,51.4562,-0.4214
133755,TW14 9HR,51.4558,-0.4201
133756,TW14 9HS,51.4545,-0.4237
133757,TW14 9HT,51.4553,-0.4175
133758,TW14 9HU,51.4542,-0.4161
133759,TW14 9HX,51.4542,-0.4154
133760,TW14 9HY,51.4548,-0.4183
133761,TW14 9HZ,51.4547,-0.4176
133762,TW14 9JE,51.4542,-0.4209
133763,TW14 9JF,51.4539,-0.4211
133764,TW14 9LA,51.4529,-0.4090
133765,TW14 9LB,51.4526,-0.4096
133766,TW14 9LD,51.4537,-0.4088
133767,TW14 9LE,51.4550,-0.4095
133768,TW14 9LF,51.4548,-0.4098
133769,TW14 9LG,51.4557,-0.4107
133770,TW14 9LH,51.4552,-0.4123
133771,TW14 9LJ,51.4542,-0.4108
133772,TW14 9LL,51.4544,-0.4105
133773,TW14 9LN,51.4532,-0.4113
133774,TW14 9LP,51.4538,-0.4115
133775,TW14 9LQ,51.4557,-0.4115
133776,TW14 9LR,51.4557,-0.4130
133777,TW14 9LS,51.4562,-0.4140
133778,TW14 9LW,51.4550,-0.4130
133779,TW14 9LX,51.4558,-0.4155
133780,TW14 9LY,51.4552,-0.4150
133781,TW14 9LZ,51.4566,-0.4119
133782,TW14 9NA,51.4563,-0.4116
133783,TW14 9NB,51.4489,-0.4151
133825,TW14 9ND,51.4483,-0.4153
133826,TW14 9NE,51.4477,-0.4148
133827,TW14 9NF,51.4471,-0.4166
133828,TW14 9NG,51.4472,-0.4156
133829,TW14 9NH,51.4497,-0.4180
133830,TW14 9NJ,51.4498,-0.4164
133831,TW14 9NL,51.4502,-0.4170
133832,TW14 9NN,51.4488,-0.4162
133833,TW14 9NP,51.4505,-0.4213
133834,TW14 9NQ,51.4503,-0.4211
133835,TW14 9NR,51.4522,-0.4186
133836,TW14 9NS,51.4531,-0.4184
133837,TW14 9NT,51.4515,-0.4197
133838,TW14 9NU,51.4514,-0.4221
133839,TW14 9NW,51.4502,-0.4193
133840,TW14 9NX,51.4526,-0.4195
133841,TW14 9NY,51.4503,-0.4223
133843,TW14 9PD,51.4528,-0.4198
133844,TW14 9PE,51.4529,-0.4209
133845,TW14 9PF,51.4492,-0.4238
133846,TW14 9PG,51.4498,-0.4233
133847,TW14 9PH,51.4507,-0.4231
133848,TW14 9PP,51.4582,-0.4349
133849,TW14 9PQ,51.4486,-0.4238
133850,TW14 9PR,51.4581,-0.4336
133851,TW14 9PT,51.4566,-0.4343
133852,TW14 9PW,51.4586,-0.4359
133853,TW14 9PX,51.4577,-0.4318
133854,TW14 9PY,51.4579,-0.4333
133855,TW14 9PZ,51.4575,-0.4330
133856,TW14 9QA,51.4461,-0.4233
133857,TW14 9QB,51.4463,-0.4230
133858,TW14 9QD,51.4504,-0.4178
133859,TW14 9QE,51.4507,-0.4171
133860,TW14 9QF,51.4465,-0.4253
133861,TW14 9QG,51.4468,-0.4240
133862,TW14 9QH,51.4470,-0.4239
133863,TW14 9QJ,51.4474,-0.4246
133864,TW14 9QL,51.4468,-0.4228
133865,TW14 9QN,51.4481,-0.4247
133866,TW14 9QP,51.4651,-0.4233
133867,TW14 9QQ,51.4462,-0.4242
133868,TW14 9QS,51.4624,-0.4271
133869,TW14 9QT,51.4626,-0.4259
133870,TW14 9QU,51.4634,-0.4268
133871,TW14 9QW,51.4475,-0.4236
133872,TW14 9QX,51.4623,-0.4286
133873,TW14 9QY,51.4594,-0.4315
133874,TW14 9QZ,51.4591,-0.4313
133876,TW14 9RD,51.4601,-0.4348
133877,TW14 9RE,51.4600,-0.4342
133878,TW14 9RF,51.4596,-0.4323
133879,TW14 9RG,51.4606,-0.4323
133880,TW14 9RH,51.4608,-0.4317
133881,TW14 9RJ,51.4514,-0.4237
133882,TW14 9RL,51.4616,-0.4333
133883,TW14 9RN,51.4472,-0.4237
133884,TW14 9RP,51.4488,-0.4247
133885,TW14 9RQ,51.4601,-0.4330
133886,TW14 9RR,51.4499,-0.4246
133887,TW14 9RS,51.4510,-0.4244
133888,TW14 9RY,51.4531,-0.4222
133889,TW14 9RZ,51.4531,-0.4229
133890,TW14 9SA,51.4531,-0.4254
133891,TW14 9SB,51.4528,-0.4258
133892,TW14 9SD,51.4533,-0.4268
133894,TW14 9SG,51.4554,-0.4274
133895,TW14 9SH,51.4562,-0.4241
133896,TW14 9SJ,51.4559,-0.4243
133897,TW14 9SL,51.4565,-0.4224
133898,TW14 9SN,51.4565,-0.4253
133899,TW14 9SP,51.4560,-0.4313
133900,TW14 9SQ,51.4556,-0.4267
133901,TW14 9SR,51.4565,-0.4289
133902,TW14 9SS,51.4562,-0.4321
133903,TW14 9ST,51.4567,-0.4328
133904,TW14 9SW,51.4562,-0.4292
133905,TW14 9SY,51.4551,-0.4292
133906,TW14 9SZ,51.4555,-0.4295
133907,TW14 9TF,51.4558,-0.4285
133908,TW14 9TG,51.4557,-0.4239
133909,TW14 9TH,51.4552,-0.4256
133910,TW14 9TQ,51.4554,-0.4235
133912,TW14 9XA,51.4476,-0.4194
133913,TW14 9XB,51.4474,-0.4190
133914,TW14 9XD,51.4484,-0.4178
133915,TW14 9XE,51.4492,-0.4194
133916,TW14 9XF,51.4491,-0.4187
133917,TW14 9XG,51.4484,-0.4193
133918,TW14 9XH,51.4480,-0.4195
133919,TW14 9XJ,51.4480,-0.4204
133920,TW14 9XL,51.4472,-0.4215
133921,TW14 9XN,51.4471,-0.4219
133922,TW14 9XP,51.4463,-0.4206
133923,TW14 9XQ,51.4464,-0.4190
133924,TW14 9XR,51.4470,-0.4185
133930,TW14 0XJ,51.4605,-0.4063
133931,TW14 0XN,51.4396,-0.4085
133932,TW14 0XQ,51.4597,-0.4082
133940,TW14 8AA,51.4522,-0.4273
133941,TW14 8AB,51.4528,-0.4278
133942,TW14 8AD,51.4525,-0.4288
133943,TW14 8AE,51.4517,-0.4271
133944,TW14 8AF,51.4523,-0.4294
133945,TW14 8AG,51.4517,-0.4293
133946,TW14 8AH,51.4507,-0.4317
133947,TW14 8AJ,51.4509,-0.4295
133948,TW14 8AL,51.4501,-0.4299
133949,TW14 8AN,51.4495,-0.4278
133950,TW14 8AP,51.4487,-0.4270
133951,TW14 8AQ,51.4504,-0.4305
133952,TW14 8AR,51.4482,-0.4268
133953,TW14 8AS,51.4477,-0.4264
133954,TW14 8AT,51.4479,-0.4257
133955,TW14 8AU,51.4509,-0.4253
133956,TW14 8AW,51.4489,-0.4282
133957,TW14 8AX,51.4518,-0.4253
133958,TW14 8AY,51.4522,-0.4255
133959,TW14 8AZ,51.4516,-0.4265
133960,TW14 8BA,51.4475,-0.4280
133961,TW14 8BB,51.4510,-0.4260
133962,TW14 8BD,51.4472,-0.4286
133963,TW14 8BE,51.4475,-0.4289
133964,TW14 8BF,51.4473,-0.4429
133965,TW14 8BH,51.4473,-0.4429
133966,TW14 8BJ,51.4479,-0.4428
133967,TW14 8BL,51.4536,-0.4278
133968,TW14 8BN,51.4534,-0.4288
133969,TW14 8BP,51.4524,-0.4309
133970,TW14 8BS,51.4532,-0.4315
133971,TW14 8BT,51.4535,-0.4301
133973,TW14 8BW,51.4535,-0.4285
133974,TW14 8BY,51.4481,-0.4432
133975,TW14 8DA,51.4541,-0.4275
133976,TW14 8DB,51.4521,-0.4342
133977,TW14 8DD,51.4521,-0.4314
133978,TW14 8DE,51.4515,-0.4336
133979,TW14 8DF,51.4524,-0.4356
133980,TW14 8DG,51.4535,-0.4349
133981,TW14 8DH,51.4529,-0.4336
133982,TW14 8DJ,51.4544,-0.4334
133983,TW14 8DL,51.4552,-0.4343
133984,TW14 8DN,51.4551,-0.4337
133985,TW14 8DQ,51.4539,-0.4347
133986,TW14 8DR,51.4536,-0.4320
133987,TW14 8DT,51.4538,-0.4327
133988,TW14 8DU,51.4494,-0.4420
133989,TW14 8DX,51.4492,-0.4435
133990,TW14 8DY,51.4489,-0.4427
133991,TW14 9XS,51.4474,-0.4185
133992,TW14 9XT,51.4467,-0.4179
133993,TW14 9XU,51.4459,-0.4220
134025,TW14 8DZ,51.4486,-0.4423
134028,TW14 8ED,51.4538,-0.4338
134029,TW14 8EE,51.4440,-0.4367
134030,TW14 8EG,51.4490,-0.4408
