id,postcode,lat,lon
2437064,UB8 9AA,51.5373,-0.4874
2437065,UB8 9AB,51.5373,-0.4873
2437066,UB8 9AD,51.5373,-0.4873
2437067,UB8 9AE,51.5373,-0.4873
2437068,UB8 9AF,51.5373,-0.4873
2437069,UB8 9AG,51.5373,-0.4873
2437070,UB8 9AH,51.5373,-0.4873
2437071,UB8 9AJ,51.5373,-0.4873
2437072,UB8 9AL,51.5373,-0.4873
2437073,UB8 9AN,51.5373,-0.4873
2437074,UB8 9AP,51.5373,-0.4873
2437075,UB8 9AQ,51.5373,-0.4873
2437076,UB8 9AR,51.5373,-0.4873
2437077,UB8 9AS,51.5373,-0.4873
2437078,UB8 9AT,51.5373,-0.4873
2437079,UB8 9AU,51.5373,-0.4873
2437080,UB8 9AW,51.5373,-0.4873
2437081,UB8 9AX,51.5373,-0.4873
2437082,UB8 9AY,51.5373,-0.4873
2437083,UB8 9AZ,51.5373,-0.4873
2437084,UB8 9BA,51.5373,-0.4873
2437085,UB8 9BB,51.5373,-0.4873
2437086,UB8 9BD,51.5373,-0.4873
2437087,UB8 9BE,51.5373,-0.4873
2437088,UB8 9BF,51.5373,-0.4873
2437089,UB8 9BG,51.5373,-0.4873
2437090,UB8 9BH,51.5373,-0.4874
2437091,UB8 9BJ,51.5373,-0.4873
2437092,UB8 9BL,51.5373,-0.4873
2437093,UB8 9BN,51.5373,-0.4873
2437094,UB8 9BP,51.5373,-0.4873
2437095,UB8 9BQ,51.5373,-0.4873
2437096,UB8 9BR,51.5373,-0.4874
2437097,UB8 9BS,51.5373,-0.4873
2437098,UB8 9BT,51.5373,-0.4873
2437099,UB8 9BU,51.5373,-0.4873
2437100,UB8 9BW,51.5373,-0.4873
2437101,UB8 9BX,51.5373,-0.4873
2437102,UB8 9BY,51.5373,-0.4873
2437103,UB8 9BZ,51.5373,-0.4873
2437104,UB8 9DA,51.5373,-0.4873
2437105,UB8 9DB,51.5373,-0.4873
2437106,UB8 9DD,51.5373,-0.4873
2437107,UB8 9DE,51.5373,-0.4873
2437108,UB8 9DF,51.5373,-0.4873
2437109,UB8 9DG,51.5373,-0.4873
2437110,UB8 9DH,51.5373,-0.4873
2437111,UB8 9DJ,51.5373,-0.4873
2437112,UB8 9DL,51.5373,-0.4873
2437113,UB8 9DN,51.5373,-0.4873
2437114,UB8 9DP,51.5373,-0.4874
2437115,UB8 9DQ,51.5373,-0.4874
2437116,UB8 9DR,51.5373,-0.4873
2437117,UB8 9DS,51.5373,-0.4873
2437118,UB8 9DT,51.5373,-0.4873
2437119,UB8 9DU,51.5373,-0.4873
2437120,UB8 9DW,51.5373,-0.4873
2437121,UB8 9DX,51.5373,-0.4873
2437122,UB8 9DY,51.5373,-0.4873
2437123,UB8 9DZ,51.5373,-0.4873
2437124,UB8 9EA,51.5373,-0.4873
2437125,UB8 9EB,51.5373,-0.4873
2437126,UB8 9ED,51.5373,-0.4873
2437127,UB8 9EE,51.5373,-0.4873
2437128,UB8 9EF,51.5373,-0.4873
2437129,UB8 9EG,51.5373,-0.4873
2437130,UB8 9EH,51.5373,-0.4873
2437131,UB8 9EJ,51.5373,-0.4873
2437132,UB8 9EL,51.5373,-0.4873
2437133,UB8 9EN,51.5373,-0.4873
2437134,UB8 9EP,51.5373,-0.4873
2437135,UB8 9EQ,51.5373,-0.4873
2437136,UB8 9ER,51.5373,-0.4873
2437137,UB8 9ES,51.5373,-0.4873
2437138,UB8 9ET,51.5373,-0.4873
2437139,UB8 9EU,51.5373,-0.4873
2437140,UB8 9EW,51.5373,-0.4873
2437141,UB8 9EX,51.5373,-0.4873
2437142,UB8 9EY,51.5373,-0.4873
2437143,UB8 9EZ,51.5373,-0.4873
2437144,UB8 9FA,51.5373,-0.4873
2437145,UB8 9FB,51.5373,-0.4873
2437146,UB8 9FD,51.5373,-0.4873
2437147,UB8 9FE,51.5373,-0.4873
2437148,UB8 9FF,51.5373,-0.4873
2437149,UB8 9FG,51.5373,-0.4873
2437150,UB8 9FH,51.5373,-0.4874
2437151,UB8 9FJ,51.5373,-0.4873
2437152,UB8 9FL,51.5373,-0.4873
2437153,UB8 9FN,51.5373,-0.4874
2437154,UB8 9FP,51.5373,-0.4874
2437155,UB8 9FQ,51.5373,-0.4873
2437156,UB8 9FR,51.5373,-0.4873
2437157,UB8 9FS,51.5373,-0.4873
2437158,UB8 9FT,51.5373,-0.4873
2437159,UB8 9FU,51.5373,-0.4873
2437160,UB8 9FW,51.5373,-0.4874
2437161,UB8 9FX,51.5373,-0.4873
2437162,UB8 9FY,51.5373,-0.4873
2437163,UB8 9FZ,51.5373,-0.4873
2437164,UB8 9GA,51.5373,-0.4873
2437165,UB8 9GB,51.5373,-0.4873
2437166,UB8 9GD,51.5373,-0.4873
2437167,UB8 9GE,51.5373,-0.4874
2437168,UB8 9GF,51.5373,-0.4874
2437169,UB8 9GG,51.5373,-0.4874
