id,postcode,lat,lon
2461381,W1V 2AA,51.5131,-0.1366
2461382,W1V 2AB,51.5131,-0.1366
2461383,W1V 2AD,51.5133,-0.1402
2461384,W1V 2AE,51.5131,-0.1366
2461385,W1V 2AH,51.5141,-0.1395
2461386,W1V 2AJ,51.5134,-0.1377
2461387,W1V 2AL,51.5132,-0.1395
2461388,W1V 2AN,51.5131,-0.1366
2461389,W1V 2AP,51.5141,-0.1424
2461390,W1V 2AQ,51.5131,-0.1381
2461391,W1V 2AR,51.5149,-0.1376
2461392,W1V 2AS,51.5141,-0.1395
2461393,W1V 2AT,51.5148,-0.1406
2461394,W1V 2AU,51.5141,-0.1409
2461395,W1V 2AX,51.5141,-0.1409
2461396,W1V 2AY,51.5145,-0.1376
2461397,W1V 2BA,51.5146,-0.1372
2461398,W1V 2BB,51.5141,-0.1395
2461399,W1V 2BD,51.5140,-0.1380
2461400,W1V 2BE,51.5142,-0.1387
2461401,W1V 2BG,51.5146,-0.1372
2461402,W1V 2BH,51.5132,-0.1395
2461403,W1V 2BN,51.5143,-0.1383
2461404,W1V 2BP,51.5131,-0.1380
2461405,W1V 2BQ,51.5141,-0.1409
2461406,W1V 2BR,51.5141,-0.1395
2461407,W1V 2BS,51.5140,-0.1393
2461408,W1V 2BT,51.5132,-0.1395
2461409,W1V 2DB,51.5141,-0.1409
2461410,W1V 2DD,51.5140,-0.1380
2461411,W1V 2DE,51.5123,-0.1395
2461412,W1V 2DH,51.5141,-0.1409
2461413,W1V 2DJ,51.5131,-0.1366
2461414,W1V 2DN,51.5141,-0.1383
2461415,W1V 2DP,51.5140,-0.1380
2461416,W1V 2DQ,51.5141,-0.1409
2461417,W1V 2DR,51.5140,-0.1380
2461418,W1V 2DS,51.5141,-0.1409
2461419,W1V 2DU,51.5141,-0.1424
2461420,W1V 2DX,51.5141,-0.1395
2461421,W1V 2DY,51.5140,-0.1380
2461422,W1V 2EA,51.5140,-0.1380
2461423,W1V 2EE,51.5140,-0.1380
2461424,W1V 2EH,51.5140,-0.1380
2461425,W1V 2EJ,51.5141,-0.1395
2461426,W1V 2EL,51.5149,-0.1388
2461427,W1V 2EQ,51.5141,-0.1395
2461428,W1V 2ER,51.5131,-0.1366
2461429,W1V 2ES,51.5131,-0.1381
2461430,W1V 2EU,51.5141,-0.1409
2461431,W1V 2HA,51.5148,-0.1406
2461432,W1V 2HD,51.5141,-0.1409
2461433,W1V 2HE,51.5132,-0.1409
2461434,W1V 2HH,51.5141,-0.1395
2461435,W1V 2HL,51.5150,-0.1394
2461436,W1V 2HN,51.5141,-0.1395
2461437,W1V 2HP,51.5123,-0.1395
2461438,W1V 2HQ,51.5148,-0.1413
2461439,W1V 2HR,51.5141,-0.1409
2461440,W1V 2HU,51.5141,-0.1395
2461441,W1V 2JA,51.5140,-0.1393
2461442,W1V 2JH,51.5132,-0.1395
2461443,W1V 2JL,51.5140,-0.1380
2461444,W1V 2JP,51.5141,-0.1395
2461445,W1V 2JU,51.5132,-0.1409
2461446,W1V 2LB,51.5148,-0.1413
2461447,W1V 2LD,51.5143,-0.1402
2461448,W1V 2LE,51.5143,-0.1402
2461449,W1V 2LH,51.5145,-0.1403
2461450,W1V 2LJ,51.5141,-0.1409
2461451,W1V 2LL,51.5141,-0.1409
2461452,W1V 2LN,51.5141,-0.1424
2461453,W1V 2LP,51.5147,-0.1383
2461454,W1V 2LQ,51.5131,-0.1366
2461455,W1V 2LS,51.5141,-0.1409
2461456,W1V 2LT,51.5131,-0.1391
2461457,W1V 2LX,51.5141,-0.1409
2461458,W1V 2NB,51.5140,-0.1380
2461459,W1V 2ND,51.5141,-0.1395
2461460,W1V 2NE,51.5131,-0.1366
2461461,W1V 2NN,51.5140,-0.1380
2461462,W1V 2NP,51.5123,-0.1395
2461463,W1V 2NR,51.5140,-0.1380
2461464,W1V 2NS,51.5140,-0.1380
2461465,W1V 2NX,51.5141,-0.1395
2461466,W1V 2PA,51.5122,-0.1381
2461467,W1V 2PB,51.5140,-0.1380
