id,postcode,lat,lon
2465470,W2 3RA,51.5145,-0.1757
2465471,W2 3RB,51.5137,-0.1755
2465472,W2 3RD,51.5131,-0.1813
2465473,W2 3RE,51.5143,-0.1760
2465474,W2 3RF,51.5149,-0.1763
2465475,W2 3RG,51.5154,-0.1780
2465476,W2 3RH,51.5129,-0.1828
2465477,W2 3RJ,51.5121,-0.1885
2465478,W2 3RL,51.5126,-0.1873
2465479,W2 3RN,51.5121,-0.1885
2465480,W2 3RP,51.5130,-0.1885
2465481,W2 3RQ,51.5137,-0.1770
2465482,W2 3RR,51.5132,-0.1875
2465483,W2 3RS,51.5116,-0.1870
2465484,W2 3RT,51.5103,-0.1872
2465485,W2 3RU,51.5103,-0.1872
2465486,W2 3RW,51.5123,-0.1873
2465487,W2 3RX,51.5111,-0.1870
2465488,W2 3RY,51.5120,-0.1873
