id,postcode,lat,lon
2466621,W2 6YA,51.5164,-0.1753
2466622,W2 6YB,51.5164,-0.1753
2466623,W2 6YD,51.5164,-0.1753
2466624,W2 6YE,51.5164,-0.1753
2466625,W2 6YF,51.5164,-0.1753
2466626,W2 6YG,51.5164,-0.1753
2466627,W2 6YH,51.5005,-0.2770
2466628,W2 6YJ,51.5164,-0.1753
2466629,W2 6YL,51.5164,-0.1753
2466630,W2 6YP,51.5005,-0.2770
2466631,W2 6YQ,51.5164,-0.1753
2466632,W2 6YR,51.5164,-0.1753
2466633,W2 6YT,51.5164,-0.1753
2466634,W2 6YX,51.5164,-0.1753
2466635,W2 6YY,51.5164,-0.1753
2466636,W2 6YZ,51.5164,-0.1753
