id,postcode,lat,lon
2468652,W3 9BA,51.5025,-0.2822
2468653,W3 9BB,51.5017,-0.2839
2468654,W3 9BD,51.5014,-0.2852
2468655,W3 9BE,51.5079,-0.2772
2468656,W3 9BF,51.5079,-0.2772
2468657,W3 9BG,51.5119,-0.2726
2468658,W3 9BH,51.5085,-0.2758
2468659,W3 9BJ,51.5085,-0.2769
2468660,W3 9BL,51.5005,-0.2770
2468661,W3 9BN,51.5081,-0.2781
2468662,W3 9BP,51.5082,-0.2767
2468663,W3 9BQ,51.5055,-0.2824
2468664,W3 9BS,51.5082,-0.2767
2468665,W3 9BT,51.5082,-0.2759
2468666,W3 9BU,51.5078,-0.2756
2468667,W3 9BW,51.5070,-0.2827
2468668,W3 9BX,51.5076,-0.2740
2468669,W3 9BY,51.5080,-0.2744
2468670,W3 9BZ,51.5080,-0.2752
