id,postcode,lat,lon
2470909,W4 9HA,51.4915,-0.2626
2470910,W4 9HB,51.4915,-0.2626
2470911,W4 9HD,51.4915,-0.2626
2470912,W4 9HE,51.4915,-0.2626
2470913,W4 9HF,51.4915,-0.2626
2470914,W4 9HG,51.4915,-0.2626
2470915,W4 9HH,51.4915,-0.2626
2470916,W4 9HL,51.4915,-0.2626
2470917,W4 9HN,51.4915,-0.2626
2470918,W4 9HP,51.4915,-0.2626
2470919,W4 9HQ,51.4915,-0.2626
2470920,W4 9HR,51.4915,-0.2626
2470921,W4 9HS,51.4915,-0.2626
2470922,W4 9HT,51.4915,-0.2626
2470923,W4 9HU,51.4915,-0.2626
2470924,W4 9HW,51.4915,-0.2626
2470925,W4 9HX,51.4915,-0.2626
2470926,W4 9HY,51.4915,-0.2626
2470927,W4 9HZ,51.4915,-0.2626
