id,postcode,lat,lon
2472835,W5 9LA,51.5099,-0.3076
2472836,W5 9LB,51.5099,-0.3076
2472837,W5 9LD,51.5099,-0.3076
2472838,W5 9LE,51.5099,-0.3076
2472839,W5 9LF,51.5099,-0.3076
2472840,W5 9LG,51.5099,-0.3076
2472841,W5 9LH,51.5099,-0.3076
2472842,W5 9LJ,51.5099,-0.3076
2472843,W5 9LL,51.5099,-0.3076
2472844,W5 9LP,51.5099,-0.3076
2472845,W5 9LQ,51.5099,-0.3076
2472846,W5 9LR,51.5099,-0.3076
2472847,W5 9LU,51.5099,-0.3076
2472848,W5 9LW,51.5099,-0.3076
2472849,W5 9LX,51.5099,-0.3076
2472850,W5 9LY,51.5099,-0.3076
2472851,W5 9LZ,51.5099,-0.3076
