id,postcode,lat,lon
2473960,W6 8NA,51.4860,-0.2184
2473961,W6 8NB,51.4863,-0.2181
2473962,W6 8ND,51.4857,-0.2192
2473963,W6 8NE,51.4930,-0.2200
2473964,W6 8NF,51.4864,-0.2174
2473965,W6 8NG,51.4854,-0.2118
2473966,W6 8NH,51.4853,-0.2184
2473967,W6 8NJ,51.4858,-0.2160
2473968,W6 8NL,51.4863,-0.2128
2473969,W6 8NN,51.4855,-0.2126
2473970,W6 8NP,51.4845,-0.2102
2473971,W6 8NQ,51.4853,-0.2121
2473972,W6 8NR,51.4852,-0.2112
2473973,W6 8NS,51.4861,-0.2139
2473974,W6 8NT,51.4858,-0.2147
2473975,W6 8NU,51.4853,-0.2169
2473976,W6 8NW,51.4853,-0.2108
2473977,W6 8NX,51.4850,-0.2184
2473978,W6 8NY,51.4860,-0.2122
2473979,W6 8NZ,51.4855,-0.2141
