id,postcode,lat,lon
2474070,W6 8XA,51.4924,-0.2388
2474071,W6 8XB,51.4924,-0.2388
2474072,W6 8XD,51.4924,-0.2388
2474073,W6 8XE,51.4924,-0.2388
2474074,W6 8XF,51.4924,-0.2388
2474075,W6 8XG,51.4924,-0.2388
2474076,W6 8XH,51.4924,-0.2388
2474077,W6 8XJ,51.4924,-0.2388
2474078,W6 8XL,51.4924,-0.2388
2474079,W6 8XN,51.4924,-0.2388
2474080,W6 8XP,51.4924,-0.2388
2474081,W6 8XQ,51.4924,-0.2388
2474082,W6 8XR,51.4924,-0.2388
2474083,W6 8XT,51.4924,-0.2388
2474084,W6 8XU,51.4924,-0.2388
2474085,W6 8XW,51.4924,-0.2388
2474086,W6 8XX,51.4867,-0.2160
2474087,W6 8XZ,51.4924,-0.2388
