id,postcode,lat,lon
2474426,W6 9WA,51.4865,-0.2249
2474427,W6 9WB,51.4865,-0.2249
2474428,W6 9WD,51.4924,-0.2388
2474429,W6 9WE,51.4924,-0.2388
2474430,W6 9WF,51.4924,-0.2388
2474431,W6 9WG,51.4924,-0.2388
2474432,W6 9WH,51.4924,-0.2388
2474433,W6 9WJ,51.4924,-0.2388
2474434,W6 9WL,51.4924,-0.2388
2474435,W6 9WN,51.4924,-0.2388
2474436,W6 9WP,51.4924,-0.2388
2474437,W6 9WQ,51.4924,-0.2388
2474438,W6 9WR,51.4924,-0.2388
2474439,W6 9WS,51.4924,-0.2388
2474440,W6 9WT,51.4924,-0.2388
2474441,W6 9WU,51.4924,-0.2388
2474442,W6 9WW,51.4924,-0.2388
2474443,W6 9WX,51.4924,-0.2388
2474444,W6 9WY,51.4924,-0.2388
2474445,W6 9WZ,51.4924,-0.2388
