id,postcode,lat,lon
2493538,WA4 5AB,53.3644,-2.5879
2493539,WA4 5AD,53.3636,-2.5859
2493540,WA4 5AE,53.3640,-2.5848
2493541,WA4 5AF,53.3646,-2.5832
2493542,WA4 5AG,53.3633,-2.5833
2493543,WA4 5AH,53.3619,-2.5824
2493544,WA4 5AJ,53.3611,-2.5826
2493545,WA4 5AL,53.3623,-2.5844
2493546,WA4 5AN,53.3631,-2.5861
2493547,WA4 5AP,53.3659,-2.5817
2493548,WA4 5AQ,53.3624,-2.5838
2493549,WA4 5AR,53.3666,-2.5807
2493550,WA4 5AS,53.3669,-2.5809
2493551,WA4 5AT,53.3561,-2.5666
2493552,WA4 5AU,53.3561,-2.5675
2493553,WA4 5AW,53.3653,-2.5843
2493554,WA4 5AX,53.3565,-2.5667
2493555,WA4 5AZ,53.3643,-2.5881
2493556,WA4 5BB,53.3637,-2.5781
2493557,WA4 5BD,53.3632,-2.5785
2493558,WA4 5BE,53.3637,-2.5781
2493559,WA4 5BG,53.3669,-2.5789
2493560,WA4 5BH,53.3667,-2.5797
2493561,WA4 5BJ,53.3653,-2.5782
2493562,WA4 5BL,53.3641,-2.5800
2493563,WA4 5BN,53.3655,-2.5810
2493564,WA4 5BP,53.3636,-2.5796
2493565,WA4 5BQ,53.3658,-2.5845
2493566,WA4 5BS,53.3640,-2.5793
2493567,WA4 5BT,53.3645,-2.5794
2493568,WA4 5BU,53.3652,-2.5795
2493569,WA4 5BW,53.3644,-2.5812
2493570,WA4 5BX,53.3631,-2.5780
2493571,WA4 5BY,53.3628,-2.5810
2493572,WA4 5BZ,53.3621,-2.5819
2493573,WA4 5DA,53.3618,-2.5790
2493574,WA4 5DB,53.3606,-2.5811
2493575,WA4 5DD,53.3599,-2.5808
2493576,WA4 5DE,53.3605,-2.5791
2493577,WA4 5DF,53.3616,-2.5782
2493578,WA4 5DG,53.3638,-2.5791
2493579,WA4 5DH,53.3456,-2.5728
2493580,WA4 5DJ,53.3470,-2.5738
2493581,WA4 5DL,53.3473,-2.5719
2493582,WA4 5DN,53.3506,-2.5761
2493583,WA4 5DP,53.3481,-2.5752
2493584,WA4 5DQ,53.3521,-2.5686
2493585,WA4 5DR,53.3482,-2.5761
2493586,WA4 5DS,53.3519,-2.5756
2493587,WA4 5DT,53.3513,-2.5755
2493588,WA4 5DU,53.3497,-2.5751
2493589,WA4 5DW,53.3538,-2.5761
2493590,WA4 5DX,53.3479,-2.5745
2493591,WA4 5DY,53.3490,-2.5721
2493592,WA4 5DZ,53.3495,-2.5723
2493593,WA4 5EA,53.3512,-2.5728
2493594,WA4 5EB,53.3905,-2.6071
2493595,WA4 5ED,53.3507,-2.5726
2493596,WA4 5EE,53.3497,-2.5746
2493597,WA4 5EF,53.3499,-2.5740
2493598,WA4 5EG,53.3505,-2.5744
2493599,WA4 5EH,53.3537,-2.5694
2493600,WA4 5EJ,53.3538,-2.5719
2493601,WA4 5EL,53.3524,-2.5749
2493602,WA4 5EN,53.3525,-2.5759
2493603,WA4 5EP,53.3539,-2.5754
2493604,WA4 5EQ,53.3526,-2.5714
2493605,WA4 5ER,53.3557,-2.5760
2493606,WA4 5ES,53.3538,-2.5761
2493607,WA4 5ET,53.3496,-2.5648
2493608,WA4 5EU,53.3536,-2.5764
2493609,WA4 5EW,53.3535,-2.5763
2493610,WA4 5EX,53.3533,-2.5754
2493611,WA4 5EY,53.3905,-2.6071
2493612,WA4 5EZ,53.3512,-2.5728
2493613,WA4 5FA,53.3472,-2.5682
2493614,WA4 5FB,53.3523,-2.5705
2493615,WA4 5FD,53.3438,-2.5724
2493616,WA4 5FE,53.3450,-2.5694
2493617,WA4 5FF,53.3444,-2.5729
2493618,WA4 5FG,53.3896,-2.6067
2493619,WA4 5FH,53.3469,-2.5658
2493620,WA4 5FJ,53.3896,-2.6072
2493621,WA4 5FL,53.3534,-2.5763
2493622,WA4 5FN,53.3896,-2.6067
2493623,WA4 5FP,53.3896,-2.6067
2493624,WA4 5FQ,53.3452,-2.5651
2493625,WA4 5FR,53.3436,-2.5677
2493626,WA4 5FS,53.3434,-2.5707
2493627,WA4 5FT,53.3896,-2.6067
2493628,WA4 5FU,53.3534,-2.5763
2493629,WA4 5FW,53.3534,-2.5763
2493630,WA4 5FX,53.3534,-2.5763
2493631,WA4 5FY,53.3434,-2.5707
2493632,WA4 5FZ,53.3536,-2.5764
2493633,WA4 5GA,53.3518,-2.5653
2493634,WA4 5GB,53.3534,-2.5763
2493635,WA4 5GD,53.3905,-2.6071
2493636,WA4 5GE,53.3905,-2.6071
2493637,WA4 5GF,53.3905,-2.6071
2493638,WA4 5GG,53.3430,-2.5667
2493639,WA4 5GH,53.3431,-2.5685
2493640,WA4 5GJ,53.3414,-2.5697
2493641,WA4 5GL,53.3414,-2.5687
2493642,WA4 5GN,53.3417,-2.5690
2493643,WA4 5GP,53.3420,-2.5702
2493644,WA4 5GQ,53.3415,-2.5710
2493645,WA4 5GR,53.3436,-2.5684
2493646,WA4 5GS,53.3436,-2.5694
2493647,WA4 5GW,53.3419,-2.5696
2493648,WA4 5GZ,53.3606,-2.5933
2493649,WA4 5HA,53.3542,-2.5761
2493650,WA4 5HB,53.3896,-2.6067
2493651,WA4 5HD,53.3529,-2.5732
2493652,WA4 5HG,53.3598,-2.5638
2493653,WA4 5HH,53.3567,-2.5672
2493654,WA4 5HJ,53.3574,-2.5692
2493655,WA4 5HL,53.3551,-2.6123
2493656,WA4 5HN,53.3576,-2.5641
2493657,WA4 5HP,53.3531,-2.5768
2493658,WA4 5HQ,53.3589,-2.5635
2493659,WA4 5HR,53.3540,-2.5781
2493660,WA4 5HS,53.3592,-2.5820
2493661,WA4 5HT,53.3568,-2.5647
2493662,WA4 5HU,53.3569,-2.5664
2493663,WA4 5HW,53.3542,-2.5761
2493664,WA4 5HX,53.3560,-2.5724
2493665,WA4 5HY,53.3579,-2.5657
2493666,WA4 5HZ,53.3537,-2.5627
2493667,WA4 5JA,53.3554,-2.5775
2493668,WA4 5JB,53.3575,-2.5778
2493669,WA4 5JD,53.3592,-2.5790
2493670,WA4 5JE,53.3579,-2.5786
2493671,WA4 5JF,53.3595,-2.5773
2493672,WA4 5JG,53.3597,-2.5734
2493673,WA4 5JH,53.3589,-2.5673
2493674,WA4 5JJ,53.3587,-2.5762
2493675,WA4 5JL,53.3579,-2.5767
2493676,WA4 5JN,53.3596,-2.5812
2493677,WA4 5JP,53.3598,-2.5840
2493678,WA4 5JQ,53.3596,-2.5724
2493679,WA4 5JR,53.3575,-2.5849
2493680,WA4 5JS,53.3593,-2.5845
2493681,WA4 5JT,53.3584,-2.5715
2493682,WA4 5JU,53.3585,-2.5763
2493683,WA4 5JW,53.3585,-2.5810
2493684,WA4 5JX,53.3605,-2.5726
2493685,WA4 5JY,53.3536,-2.5764
2493686,WA4 5JZ,53.3562,-2.5709
2493687,WA4 5LA,53.3606,-2.5858
2493688,WA4 5LB,53.3592,-2.5857
2493689,WA4 5LD,53.3578,-2.5877
2493690,WA4 5LE,53.3548,-2.5892
2493691,WA4 5LF,53.3516,-2.5904
2493692,WA4 5LG,53.3530,-2.5955
2493693,WA4 5LH,53.3542,-2.6037
2493694,WA4 5LJ,53.3559,-2.5999
2493695,WA4 5LL,53.3609,-2.5979
2493696,WA4 5LN,53.3554,-2.6102
2493697,WA4 5LP,53.3493,-2.6256
2493698,WA4 5LQ,53.3474,-2.5974
2493699,WA4 5LR,53.3445,-2.6309
2493700,WA4 5LS,53.3522,-2.6268
2493701,WA4 5LT,53.3530,-2.6285
2493702,WA4 5LU,53.3614,-2.6042
2493703,WA4 5LW,53.3552,-2.6119
