id,postcode,lat,lon
PPL,WITHAM,51.80007,0.64038
PPL,WITHAMFRIARY,51.16875,-2.36724
ADM4,WITHAMONTHEHILL,52.74149,-0.44878
ADM4,WITHAMSTHUGHS,53.14995,-0.67878
PPL,WITHCALL,53.33575,-0.07526
PPL,WITHCOTE,52.64499,-0.82349
PPL,WITHERIDGE,50.91743,-3.70351
PPL,WITHERLEY,52.5763,-1.51907
PPL,WITHERMARSHGREEN,51.99472,0.92603
PPL,WITHERN,53.3178,0.14711
PPLA3,WITHERNSEA,53.73115,0.03195
PPL,WITHERNWICK,53.84886,-0.18742
ADM4,WITHERNWITHSTAIN,53.3211,0.15886
PPL,WITHERSFIELD,52.10735,0.41877
ADM4,WITHERSLACK,54.24703,-2.84667
PPL,WITHIEL,50.454,-4.82643
PPLA3,WITHINGTON,52.71667,-2.6
PPL,WITHLEIGH,50.90083,-3.54881
PPL,WITHNELL,53.69333,-2.55636
PPL,WITHYBROOK,52.45292,-1.3611
PPL,WITHYCOMBE,51.16191,-3.40945
PPL,WITHYHAM,51.10118,0.13265
PPL,WITHYPOOL,51.1075,-3.64944
ADM4,WITHYPOOLANDHAWKRIDGE,51.08967,-3.65018
